donor,CPS
H19.33.004,0.302312776
H20.33.001,0.522888828
H20.33.002,0.206549371
H20.33.004,0.725005699
H20.33.005,0.760780881
H20.33.008,0.753887834
H20.33.011,0.810864943
H20.33.012,0.237009997
H20.33.013,0.847210162
H20.33.014,0.678277043
H20.33.015,0.878967566
H20.33.016,0.616531087
H20.33.017,0.790026228
H20.33.018,0.89607397
H20.33.019,0.728160721
H20.33.020,0.928512537
H20.33.024,0.323638945
H20.33.025,0.588881872
H20.33.026,0.906842533
H20.33.027,0.625950796
H20.33.028,0.814933639
H20.33.029,0.612831699
H20.33.030,0.786515278
H20.33.031,0.777858645
H20.33.032,0.818040808
H20.33.033,0.874937976
H20.33.034,0.368330163
H20.33.035,0.204485489
H20.33.036,0.844305126
H20.33.037,0.891215423
H20.33.038,0.748876479
H20.33.039,0.371467201
H20.33.040,0.438826934
H20.33.041,0.652943184
H20.33.043,0.442127888
H20.33.044,0.355631884
H20.33.045,0.922353884
H20.33.046,0.868382665
H21.33.001,0.149616331
H21.33.002,0.856821169
H21.33.003,0.238033394
H21.33.004,0.261644762
H21.33.005,0.575734635
H21.33.006,0.838095749
H21.33.007,0.723363962
H21.33.008,0.79034705
H21.33.009,0.911019291
H21.33.010,0.821793345
H21.33.011,0.17061852
H21.33.012,0.486296563
H21.33.013,0.889562753
H21.33.014,0.754185193
H21.33.015,0.230780762
H21.33.016,0.336173297
H21.33.017,0.680216044
H21.33.018,0.64394614
H21.33.019,0.517476286
H21.33.020,0.911076764
H21.33.021,0.704996505
H21.33.022,0.73992399
H21.33.023,0.296555035
H21.33.025,0.518004737
H21.33.026,0.749598881
H21.33.027,0.687187072
H21.33.028,0.300177146
H21.33.029,0.910112215
H21.33.030,0.252442597
H21.33.031,0.834626692
H21.33.032,0.380411215
H21.33.033,0.899911521
H21.33.034,0.869521183
H21.33.035,0.376970226
H21.33.036,0.690040907
H21.33.037,0.180318628
H21.33.038,0.182369814
H21.33.039,0.729331972
H21.33.040,0.74451789
H21.33.041,0.303751417
H21.33.042,0.850064912
H21.33.043,0.520346647
H21.33.044,0.844797956
H21.33.045,0.924064541
H21.33.046,0.765703597
H21.33.047,0.224783433
