supertype,family,x,beta,p_value,p_fdr,passes_bonf_503,passes_fdr_05,color
Sst_2,Sst,0,38.35006887489004,3.8297032212142306e-11,2.7519153146725122e-09,True,True,#f8b24c
Sst_20,Sst,1,39.15650351814478,5.254272572585704e-10,2.64289910401061e-08,True,True,#885616
Sst_25,Sst,2,33.712378406895425,3.246036017756637e-08,1.0885040779543924e-06,True,True,#693d07
Sst_19,Sst,3,30.33220361778976,8.35047142544454e-08,2.47075713352859e-06,True,True,#8e5b19
Sst_11,Sst,4,25.779510206748963,4.989121407117381e-07,1.1259516430343112e-05,True,True,#c08430
Sst_3,Sst,5,20.411309188465214,5.148486638129057e-07,1.1259516430343112e-05,True,True,#f2ad49
Sst_1,Sst,6,17.939838348218778,2.9787675828174542e-06,5.2891035960971104e-05,True,True,#ffb84f
Sst_9,Sst,7,19.56380347460659,7.4034802233224895e-06,0.0001006473122251,True,True,#cd8f37
Sst_23,Sst,8,17.20612676812452,3.832961329963691e-05,0.0003836600791595,True,True,#75470c
Sst_12,Sst,9,14.971030867855855,0.0001736455334108,0.0014340080628527,False,True,#ba7f2e
Sst_13,Sst,10,11.945960173757769,0.0002040260788171,0.001554926024925,False,True,#b47a2b
Sst_22,Sst,11,14.464389316910674,0.0025957536838354,0.0146703831794296,False,True,#7b4c10
Sst_10,Sst,12,8.243906135672555,0.0050628714396213,0.0262538591147375,False,True,#c68934
Sst_7,Sst,13,9.557288007903113,0.0093726167587274,0.0413546160494729,False,True,#d9993d
Sst_4,Sst,14,6.957427905654126,0.0109969964972092,0.0468770274414934,False,True,#eca846
Sst_5,Sst,15,5.882403087486011,0.0118932288359753,0.0498524508707965,False,True,#e6a343
Sst Chodl_2,Sst Chodl,16,23.60381961930918,3.5428090243705412e-06,5.940109797527941e-05,True,True,#7d7d08
Sst Chodl_1,Sst Chodl,17,3.0668755005106076,0.0922484624651613,0.2404195679791511,False,False,#c9c958
Pvalb_3,Pvalb,18,47.22157909082747,3.853473096171456e-12,4.845742418435606e-10,True,True,#e16e77
Pvalb_1,Pvalb,19,29.93098162380851,9.555101931901788e-09,4.0051802264555e-07,True,True,#f97d86
Pvalb_12,Pvalb,20,18.29000506724477,6.949058355520954e-06,9.709378757852888e-05,True,True,#772d34
Pvalb_6,Pvalb,21,15.046312760686895,1.1888424421679922e-05,0.0001573651969501,True,True,#be5860
Pvalb_10,Pvalb,22,23.59282239502182,1.5665937026843046e-05,0.0002020504185769,True,True,#8e3c43
Pvalb_8,Pvalb,23,19.80578984226775,2.145141449294563e-05,0.0002697515372487,True,True,#a64a52
Pvalb_9,Pvalb,24,17.949627323774077,3.889992850325541e-05,0.0003836600791595,True,True,#9a434a
Pvalb_7,Pvalb,25,13.610421323380034,0.0013388431691386,0.008633821975343,False,True,#b25159
Pvalb_5,Pvalb,26,7.20639436433723,0.0175632925871014,0.0669267891766062,False,False,#c96068
Pvalb_14,Pvalb,27,4.242579981718842,0.0284339724641011,0.0993214454822423,False,False,#5f1f25
Pvalb_13,Pvalb,28,5.35581124958521,0.0293470524516842,0.1011066259123093,False,False,#6b262c
Pvalb_15,Pvalb,29,1.5128605198204463,0.149971359188481,0.3397999714946215,False,False,#54181e
Pvalb_2,Pvalb,30,0.5413003541057211,0.3518713043705774,0.6343772978437293,False,False,#ed757e
Chandelier_1,Chandelier,31,30.81974631207589,5.445322082131554e-09,2.489997279374701e-07,True,True,#f87cc3
Chandelier_2,Chandelier,32,13.066679501649984,0.000208355441804,0.0015642207048873,False,True,#ad2d76
Vip_16,Vip,33,30.85273945621377,1.6861748997065718e-08,6.524199804249274e-07,True,True,#795689
Vip_21,Vip,34,24.82205856384422,2.788137265508084e-08,1.00173788896469e-06,True,True,#563864
Vip_1,Vip,35,20.896774405795217,2.503905772721638e-07,5.997450493709446e-06,True,True,#e1b0f7
Vip_13,Vip,36,21.07229118666471,9.239002014549412e-07,1.7873915435839827e-05,True,True,#8e689f
Vip_15,Vip,37,12.713113152824569,3.706374137768531e-05,0.0003804706512852,True,True,#805c90
Vip_5,Vip,38,20.03058905685488,7.285328928852142e-05,0.0006786148983727,True,True,#c598d9
Vip_14,Vip,39,12.738136215007335,0.0002730073856608,0.0019901842751796,False,True,#876297
