family,min,max,size,color
Sst,0,15,16,#FF9900
Sst Chodl,16,17,2,#B1B10C
Pvalb,18,30,13,#D93137
Chandelier,31,32,2,#F641A8
Vip,33,48,16,#A45FBF
Sncg,49,55,7,#DF70FF
Lamp5,56,62,7,#DA808C
Pax6,63,66,4,#71238C
L2/3 IT,67,76,10,#B1EC30
L4 IT,77,80,4,#00E5E5
L5 IT,81,86,6,#50B2AD
L6 IT,87,88,2,#A19922
L6 IT Car3,89,91,3,#5100FF
L5 ET,92,93,2,#0D5B78
L5/6 NP,94,98,5,#3E9E64
L6 CT,99,102,4,#2D8CB8
L6b,103,108,6,#7044AA
Astrocyte,109,114,6,#665C47
Oligodendrocyte,115,119,5,#53776C
OPC,120,123,4,#374A45
Microglia,124,129,6,#94AF97
Endothelial,130,132,3,#8D6C62
VLMC,133,136,4,#697255
