symbol,specificity,P,neg_log10_p,p_fdr,is_driver,is_hcn1
SAMD11,8.747107457539945e-05,0.013277,1.8769000447444257,0.06000558173076923,False,False
NOC2L,0.0019491938096676,0.044783,1.3488868165228471,0.13577634661354582,False,False
KLHL17,0.0022428199751129,0.018522,1.732312120134261,0.0746720691220989,False,False
PLEKHN1,0.0023033054778112,0.02103,1.6771607273136788,0.08105695732883317,False,False
PERM1,0.0082650941850253,0.57813,0.23797449387275046,0.6812487487096299,False,False
HES4,0.0024350102137892,0.77862,0.10867444498199486,0.8251816530734036,False,False
ISG15,0.0019899742327619,0.743,0.1290111862394247,0.7997926015219881,False,False
AGRN,0.0056720383449696,0.87051,0.060226235551964054,0.894407889288929,False,False
RNF223,0.0,0.36069,0.44286589817240973,0.5079167063177372,False,False
C1orf159,0.001888719110677,0.5446,0.26392236299605426,0.6556616392948621,False,False
TTLL10,8.880236419658423e-05,0.89093,0.05015641695973996,0.9097151830553958,False,False
TNFRSF18,0.005714912030919,0.6207,0.20711825461460295,0.7121917504307869,False,False
TNFRSF4,0.0013547649072915,0.46113,0.3361766227152363,0.590869029025016,False,False
SDF4,0.0023452216820343,0.46907,0.3287623420498284,0.5974025876633726,False,False
B3GALT6,0.0015535368915129,0.52757,0.2777199083585933,0.642614037347561,False,False
FAM132A,0.0020636101031482,0.54812,0.26112435094518854,0.658609452631579,False,False
UBE2J2,0.001899246697307,0.42859,0.3679579662747877,0.5646901038661281,False,False
SCNN1D,0.0024445580092211,0.51605,0.2873082176129182,0.6340428269393403,False,False
ACAP3,0.0027495607962565,0.21473,0.6681072758977834,0.3719891739837398,False,False
PUSL1,0.0018217137410472,0.3997,0.3982658517398951,0.5413421594374789,False,False
CPSF3L,0.002034939615078,0.17207,0.7642948412945456,0.3239692118284637,False,False
CPTP,0.0013844876227042,0.17471,0.7576822362848048,0.32714707908611595,False,False
TAS1R3,0.0014878000839096,0.16253,0.7890664646423778,0.31218653004807695,False,False
DVL1,0.0019122427600426,0.13653,0.8647719097739446,0.27883526261980834,False,False
MXRA8,0.0004845508195603,0.15462,0.8107343310654516,0.30292781905112176,False,False
AURKAIP1,0.0011316595854915,0.1713,0.7662426370344895,0.3228618115343791,False,False
CCNL2,0.002144246042342,0.43921,0.3573277803626589,0.5733007546553414,False,False
MRPL20,0.0014448726880177,0.46867,0.32913284518139446,0.5972041851379365,False,False
ANKRD65,0.0010417479328659,0.64457,0.19072991157213404,0.7294202782891942,False,False
TMEM88B,0.0,0.48258,0.3164306809138144,0.6081346874260938,False,False
VWA1,0.0015374030320019,0.57611,0.2394945863129164,0.6796555207795083,False,False
ATAD3C,0.002205059439951,0.54734,0.2617428121452902,0.6577951691983757,False,False
ATAD3B,0.0019830245779,0.26506,0.5766558063672125,0.4219888284518829,False,False
ATAD3A,0.0016434453484207,0.090871,1.0415746926793816,0.21641860259275816,False,False
TMEM240,0.0022049365637608,0.0077508,2.1106534694092254,0.04127741596134622,False,False
SSU72,0.0017353071998959,0.0096722,2.0144747317917893,0.04813536849144635,False,False
C1orf233,0.0016311028402732,0.33593,0.47375121005332177,0.4865841585863163,False,False
MIB2,0.0019590209240715,0.3706,0.4310945850171213,0.5162867297132397,False,False
MMP23B,0.0038190360020445,0.25157,0.5993411502350264,0.40885293776693105,False,False
CDK11B,0.0018219596017715,0.32,0.494850021680094,0.4724175519630485,False,False
SLC35E2B,0.002426059031714,0.08836,1.0537442928006027,0.21215161658653844,False,False
CDK11A,0.001045774584997,0.037021,1.4315518543941268,0.11944934403391883,False,False
NADK,0.0022518004316084,0.040615,1.3913135424296366,0.12684547879616964,False,False
GNB1,0.0020377507288603,0.015296,1.8154221250679752,0.06582588529886915,False,False
CALML6,0.0015529086206749,0.0061078,2.214115192361927,0.034667654755145494,False,False
