cell,t_ms,v_mV,i_pA
Sst_25,-150.01999999999998,-59.768753,0.0
Sst_25,-149.05999999999997,-59.818752,0.0
Sst_25,-148.09999999999997,-59.800003,0.0
Sst_25,-147.14,-59.768753,0.0
Sst_25,-146.17999999999998,-59.793755,0.0
Sst_25,-145.21999999999997,-59.800003,0.0
Sst_25,-144.26,-59.843754,0.0
Sst_25,-143.29999999999998,-59.800003,0.0
Sst_25,-142.33999999999997,-59.74375,0.0
Sst_25,-141.37999999999994,-59.762505,0.0
Sst_25,-140.42,-59.75,0.0
Sst_25,-139.45999999999998,-59.718754,0.0
Sst_25,-138.49999999999994,-59.706253,0.0
Sst_25,-137.54,-59.73125,0.0
Sst_25,-136.57999999999998,-59.69375,0.0
Sst_25,-135.61999999999998,-59.668755,0.0
Sst_25,-134.66,-59.768753,0.0
Sst_25,-133.7,-59.700005,0.0
Sst_25,-132.73999999999998,-59.706253,0.0
Sst_25,-131.77999999999994,-59.687504,0.0
Sst_25,-130.82,-59.687504,0.0
Sst_25,-129.85999999999999,-59.668755,0.0
Sst_25,-128.89999999999995,-59.718754,0.0
Sst_25,-127.94,-59.700005,0.0
Sst_25,-126.97999999999998,-59.712498,0.0
Sst_25,-126.01999999999997,-59.68125,0.0
Sst_25,-125.06,-59.725002,0.0
Sst_25,-124.1,-59.700005,0.0
Sst_25,-123.13999999999997,-59.73125,0.0
Sst_25,-122.17999999999995,-59.718754,0.0
Sst_25,-121.22,-59.775,0.0
Sst_25,-120.25999999999998,-59.737503,0.0
Sst_25,-119.29999999999995,-59.787502,0.0
Sst_25,-118.34,-59.762505,0.0
Sst_25,-117.37999999999998,-59.737503,0.0
Sst_25,-116.41999999999997,-59.718754,0.0
Sst_25,-115.45999999999995,-59.75,0.0
Sst_25,-114.49999999999999,-59.74375,0.0
Sst_25,-113.53999999999998,-59.825005,0.0
Sst_25,-112.57999999999996,-59.8375,0.0
Sst_25,-111.61999999999999,-59.868748,0.0
Sst_25,-110.65999999999998,-59.862503,0.0
Sst_25,-109.69999999999996,-59.90625,0.0
Sst_25,-108.74000000000001,-59.862503,0.0
Sst_25,-107.77999999999999,-59.8875,0.0
Sst_25,-106.81999999999996,-59.8375,0.0
Sst_25,-105.85999999999996,-59.868748,0.0
Sst_25,-104.89999999999999,-59.862503,0.0
Sst_25,-103.93999999999998,-59.8125,0.0
Sst_25,-102.97999999999996,-59.775,0.0
Sst_25,-102.02,-59.8375,0.0
Sst_25,-101.05999999999999,-59.83125,0.0
Sst_25,-100.09999999999997,-59.781254,0.0
Sst_25,-99.14,-59.8375,0.0
Sst_25,-98.17999999999994,-59.862503,0.0
Sst_25,-97.21999999999997,-59.862503,0.0
Sst_25,-96.26000000000002,-59.937504,0.0
Sst_25,-95.29999999999994,-59.9,0.0
Sst_25,-94.33999999999997,-59.912502,0.0
Sst_25,-93.38000000000002,-59.943752,0.0
Sst_25,-92.41999999999994,-59.937504,0.0
Sst_25,-91.45999999999998,-59.937504,0.0
Sst_25,-90.50000000000003,-59.912502,0.0
Sst_25,-89.53999999999995,-59.950005,0.0
Sst_25,-88.58,-59.918755,0.0
Sst_25,-87.62000000000003,-59.881252,0.0
Sst_25,-86.65999999999995,-59.881252,0.0
Sst_25,-85.7,-59.9,0.0
Sst_25,-84.73999999999992,-59.881252,0.0
Sst_25,-83.77999999999997,-59.875004,0.0
Sst_25,-82.82000000000001,-59.856255,0.0
Sst_25,-81.85999999999993,-59.875004,0.0
Sst_25,-80.89999999999998,-59.881252,0.0
Sst_25,-79.94000000000001,-59.80625,0.0
Sst_25,-78.97999999999993,-59.800003,0.0
Sst_25,-78.01999999999998,-59.85,0.0
Sst_25,-77.06000000000002,-59.818752,0.0
Sst_25,-76.09999999999995,-59.8375,0.0
Sst_25,-75.13999999999999,-59.768753,0.0
Sst_25,-74.18000000000002,-59.818752,0.0
Sst_25,-73.21999999999996,-59.787502,0.0
Sst_25,-72.25999999999999,-59.675,0.0
Sst_25,-71.30000000000003,-59.643753,0.0
Sst_25,-70.33999999999996,-59.631252,0.0
Sst_25,-69.38,-59.618748,0.0
Sst_25,-68.41999999999993,-59.618748,0.0
Sst_25,-67.45999999999997,-59.6375,0.0
Sst_25,-66.5,-59.643753,0.0
Sst_25,-65.53999999999994,-59.606255,0.0
Sst_25,-64.57999999999997,-59.625004,0.0
Sst_25,-63.62000000000001,-59.618748,0.0
Sst_25,-62.65999999999994,-59.631252,0.0
Sst_25,-61.699999999999974,-59.600002,0.0
Sst_25,-60.740000000000016,-59.600002,0.0
Sst_25,-59.779999999999944,-59.556248,0.0
Sst_25,-58.819999999999986,-59.562504,0.0
Sst_25,-57.86000000000002,-59.5375,0.0
Sst_25,-56.89999999999995,-59.512505,0.0
Sst_25,-55.93999999999999,-59.556248,0.0
Sst_25,-54.98000000000003,-59.531254,0.0
Sst_25,-54.01999999999995,-59.49375,0.0
Sst_25,-53.059999999999995,-59.506252,0.0
Sst_25,-52.09999999999992,-59.456253,0.0
Sst_25,-51.139999999999965,-59.475002,0.0
Sst_25,-50.18,-59.437504,0.0
Sst_25,-49.21999999999993,-59.450005,0.0
Sst_25,-48.25999999999997,-59.462498,0.0
Sst_25,-47.30000000000001,-59.306248,0.0
Sst_25,-46.33999999999994,-59.36875,0.0
Sst_25,-45.379999999999974,-59.3375,0.0
Sst_25,-44.420000000000016,-59.350002,0.0
Sst_25,-43.459999999999944,-59.4,0.0
Sst_25,-42.499999999999986,-59.34375,0.0
Sst_25,-41.54000000000002,-59.312504,0.0
Sst_25,-40.57999999999995,-59.275,0.0
Sst_25,-39.61999999999999,-59.281254,0.0
Sst_25,-38.660000000000025,-59.256252,0.0
Sst_25,-37.69999999999995,-59.312504,0.0
Sst_25,-36.739999999999995,-59.26875,0.0
Sst_25,-35.77999999999992,-59.26875,0.0
Sst_25,-34.819999999999965,-59.200005,0.0
Sst_25,-33.86,-59.275,0.0
Sst_25,-32.89999999999993,-59.256252,0.0
