supertype,scz_beta,scz_se,scz_fdr,ad_slope,ad_se,ad_fdr,group
Sst_2,-0.254509920135936,0.0591534995883802,0.0009202654525519,-0.0859807735439615,0.0484502618727587,0.243898853145314,Vulnerable
Sst_5,0.0309783749550944,0.0667703598466859,0.833954729695128,0.117369042797684,0.0433286793034733,0.0552570594034795,Not depleted
Sst_25,-0.258992646343256,0.0826138738897393,0.0374670536432624,-0.166803119420888,0.0857533016650584,0.179254169044381,Vulnerable
Sst_22,-0.27142856495951,0.0808981876307707,0.0216123264371826,-0.240932936943656,0.0881962761512781,0.0552570594034795,Vulnerable
Sst_9,-0.0612491014058203,0.0545312450350913,0.569755257858317,-0.0192834617209506,0.0378937423387954,0.82923751320525,Not depleted
Sst_19,-0.05323807353256,0.053867350818735,0.640121173874938,-0.0383642835337913,0.053901163597934,0.721416146747024,Not depleted
Sst_1,0.0697615060622537,0.0618378532279409,0.569755257858317,0.0951910984275664,0.0376146016347678,0.0737821722473597,Not depleted
Sst_23,-0.0654486788027768,0.0700522250641106,0.652482950989092,-0.160271031594013,0.0550220096455573,0.0552570594034795,Not depleted
Sst_12,-0.0614500257970238,0.0661862188405618,0.652482950989092,0.0315671312436929,0.0441205043237074,0.721416146747024,Not depleted
Sst_13,-0.0817744078418891,0.0556219860096725,0.499604933085498,-0.0119978549213386,0.0378790052914871,0.925908084563053,Not depleted
Sst_20,-0.174676636280529,0.0747117440175118,0.192106022298078,-0.269183822615419,0.0739227554005356,0.040922058329688,Vulnerable
Sst_3,-0.186286911011216,0.0617411940282608,0.0463436408670109,-0.0414633825704416,0.0384926058494068,0.534345051702699,Vulnerable
Sst_4,0.0416898873119017,0.0659924621571455,0.766718607189817,0.0382235730025114,0.0409455196585308,0.618750819291299,Not depleted
Sst_10,0.07088016835135,0.0582623091165044,0.552868160375212,0.0834652222251553,0.0363947954089952,0.10202603508981,Not depleted
Sst_11,-0.131932494421812,0.0767263892528842,0.405289897405078,-0.160430937885314,0.063703280308009,0.0737821722473597,Not depleted
Sst_7,0.0150039041691,0.0660530061246496,0.961919380354394,0.0607788808037699,0.0459759051313413,0.429100328667595,Not depleted
