gene,expression,group,donor,supertype
CALB1,0.0,Vulnerable,H18.30.002,Sst_2
CALB1,0.0,Not depleted,H18.30.002,Sst_4
CALB1,0.0,Not depleted,H18.30.002,Sst_23
CALB1,0.0,Vulnerable,H18.30.002,Sst_3
CALB1,0.0,Vulnerable,H18.30.002,Sst_3
CALB1,0.0,Vulnerable,H18.30.002,Sst_3
CALB1,0.6730228500586037,Not depleted,H18.30.002,Sst_11
CALB1,0.0,Not depleted,H18.30.002,Sst_13
CALB1,0.0,Not depleted,H18.30.002,Sst_13
CALB1,0.0,Vulnerable,H18.30.002,Sst_3
CALB1,1.2585789839131944,Vulnerable,H18.30.002,Sst_20
CALB1,0.4105625957263591,Vulnerable,H18.30.002,Sst_3
CALB1,0.0,Vulnerable,H18.30.002,Sst_20
CALB1,1.232255002114295,Vulnerable,H18.30.002,Sst_20
CALB1,0.0,Vulnerable,H18.30.002,Sst_3
CALB1,0.0,Not depleted,H18.30.002,Sst_9
CALB1,1.095952712632351,Vulnerable,H18.30.002,Sst_20
CALB1,0.0,Not depleted,H18.30.002,Sst_19
CALB1,0.0,Not depleted,H18.30.002,Sst_10
CALB1,0.0,Not depleted,H18.30.002,Sst_1
CALB1,0.0,Vulnerable,H18.30.002,Sst_3
CALB1,0.5999144074549477,Vulnerable,H18.30.002,Sst_2
CALB1,0.5084899182768957,Vulnerable,H18.30.002,Sst_20
CALB1,0.0,Not depleted,H18.30.002,Sst_9
CALB1,1.0688809984166359,Vulnerable,H18.30.002,Sst_3
CALB1,0.0,Vulnerable,H18.30.002,Sst_3
CALB1,0.0,Not depleted,H18.30.002,Sst_10
CALB1,0.0,Not depleted,H18.30.002,Sst_10
CALB1,0.0,Not depleted,H18.30.002,Sst_10
CALB1,0.652394193596045,Vulnerable,H18.30.002,Sst_3
CALB1,0.0,Not depleted,H18.30.002,Sst_11
CALB1,0.0,Vulnerable,H18.30.002,Sst_20
CALB1,0.0,Not depleted,H18.30.002,Sst_11
CALB1,0.0,Not depleted,H18.30.002,Sst_13
CALB1,0.0,Not depleted,H18.30.002,Sst_11
CALB1,0.0,Not depleted,H18.30.002,Sst_5
CALB1,0.0,Not depleted,H18.30.002,Sst_4
CALB1,0.0,Not depleted,H18.30.002,Sst_9
CALB1,0.0,Vulnerable,H18.30.002,Sst_25
CALB1,0.0,Not depleted,H18.30.002,Sst_19
CALB1,0.0,Not depleted,H18.30.002,Sst_19
CALB1,1.465363468650931,Vulnerable,H18.30.002,Sst_20
CALB1,0.0,Not depleted,H18.30.002,Sst_13
CALB1,0.0,Vulnerable,H18.30.002,Sst_3
CALB1,0.0,Vulnerable,H18.30.002,Sst_3
CALB1,0.0,Not depleted,H18.30.002,Sst_11
CALB1,0.0,Vulnerable,H18.30.002,Sst_3
CALB1,0.0,Not depleted,H18.30.002,Sst_10
CALB1,0.7631777210473258,Vulnerable,H18.30.002,Sst_2
CALB1,0.41219309179737756,Vulnerable,H18.30.002,Sst_20
CALB1,1.160898940944242,Vulnerable,H18.30.002,Sst_20
CALB1,0.38144797438485606,Vulnerable,H18.30.002,Sst_20
CALB1,0.0,Not depleted,H18.30.002,Sst_11
CALB1,0.35091201677053985,Vulnerable,H18.30.002,Sst_3
CALB1,0.0,Vulnerable,H18.30.002,Sst_3
CALB1,0.0,Not depleted,H18.30.002,Sst_4
CALB1,0.0,Not depleted,H18.30.002,Sst_10
CALB1,0.0,Not depleted,H18.30.002,Sst_23
CALB1,0.0,Vulnerable,H18.30.002,Sst_3
CALB1,0.0,Not depleted,H18.30.002,Sst_10
CALB1,0.9504207563371828,Vulnerable,H18.30.002,Sst_2
CALB1,0.0,Not depleted,H18.30.002,Sst_10
CALB1,0.0,Not depleted,H18.30.002,Sst_13
CALB1,0.0,Vulnerable,H18.30.002,Sst_3
