gene,log2FC,pct_vulnerable,pct_not_depleted,mean_vulnerable,mean_not_depleted,p_wilcoxon,fdr_wilcoxon,donor_delta,p_donor_paired,fdr_donor,neg_log10_p,always_label
CPVL,0.22998378,0.1732172275829607,0.021242632612966602,0.122856446,0.013011354,0.0,0.0,0.06172093,0.10041809,0.2224888324737549,inf,False
LRFN2,-0.66101015,0.20287126382678278,0.5335216110019646,0.1520497,0.5037865,0.0,0.0,-0.339296,0.00023834458,0.016120565259778823,inf,False
DAAM2,-0.27928865,0.007060484819957637,0.17681728880157171,0.0043414445,0.13288336,0.0,0.0,-0.1374127,0.009708519,0.06190168830785858,inf,False
NOS1AP,0.41162387,0.9258649093904449,0.8710707269155207,1.4126258,1.1351863,0.0,0.0,0.20339766,0.012911634,0.07100873400074567,inf,False
MYO5B,0.65741694,0.7072252294657566,0.29776522593320237,0.78730744,0.32108527,0.0,0.0,0.3973043,0.0005505702,0.019448203805052203,inf,False
CPNE5,0.29128298,0.5057660626029654,0.3169204322200393,0.39490533,0.22313064,0.0,0.0,0.17167942,0.001253013,0.02605349141457399,inf,False
CUX2,0.86624205,0.6721581548599671,0.2863457760314342,1.0245339,0.39580438,0.0,0.0,0.3745771,0.047981445,0.1425619470067771,inf,False
RGS4,-0.3730293,0.28736173217227584,0.48280943025540274,0.21199745,0.4169015,0.0,0.0,-0.17808993,0.0053755906,0.04771572883140313,inf,False
RGS5,-0.23926625,0.06942810072958343,0.16527504911591356,0.045279294,0.14322558,0.0,0.0,-0.08302509,0.0015964077,0.028429591300161892,inf,False
PBX1,-0.46132854,0.9508119557542951,0.9759332023575639,1.4622314,1.806998,0.0,0.0,-0.25843447,0.008913019,0.05979259813557991,inf,False
LINC01630,-0.23795167,0.04118616144975288,0.12266699410609037,0.02886354,0.118420795,0.0,0.0,-0.08535661,0.0039030206,0.041987333738163435,inf,False
DCC,-1.3236115,0.3904448105436573,0.7632612966601179,0.6763849,1.658806,0.0,0.0,-0.69655055,0.007910991,0.05672710915431663,inf,False
SATB1-AS1,-0.45234302,0.8740880207107554,0.9388506876227898,1.2295892,1.573467,0.0,0.0,-0.25365812,0.0003573139,0.01793526126220163,inf,False
ANKS1A,-0.33839312,0.75500117674747,0.8115176817288802,0.7224373,0.92227376,0.0,0.0,-0.14723262,0.000657957,0.020688839380253746,inf,False
FAM78B,0.2352919,0.4688161920451871,0.3363212180746562,0.38856587,0.2529822,0.0,0.0,0.08746947,0.03007252,0.10987195983985004,inf,False
AL596087.2,0.2892764,0.25064721110849614,0.08619842829076621,0.20830004,0.06855934,0.0,0.0,0.09266886,0.016609572,0.08018305352393618,inf,False
ATXN2,-0.205412,0.9105671922805366,0.9201866404715128,1.0951388,1.2290142,0.0,0.0,-0.09388311,0.027208399,0.10355801791882444,inf,False
ILDR2,0.28509074,0.7288773829136267,0.5963899803536346,0.72186404,0.5326797,0.0,0.0,0.10533555,0.21800408,0.36501927471498674,inf,False
DOK6,-0.72080374,0.6486232054601082,0.8417239685658153,0.6567119,1.1219519,0.0,0.0,-0.4521082,1.3132202e-05,0.008899273971716562,inf,False
NLGN4X,0.365577,0.9498705577783008,0.8908398821218074,1.4532765,1.1841342,0.0,0.0,0.2876356,0.0014260841,0.02741948790469412,inf,False
GPC6,0.2592723,0.9858790303600847,0.9239931237721022,2.4183445,2.0696263,0.0,0.0,0.36997813,0.0014726938,0.027590994372939437,inf,False
CDH7,0.94264317,0.8369028006589786,0.45653241650294696,1.1000105,0.45155793,0.0,0.0,0.5611788,0.0004946034,0.018872752142110934,inf,False
ZNF385D,0.3217298,0.941162626500353,0.7617878192534381,2.4233713,1.8206147,0.0,0.0,0.47991675,0.0005007668,0.018872752142110934,inf,False
BCL2,0.48014095,0.7373499646975759,0.5422396856581533,0.8213866,0.51173735,0.0,0.0,0.28645247,0.00080190215,0.02202609664880046,inf,False
ST8SIA5,0.3767429,0.7735937867733584,0.581286836935167,0.80335635,0.5322783,0.0,0.0,0.1785042,0.04392946,0.13586036407570543,inf,False
SIPA1L1,0.62019163,0.9689338667921864,0.9167485265225933,1.777488,1.3100843,0.0,0.0,0.37634513,0.0027645547,0.035516544484606144,inf,False
RGS6,-0.78150296,0.6034361026123793,0.8638261296660118,1.1263487,1.8524506,0.0,0.0,-0.54769814,0.01056793,0.06434921698741738,inf,False
NEDD4L,-0.3650122,0.7594728171334432,0.8580550098231827,0.86517966,1.1246213,0.0,0.0,-0.28421968,0.0041549806,0.04324229529144567,inf,False
ANOS1,0.6579367,0.4189220993174865,0.13310412573673872,0.47521305,0.13529038,0.0,0.0,0.2055883,0.034735925,0.11889177237258745,inf,False
ALDH2,-0.19963297,0.21487408802071076,0.35645874263261296,0.134406,0.24310173,0.0,0.0,-0.10588597,0.00239179,0.033496870817961516,inf,False
KAT2B,0.18903908,0.4528124264532831,0.3148330058939096,0.34343448,0.22990923,0.0,0.0,0.07238041,0.057137497,0.15766560605283553,inf,False
GRM4,0.18481074,0.3019534008001883,0.16859037328094303,0.21182027,0.111706674,0.0,0.0,0.14592455,0.024028499,0.09686541743708911,inf,False
RNF152,0.5192943,0.5801365027065192,0.23649312377210216,0.5083573,0.19039443,0.0,0.0,0.29452753,0.000523581,0.019318672918504285,inf,False
SATB1,-0.52015686,0.6081430924923511,0.7836444007858546,0.5052599,0.8380349,0.0,0.0,-0.30220577,0.002027672,0.030889646435677605,inf,False
TRERF1,0.47206607,0.7648858554954107,0.5752701375245579,0.8484923,0.5296952,0.0,0.0,0.20844284,0.04500065,0.13770902771045487,inf,False
PIK3C3,-0.36129752,0.6985172981878089,0.8021856581532416,0.61110395,0.84179026,0.0,0.0,-0.20574212,0.0025382035,0.034359642884611796,inf,False
COL9A1,-0.16931266,0.07931277947752412,0.18369351669941061,0.055190258,0.13609004,0.0,0.0,-0.05835112,0.1515031,0.2879812327530685,inf,False
SMAP1,-0.22295423,0.6705107084019769,0.7452111984282908,0.5761999,0.7201094,0.0,0.0,-0.13683653,0.0019074078,0.03056798094005346,inf,False
