# MEAN_SAMPLE_SIZE = 57475
# TOTAL_GENES = 15956
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
Type0        COVAR   15956       16.955     0.033224        4.939   0.00029952
Type1        COVAR   15956       16.899     0.034522        4.728   0.00017635
Type2        COVAR   15956       23.279       0.0425       5.4329   9.2065e-06
Type3        COVAR   15956       19.655     0.039251       4.9195   3.2489e-05
Type4        COVAR   15956       20.114     0.037559       5.1618    4.899e-05
Type5        COVAR   15956       19.868     0.034136       5.6476   0.00021827
Type6        COVAR   15956       17.396     0.030192       5.5347   0.00083755
Type7        COVAR   15956       22.173     0.039324       5.3884   1.9483e-05
Type8        COVAR   15956       18.498     0.036178       4.8431   6.7163e-05
Type9        COVAR   15956       5.8078     0.014588       3.5695     0.051875
Type10       COVAR   15956       11.268     0.025633       4.2337    0.0038954
Type11       COVAR   15956       9.8262     0.020892       4.3271     0.011587
Type12       COVAR   15956       16.313     0.032745       4.9263   0.00046558
Type13       COVAR   15956       9.0138      0.01899       4.3117     0.018295
Type14       COVAR   15956       18.722     0.034808        5.036     0.000101
Type15       COVAR   15956       22.069     0.041207       5.1752   1.0098e-05
Type16       COVAR   15956       11.863     0.026427       4.2445    0.0025988
Type17       COVAR   15956       18.088     0.032097       5.3504   0.00036257
Type18       COVAR   15956         1.23    0.0024873       4.6514      0.39572
Type19       COVAR   15956       17.764     0.030987       5.5222    0.0006496
Type20       COVAR   15956       9.6725     0.018998       4.7615     0.021117
Type21       COVAR   15956       13.526      0.02637       5.0167    0.0035106
Type22       COVAR   15956       12.925     0.028498       4.2273    0.0011184
Type23       COVAR   15956       10.357     0.023979       4.1581    0.0063809
Type24       COVAR   15956       9.6071     0.021209       4.0622     0.009022
Type25       COVAR   15956       19.256     0.036508       5.0751   7.4392e-05
Type26       COVAR   15956       13.899     0.024344       5.3192    0.0044935
Type27       COVAR   15956       11.069      0.02262       4.6977    0.0092355
Type28       COVAR   15956        12.11     0.026342       4.3008    0.0024362
Type29       COVAR   15956        17.05     0.034542       4.6796   0.00013506
Type30       COVAR   15956       13.918     0.032265       3.9618   0.00022224
Type31       COVAR   15956       22.288     0.039268       5.4387   2.0965e-05
Type32       COVAR   15956       10.448      0.02086       4.8378     0.015412
Type33       COVAR   15956       13.099     0.024535       4.9869    0.0043175
Type34       COVAR   15956       5.0915      0.01454       3.2286     0.057411
Type35       COVAR   15956       7.1074     0.017202       3.7774     0.029961
Type36       COVAR   15956       5.0863     0.012863       3.7789     0.089169
Type37       COVAR   15956       6.3148     0.015449       3.6341     0.041147
Type38       COVAR   15956       3.2583    0.0068627       4.4158      0.23031
Type39       COVAR   15956       27.168     0.042535       6.0557   3.6538e-06
Type40       COVAR   15956       17.985     0.031995       5.3982   0.00043276
Type41       COVAR   15956       12.756     0.024295       4.6598    0.0030999
Type42       COVAR   15956       7.4447     0.015744        4.298     0.041635
Type43       COVAR   15956       18.362     0.033089       5.0532    0.0001402
Type44       COVAR   15956       6.7748     0.015828       4.1148     0.049848
Type45       COVAR   15956       11.002     0.022714       4.2909    0.0051788
Type46       COVAR   15956       22.065     0.037049       5.6986   5.4259e-05
Type47       COVAR   15956       24.942     0.042284       5.4733   2.6193e-06
Type48       COVAR   15956       12.205     0.023269       4.7831    0.0053664
Type49       COVAR   15956       26.091     0.044706       5.4009   6.8746e-07
Type50       COVAR   15956       16.716     0.030781       5.1559   0.00059459
Type51       COVAR   15956       29.012      0.04709       5.8319   3.3089e-07
Type52       COVAR   15956       29.781     0.049629       5.5721   4.6066e-08
Type53       COVAR   15956       16.598     0.030501        4.879   0.00033556
Type54       COVAR   15956       21.686     0.039865       4.9652   6.3293e-06
Type55       COVAR   15956       4.3756     0.010631       3.7032       0.1187
Type56       COVAR   15956       18.485     0.032675       5.2035   0.00019152
Type57       COVAR   15956       16.811     0.030944       4.8922   0.00029572
Type58       COVAR   15956       17.063     0.034976       4.5029   7.5838e-05
Type59       COVAR   15956       9.1233     0.022424       3.5618    0.0052175
Type60       COVAR   15956       23.311     0.041172       5.1593   3.1445e-06
Type61       COVAR   15956       20.493     0.037148       5.0442   2.4404e-05
Type62       COVAR   15956       16.368     0.032351       4.6724   0.00023067
Type63       COVAR   15956       10.842     0.023659       4.1012    0.0041063
Type64       COVAR   15956       12.978     0.026331       4.4057    0.0016141
Type65       COVAR   15956       23.423     0.040241         5.46   9.0008e-06
Type66       COVAR   15956       13.898     0.027671       4.6475    0.0013951
Type67       COVAR   15956       11.629     0.022502       4.6132     0.005859
Type68       COVAR   15956       4.8738     0.010999       3.9899      0.11095
Type69       COVAR   15956       2.8484    0.0056616       4.7931      0.27617
Type70       COVAR   15956       7.1326     0.014414       4.5578     0.058811
Type71       COVAR   15956      0.93177    0.0019236        4.582      0.41943
Type72       COVAR   15956      0.61992    0.0015185       3.8282      0.43568
Type73       COVAR   15956      0.52238    0.0011271       4.2882      0.45152
Type74       COVAR   15956       3.8627    0.0077425       4.7636      0.20872
Type75       COVAR   15956       2.5431    0.0055633       4.1765       0.2713
Type76       COVAR   15956        12.35      0.02395       4.7774    0.0048736
Type77       COVAR   15956       13.728      0.02527        5.195    0.0041201
Type78       COVAR   15956       8.7898     0.020705       3.9849     0.013709
Type79       COVAR   15956        5.054    0.0097415       4.8376      0.14808
Type80       COVAR   15956       2.1923    0.0043863       4.6756      0.31958
Type81       COVAR   15956       4.8507     0.011523       3.7502      0.09794
Type82       COVAR   15956       1.8135    0.0044287       3.6718       0.3107
Type83       COVAR   15956       3.7331     0.007654       4.4789      0.20229
Type84       COVAR   15956       1.0927    0.0025311       4.3069      0.39986
Type85       COVAR   15956       6.7895      0.01273       5.0965     0.091411
Type86       COVAR   15956     -0.44772  -0.00097549       4.3359      0.54112
Type87       COVAR   15956       3.3485    0.0067406       4.7294      0.23947
Type88       COVAR   15956      -4.4781    -0.012608       3.6609      0.88936
Type89       COVAR   15956      -2.8541   -0.0081135       3.3244      0.80469
Type90       COVAR   15956       16.933      0.02965       5.5676    0.0011798
Type91       COVAR   15956       7.8599     0.016258       4.7681     0.049644
Type92       COVAR   15956       9.9977      0.02565       3.5509    0.0024385
Type93       COVAR   15956       5.6098     0.016595        3.087     0.034602
Type94       COVAR   15956       10.523     0.025017       3.9742    0.0040555
Type95       COVAR   15956       4.3155     0.012358       3.1433       0.0849
Type96       COVAR   15956       10.611     0.024609       3.9491    0.0036099
Type97       COVAR   15956       6.4134     0.015263       3.9498     0.052227
Type98       COVAR   15956       5.2792     0.010928       4.5605      0.12353
Type99       COVAR   15956       2.3254    0.0067118       3.1567      0.23068
Type100      COVAR   15956      -1.7859   -0.0062267        2.549      0.75823
Type101      COVAR   15956    -0.067696  -0.00019825       3.2293      0.50836
Type102      COVAR   15956      -1.9752   -0.0046813       4.0209      0.68837
Type103      COVAR   15956       1.9652    0.0043804       4.2792      0.32303
