# MEAN_SAMPLE_SIZE = 90839
# TOTAL_GENES = 15855
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
Type0        COVAR   15855       3.9698     0.026149       1.4265    0.0026969
Type1        COVAR   15855       5.7477     0.035342       1.4772   5.0194e-05
Type2        COVAR   15855       5.2247     0.031163       1.5595   0.00040489
Type3        COVAR   15855       5.7622     0.038501       1.3976    1.881e-05
Type4        COVAR   15855       7.0769     0.042604       1.5513    2.557e-06
Type5        COVAR   15855       6.7279     0.036731       1.6657   2.6976e-05
Type6        COVAR   15855       6.5137     0.035473       1.6921   5.9441e-05
Type7        COVAR   15855       4.6477     0.027582       1.5173    0.0010976
Type8        COVAR   15855       4.1407     0.029745       1.2436   0.00043589
Type9        COVAR   15855      0.83482    0.0069532       1.0826      0.22032
Type10       COVAR   15855       3.7954     0.026488       1.2864    0.0015901
Type11       COVAR   15855      0.97512    0.0075137       1.1739      0.20309
Type12       COVAR   15855       5.9552     0.037902       1.4196    1.374e-05
Type13       COVAR   15855       2.5278     0.017559       1.2719     0.023448
Type14       COVAR   15855       6.0773     0.036643       1.4748   1.8985e-05
Type15       COVAR   15855       7.7167     0.041786        1.693   2.6053e-06
Type16       COVAR   15855       3.5594     0.026521       1.2572    0.0023221
Type17       COVAR   15855       5.5815     0.034137       1.4852   8.5945e-05
Type18       COVAR   15855      0.11031   0.00082214       1.2085      0.46364
Type19       COVAR   15855       5.0396     0.030538       1.5419    0.0005422
Type20       COVAR   15855       1.6012     0.010876       1.3225      0.11301
Type21       COVAR   15855       2.8602      0.01736       1.5177     0.029762
Type22       COVAR   15855       2.9728      0.02103       1.2143    0.0071845
Type23       COVAR   15855       2.2396     0.016184       1.2471     0.036269
Type24       COVAR   15855       2.2474     0.015522       1.2901     0.040765
Type25       COVAR   15855       4.4434      0.02721       1.5029    0.0015582
Type26       COVAR   15855       3.0473     0.017831       1.5866     0.027398
Type27       COVAR   15855       2.7618     0.017121       1.4763     0.030703
Type28       COVAR   15855       2.1951     0.014719       1.2931     0.044814
Type29       COVAR   15855       3.8252     0.025665       1.3324    0.0020495
Type30       COVAR   15855       1.7854     0.013775       1.1563     0.061295
Type31       COVAR   15855       3.1699     0.019457       1.4202     0.012817
Type32       COVAR   15855        1.843     0.012982       1.2677     0.073017
Type33       COVAR   15855       1.6316     0.010522       1.3597      0.11508
Type34       COVAR   15855     -0.26069    -0.002625       0.8792      0.61657
Type35       COVAR   15855      0.25223    0.0019795       1.0843      0.40803
Type36       COVAR   15855      0.97839    0.0077623       1.1556       0.1986
Type37       COVAR   15855       1.7996     0.013232       1.2117     0.068758
Type38       COVAR   15855        1.546     0.010116       1.3457      0.12533
Type39       COVAR   15855       5.9778     0.033011        1.619   0.00011156
Type40       COVAR   15855       4.6306     0.025847        1.652    0.0025345
Type41       COVAR   15855       4.7564     0.027524       1.5831    0.0013329
Type42       COVAR   15855       2.6669     0.018628       1.2743     0.018192
Type43       COVAR   15855       4.6568     0.027062       1.5832     0.001637
Type44       COVAR   15855       2.2731     0.015066       1.3444     0.045448
Type45       COVAR   15855       1.0229    0.0076368       1.1789      0.19279
Type46       COVAR   15855       5.7163     0.030885       1.7125   0.00042312
Type47       COVAR   15855       7.1017      0.03956       1.6398   7.4856e-06
Type48       COVAR   15855        2.353     0.014218       1.4739     0.055201
Type49       COVAR   15855       6.4736     0.038332       1.5525   1.5337e-05
Type50       COVAR   15855       2.5502     0.015829       1.4945     0.043978
Type51       COVAR   15855       7.3816      0.04108       1.6413   3.4692e-06
Type52       COVAR   15855       7.0159     0.038526       1.6464   1.0227e-05
Type53       COVAR   15855       5.7639     0.035026       1.5057   6.4853e-05
Type54       COVAR   15855       6.0011      0.03538       1.5902   8.0727e-05
Type55       COVAR   15855       0.6814    0.0051714        1.137       0.2745
Type56       COVAR   15855       3.6435     0.022021       1.4629    0.0063811
Type57       COVAR   15855       4.6007     0.029019       1.4003   0.00051028
Type58       COVAR   15855        6.363     0.035454       1.6606   6.3889e-05
Type59       COVAR   15855       4.1868     0.028773       1.3676    0.0011035
Type60       COVAR   15855       6.8152      0.03935       1.5532   5.7673e-06
Type61       COVAR   15855       4.4715     0.026179       1.5482    0.0019409
Type62       COVAR   15855       2.8147     0.018639       1.3318     0.017292
Type63       COVAR   15855       2.7046     0.018122       1.2855     0.017701
Type64       COVAR   15855        3.622     0.023386       1.3792    0.0043233
Type65       COVAR   15855       4.7199     0.029313       1.4374   0.00051347
Type66       COVAR   15855       4.2336     0.028914       1.3131   0.00063316
Type67       COVAR   15855      0.88193    0.0065555       1.1567      0.22291
Type68       COVAR   15855      0.53497    0.0043243       1.0891      0.31164
Type69       COVAR   15855     -0.66024   -0.0062143      0.97474       0.7509
Type70       COVAR   15855      0.16504    0.0013967       1.0523      0.43769
Type71       COVAR   15855      0.32869    0.0022948        1.349      0.40375
