# MEAN_SAMPLE_SIZE = 90909
# TOTAL_GENES = 15981
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
Type0        COVAR   15981       17.103     0.033556       4.7112   0.00014215
Type1        COVAR   15981       15.595      0.03203        4.416   0.00020735
Type2        COVAR   15981       19.421     0.035501       5.0045   5.2343e-05
Type3        COVAR   15981       20.225     0.040452       4.5839   5.1587e-06
Type4        COVAR   15981       23.642     0.044182       4.9526   9.1471e-07
Type5        COVAR   15981       21.195     0.036539       5.3052   3.2491e-05
Type6        COVAR   15981       17.578      0.03058       5.2132   0.00037446
Type7        COVAR   15981       20.126     0.035762        5.084   3.7882e-05
Type8        COVAR   15981       17.015     0.033378       4.6217   0.00011636
Type9        COVAR   15981       3.0066    0.0075797       3.6255      0.20348
Type10       COVAR   15981       10.982     0.025026       4.0722    0.0035054
Type11       COVAR   15981       6.6894      0.01424       4.1907     0.055226
Type12       COVAR   15981       15.298     0.031166       4.4814   0.00032132
Type13       COVAR   15981       9.2138     0.019444       4.1383        0.013
Type14       COVAR   15981        20.81     0.038703        4.823   8.0456e-06
Type15       COVAR   15981       19.016     0.035547       4.7673   3.3372e-05
Type16       COVAR   15981        12.38     0.027767       4.1275    0.0013556
Type17       COVAR   15981       19.487     0.034639       5.1941    8.817e-05
Type18       COVAR   15981       3.3627    0.0068271       4.4572       0.2253
Type19       COVAR   15981       20.871     0.036541       5.2849   3.9407e-05
Type20       COVAR   15981       8.2808     0.016315       4.5677     0.034935
Type21       COVAR   15981       10.751     0.021009        4.665     0.010605
Type22       COVAR   15981       8.1633     0.018032       3.9477     0.019335
Type23       COVAR   15981       7.1699     0.016631       3.8901     0.032667
Type24       COVAR   15981       5.4258        0.012       3.9755     0.086165
Type25       COVAR   15981       15.408     0.029373       4.7056    0.0005309
Type26       COVAR   15981       11.714     0.020569       5.1143     0.011003
Type27       COVAR   15981       8.6808     0.017858       4.2719     0.021082
Type28       COVAR   15981       8.7159     0.019252       3.8953     0.012633
Type29       COVAR   15981       15.095     0.031303       4.2419   0.00018714
Type30       COVAR   15981       10.013     0.023259       3.8667    0.0048119
Type31       COVAR   15981       14.527     0.025698       4.9912    0.0018075
Type32       COVAR   15981       9.9272     0.019837       4.4376      0.01265
Type33       COVAR   15981       11.537     0.021647        4.715    0.0072113
Type34       COVAR   15981       2.4277    0.0069866       3.0172      0.21053
Type35       COVAR   15981       4.3775     0.010612       3.4137     0.099876
Type36       COVAR   15981       2.6732    0.0067684       3.5969      0.22869
Type37       COVAR   15981       6.6774     0.016357       3.6428     0.033409
Type38       COVAR   15981       3.3554    0.0070993       4.0815      0.20552
Type39       COVAR   15981        26.83     0.042153       5.7625   1.6271e-06
Type40       COVAR   15981       14.851     0.026504       5.1335    0.0019114
Type41       COVAR   15981       15.393     0.029431       4.7447    0.0005904
Type42       COVAR   15981       8.6424      0.01839       4.1554      0.01878
Type43       COVAR   15981       14.656     0.026664       4.9137    0.0014312
Type44       COVAR   15981       4.2543    0.0099449       3.7514       0.1284
Type45       COVAR   15981        8.431      0.01782       4.1231     0.020445
Type46       COVAR   15981       17.236     0.029036       5.4612   0.00080116
Type47       COVAR   15981       22.831     0.038795       5.3174   8.8474e-06
Type48       COVAR   15981       10.054     0.019306       4.6103     0.014605
Type49       COVAR   15981       27.849     0.048445       5.2883   7.0689e-08
Type50       COVAR   15981       15.739     0.029056       4.8393   0.00057362
Type51       COVAR   15981       26.565     0.043396       5.5771   9.6248e-07
Type52       COVAR   15981       24.508     0.040978       5.4289   3.2012e-06
