# MEAN_SAMPLE_SIZE = 90908
# TOTAL_GENES = 15979
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
Type0        COVAR   15979      -3.6726    -0.014489       2.2854      0.94596
Type1        COVAR   15979      -1.5167   -0.0057567       2.3046      0.74477
Type2        COVAR   15979      -3.0404    -0.014625       1.9054       0.9447
Type3        COVAR   15979     -0.90776   -0.0042226       1.9168      0.68209
Type4        COVAR   15979      -2.1788   -0.0082902        2.399      0.81811
Type5        COVAR   15979     -0.17711  -0.00094879       1.5877      0.54441
Type6        COVAR   15979       20.029     0.036259       5.1028   4.3574e-05
Type7        COVAR   15979       14.985     0.029801       4.5401   0.00048378
Type8        COVAR   15979      -2.9325    -0.023913       1.1317      0.99521
Type9        COVAR   15979       11.482     0.023604       4.4253    0.0047386
Type10       COVAR   15979       19.573     0.037035       4.6358   1.2178e-05
Type11       COVAR   15979       7.3245     0.016298       4.3253       0.0452
Type12       COVAR   15979       9.2931      0.02098       4.4017     0.017385
Type13       COVAR   15979       9.2405     0.017244       4.8996      0.02966
Type14       COVAR   15979       14.707     0.027949       4.6997   0.00087774
Type15       COVAR   15979       9.6576     0.019331       4.4909     0.015768
Type16       COVAR   15979       5.8763     0.012426         4.31      0.08639
Type17       COVAR   15979       8.9306     0.019153       4.1474     0.015655
Type18       COVAR   15979       5.5934     0.012447       4.1997     0.091465
Type19       COVAR   15979       10.687     0.020474       4.7588     0.012366
Type20       COVAR   15979        18.05     0.034069       4.9263   0.00012459
Type21       COVAR   15979       14.916     0.029162       4.5862   0.00057387
Type22       COVAR   15979       11.324     0.023599        4.452    0.0054922
Type23       COVAR   15979       8.4054     0.018297       4.1209     0.020701
Type24       COVAR   15979       5.9135     0.013201       3.8972     0.064596
Type25       COVAR   15979       11.919      0.02115       5.2467     0.011562
Type26       COVAR   15979        10.05     0.019904       4.6008     0.014473
Type27       COVAR   15979       7.9819      0.01537       4.6473      0.04295
Type28       COVAR   15979       6.4907     0.012436       4.7522     0.086007
Type29       COVAR   15979       6.1959     0.011773       4.9149      0.10373
Type30       COVAR   15979       6.8941     0.012977       4.9372     0.081314
Type31       COVAR   15979       8.1446     0.016799        4.471     0.034264
Type32       COVAR   15979       5.5403     0.012386        4.044     0.085352
Type33       COVAR   15979       8.3356     0.016992       4.4372     0.030164
Type34       COVAR   15979       7.0876     0.015681       4.0856     0.041403
Type35       COVAR   15979       8.8537     0.017321       4.8501     0.033974
Type36       COVAR   15979       5.2044     0.010144       4.7403      0.13613
Type37       COVAR   15979       4.5249     0.011685       3.6175      0.10551
Type38       COVAR   15979        2.495    0.0059237       3.7277      0.25166
Type39       COVAR   15979       6.5085     0.014182        4.246     0.062666
Type40       COVAR   15979       1.7767    0.0049034       3.2701      0.29346
Type41       COVAR   15979       7.3735     0.016808       3.9319     0.030386
Type42       COVAR   15979       19.622     0.033904        5.349   0.00012254
Type43       COVAR   15979       11.265     0.023081       4.6339     0.007533
Type44       COVAR   15979       2.6075    0.0077406       3.1231       0.2019
Type45       COVAR   15979      -1.0579   -0.0026611       3.5371      0.61756
Type46       COVAR   15979        5.621     0.014262       3.4973     0.054013
Type47       COVAR   15979       5.2999     0.012591       3.8572     0.084728
Type48       COVAR   15979       5.7439     0.013744        3.784     0.064526
Type49       COVAR   15979       1.1339    0.0024903       4.2956       0.3959
Type50       COVAR   15979       20.609     0.038487       4.9955   1.8596e-05
Type51       COVAR   15979       19.416     0.036079       4.9541   4.4656e-05
Type52       COVAR   15979       16.446     0.032507       4.6424   0.00019872
Type53       COVAR   15979       15.948     0.033971       4.1793   6.8113e-05
Type54       COVAR   15979       19.044     0.032863       5.2949   0.00016169
Type55       COVAR   15979       20.242     0.036183       5.0699   3.2856e-05
Type56       COVAR   15979       17.955     0.031718       5.0927    0.0002119
Type57       COVAR   15979      -2.0971    -0.017691       1.0459      0.97751
Type58       COVAR   15979      -1.4014    -0.011033        1.113      0.89599
Type59       COVAR   15979       0.8745    0.0028993       2.6906      0.37259
Type60       COVAR   15979      0.28391   0.00080364       3.2666      0.46537
Type61       COVAR   15979       1.4745    0.0057762       2.2209      0.25339
Type62       COVAR   15979       1.0084    0.0035655       2.5448      0.34596
Type63       COVAR   15979       2.6306    0.0086025       2.8363      0.17685
Type64       COVAR   15979       2.6024    0.0091226        2.578      0.15638
Type65       COVAR   15979      0.37745    0.0013296       2.6082      0.44247
Type66       COVAR   15979       14.208     0.027505       4.6576    0.0011444
Type67       COVAR   15979       14.266      0.03185       4.0932   0.00024658
Type68       COVAR   15979       10.421     0.022419       4.2074    0.0066354
Type69       COVAR   15979       14.811     0.029365       4.5369    0.0005495
Type70       COVAR   15979       11.364     0.019695       5.2971     0.015975
Type71       COVAR   15979           18     0.036355       4.7736   8.1747e-05
Type72       COVAR   15979       20.225     0.034086       5.3749   8.4323e-05
Type73       COVAR   15979       21.234     0.038426       4.9543   9.1617e-06
Type74       COVAR   15979       21.639     0.038572       4.9848   7.1435e-06
Type75       COVAR   15979       8.4195     0.015984       4.7211     0.037274
Type76       COVAR   15979       18.969     0.033096       5.2087    0.0001359
Type77       COVAR   15979       15.133     0.026269       5.0996    0.0015037
Type78       COVAR   15979       14.189     0.024752       5.1586    0.0029781
Type79       COVAR   15979       18.223     0.032258       5.1844   0.00022059
Type80       COVAR   15979       17.826     0.033787       4.7332    8.324e-05
Type81       COVAR   15979       25.076     0.043927       5.2195   7.8469e-07
Type82       COVAR   15979       13.056     0.024937       4.8156    0.0033567
Type83       COVAR   15979       13.565     0.026062       4.7741    0.0022502
Type84       COVAR   15979       6.2997     0.012904       4.3958     0.075923
Type85       COVAR   15979       11.645     0.025733       3.9845    0.0017394
Type86       COVAR   15979       17.172      0.03298       4.7532   0.00015207
Type87       COVAR   15979       19.336     0.035805       5.0195   5.8827e-05
Type88       COVAR   15979       19.273     0.037975       4.6448    1.677e-05
Type89       COVAR   15979       16.958     0.031264       5.0197    0.0003658
Type90       COVAR   15979       3.8864     0.010829       3.0771      0.10331
Type91       COVAR   15979       12.686     0.022628       5.0558    0.0060569
Type92       COVAR   15979       7.8405     0.015765       4.3289     0.035066
Type93       COVAR   15979       26.928     0.045656       5.2854   1.7689e-07
Type94       COVAR   15979       20.402     0.034252       5.3161   6.2345e-05
Type95       COVAR   15979       14.142     0.024897       5.1443    0.0029931
Type96       COVAR   15979       8.9073      0.01842       4.3988     0.021448
Type97       COVAR   15979       10.765     0.019418       4.9668     0.015113
Type98       COVAR   15979        22.22     0.037961       5.4134   2.0371e-05
Type99       COVAR   15979       9.8797     0.020479       4.2031     0.009379
Type100      COVAR   15979       20.381       0.0338        5.538   0.00011697
Type101      COVAR   15979        6.857     0.012827       4.7534     0.074586
Type102      COVAR   15979       12.674     0.026084       4.4351    0.0021376
Type103      COVAR   15979       21.947     0.034829       5.7924   7.5967e-05
Type104      COVAR   15979       26.787     0.043424        5.722   1.4386e-06
Type105      COVAR   15979       17.425      0.02998       5.2374   0.00043997
Type106      COVAR   15979       24.634     0.041903       5.4059   2.6199e-06
Type107      COVAR   15979       15.912     0.025885       5.4769    0.0018371
Type108      COVAR   15979       -5.016    -0.029699       1.5174      0.99952
Type109      COVAR   15979       17.414     0.032649       4.7478   0.00012281
Type110      COVAR   15979       8.9546     0.021233       3.6326    0.0068558
Type111      COVAR   15979       11.412     0.022995        4.521     0.005803
Type112      COVAR   15979       12.265     0.023928        4.576    0.0036823
Type113      COVAR   15979       2.8157    0.0061868       4.0389      0.24286
Type114      COVAR   15979       5.1765     0.010699       4.3903      0.11919
Type115      COVAR   15979       6.6792      0.01527       3.8394     0.040972
Type116      COVAR   15979       5.4987     0.012972        3.743      0.07092
Type117      COVAR   15979        13.14     0.025294       4.6532    0.0023765
Type118      COVAR   15979       2.7408    0.0061995       3.9019      0.24121
Type119      COVAR   15979        14.46     0.026438       4.8808     0.001528
Type120      COVAR   15979       7.8075      0.01503       4.5867      0.04437
Type121      COVAR   15979       14.262     0.027347       4.7065    0.0012244
Type122      COVAR   15979       16.542     0.028637       5.2235   0.00077246
Type123      COVAR   15979       13.442      0.02698       4.4946    0.0013938
Type124      COVAR   15979       12.623     0.025484       4.4254    0.0021733
Type125      COVAR   15979     -0.89729    -0.010538       0.7646       0.8797
Type126      COVAR   15979      -1.7339    -0.022278      0.72139      0.99188
Type127      COVAR   15979      -1.3672    -0.020295      0.60925      0.98758
Type128      COVAR   15979      -1.4099    -0.019997      0.62235      0.98825
Type129      COVAR   15979      -3.0035    -0.022466       1.2014      0.99378
Type130      COVAR   15979      -3.1021    -0.022677       1.2144      0.99468
