# MEAN_SAMPLE_SIZE = 57470
# TOTAL_GENES = 15831
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
Type0        COVAR   15831      -0.8989     -0.01191      0.72522      0.89241
Type1        COVAR   15831     -0.98804    -0.014126      0.67769      0.92756
Type2        COVAR   15831      -1.3801    -0.021423      0.61064      0.98808
Type3        COVAR   15831     -0.27586   -0.0042373      0.61997      0.67182
Type4        COVAR   15831      -0.8492    -0.012113      0.67309      0.89645
Type5        COVAR   15831     -0.10376   -0.0017544      0.54716       0.5752
Type6        COVAR   15831       5.6764     0.032723       1.6211   0.00023209
Type7        COVAR   15831         2.37      0.01616       1.3572     0.040395
Type8        COVAR   15831     -0.40623    -0.010161      0.36218      0.86898
Type9        COVAR   15831     -0.85951    -0.021255       0.3853      0.98714
Type10       COVAR   15831      -1.1093    -0.023485      0.44633      0.99352
Type11       COVAR   15831        2.314     0.014732        1.441     0.054164
Type12       COVAR   15831       5.1796     0.034396       1.3835   9.1014e-05
Type13       COVAR   15831      0.67541    0.0050143       1.2672      0.29703
Type14       COVAR   15831      0.86374    0.0062457       1.3128       0.2553
Type15       COVAR   15831      -1.1261   -0.0084665       1.2422      0.81767
Type16       COVAR   15831       1.1749    0.0078546       1.4103      0.20242
Type17       COVAR   15831     0.091951   0.00072011        1.169      0.46865
Type18       COVAR   15831     -0.58388   -0.0043838       1.2411      0.68099
Type19       COVAR   15831        0.819     0.006459       1.1498      0.23816
Type20       COVAR   15831      0.95714    0.0073587       1.1768      0.20803
Type21       COVAR   15831       2.3197      0.01512       1.3828     0.046723
Type22       COVAR   15831        1.541      0.01165       1.2668      0.11191
Type23       COVAR   15831       3.9145     0.023726        1.524    0.0051108
Type24       COVAR   15831      0.29543    0.0023134       1.2138      0.40385
Type25       COVAR   15831     -0.76251   -0.0084606      0.84257      0.81725
Type26       COVAR   15831      0.64561    0.0052663       1.1522      0.28763
Type27       COVAR   15831      0.84237    0.0057483       1.3473      0.26592
Type28       COVAR   15831      0.71589     0.004565       1.4935      0.31585
Type29       COVAR   15831       1.0242    0.0070532       1.3501      0.22405
Type30       COVAR   15831        0.281    0.0022252       1.1653      0.40472
Type31       COVAR   15831      0.35517    0.0023331       1.4807      0.40522
Type32       COVAR   15831     0.098957   0.00064392       1.4627      0.47303
Type33       COVAR   15831       1.1387    0.0082224       1.3312      0.19617
Type34       COVAR   15831       2.0975     0.014386       1.3716     0.063116
Type35       COVAR   15831       1.9763     0.015487       1.1829       0.0474
Type36       COVAR   15831      0.71361    0.0059113       1.1287      0.26363
Type37       COVAR   15831        1.256      0.01019       1.1278      0.13273
Type38       COVAR   15831       3.4534     0.020352        1.605     0.015721
Type39       COVAR   15831        0.938    0.0062479       1.3883      0.24964
Type40       COVAR   15831      0.87884    0.0068455       1.1742       0.2271
Type41       COVAR   15831       1.3681     0.010937       1.1508      0.11726
Type42       COVAR   15831      0.68939    0.0050041       1.2761      0.29453
Type43       COVAR   15831      -0.9768   -0.0077723        1.175      0.79709
Type44       COVAR   15831      0.59821    0.0041142       1.3358      0.32715
Type45       COVAR   15831       2.2116     0.013192       1.5096     0.071469
Type46       COVAR   15831       2.1708     0.014976       1.3406     0.052703
Type47       COVAR   15831      0.95916    0.0086275       1.0368      0.17747
Type48       COVAR   15831      0.25586     0.002123       1.1037      0.40834
Type49       COVAR   15831       1.6123     0.012572       1.1767     0.085313
Type50       COVAR   15831       1.0433    0.0079997       1.1959       0.1915
Type51       COVAR   15831       2.1412     0.016561       1.1934     0.036399
Type52       COVAR   15831      0.20154    0.0017678       1.0408      0.42323
Type53       COVAR   15831       8.1105     0.045667       1.6793   6.9151e-07
Type54       COVAR   15831       5.1626     0.030193       1.5744   0.00052216
Type55       COVAR   15831       3.7266     0.024471       1.4653    0.0054964
Type56       COVAR   15831       5.1007     0.033046       1.4538   0.00022608
Type57       COVAR   15831       7.5073     0.038013       1.8601   2.7357e-05
Type58       COVAR   15831       6.7985     0.036931       1.7315   4.3368e-05
Type59       COVAR   15831       3.1651     0.021221       1.3579    0.0098883
Type60       COVAR   15831     -0.90963     -0.02081        0.413      0.98618
Type61       COVAR   15831     -0.39661    -0.010216      0.35802      0.86601
Type62       COVAR   15831      -1.0359    -0.026211      0.36137      0.99792
Type63       COVAR   15831     -0.59566    -0.017072      0.30848      0.97324
Type64       COVAR   15831     -0.83614    -0.018515       0.4135      0.97841
Type65       COVAR   15831     -0.83986    -0.017813       0.4183      0.97766
Type66       COVAR   15831      0.74201    0.0083339      0.85304       0.1922
Type67       COVAR   15831      -1.0829    -0.011017      0.94938      0.87298
Type68       COVAR   15831       1.0319    0.0095807       1.0366      0.15975
Type69       COVAR   15831      0.28566    0.0034481      0.78198      0.35744
Type70       COVAR   15831     -0.24367   -0.0031762      0.72213       0.6321
Type71       COVAR   15831      0.44562    0.0054749      0.77807      0.28342
Type72       COVAR   15831        1.877     0.020432      0.84914     0.013545
Type73       COVAR   15831      0.82749    0.0090092      0.85758      0.16731
Type74       COVAR   15831     0.014897   0.00018113      0.78486      0.49243
Type75       COVAR   15831       5.2533     0.031416       1.5465   0.00034172
Type76       COVAR   15831       4.0566     0.029432        1.303   0.00092717
Type77       COVAR   15831        3.954     0.027946       1.3036     0.001213
Type78       COVAR   15831        7.336     0.044929       1.5418   9.8735e-07
Type79       COVAR   15831       4.2725     0.024988       1.5555    0.0030133
Type80       COVAR   15831       5.5945     0.031064       1.6825   0.00044328
Type81       COVAR   15831       6.6103     0.034057       1.8345   0.00015763
Type82       COVAR   15831       7.5484     0.043424       1.6439   2.2185e-06
Type83       COVAR   15831       11.076     0.056095       1.8269   6.8812e-10
Type84       COVAR   15831       3.1221      0.01965       1.4532     0.015848
Type85       COVAR   15831        6.569     0.036142       1.6795   4.6138e-05
Type86       COVAR   15831       2.5838     0.016407       1.3933      0.03185
Type87       COVAR   15831       4.1017     0.022548       1.6288    0.0059036
Type88       COVAR   15831        7.724     0.039581        1.827   1.1891e-05
Type89       COVAR   15831       4.1264     0.023863       1.6163    0.0053452
Type90       COVAR   15831       6.5489     0.038206       1.5504   1.2079e-05
Type91       COVAR   15831       5.6581     0.032702       1.6535   0.00031195
Type92       COVAR   15831       4.4069     0.025664       1.6007    0.0029561
Type93       COVAR   15831        1.361    0.0089249       1.3716      0.16054
Type94       COVAR   15831       4.6226      0.03134        1.399   0.00047751
Type95       COVAR   15831       4.7567     0.029305       1.5264   0.00091784
Type96       COVAR   15831        5.661     0.032978       1.6041   0.00020917
Type97       COVAR   15831       5.9501     0.037252       1.4855   3.1118e-05
Type98       COVAR   15831       5.0486     0.031618       1.4914   0.00035685
Type99       COVAR   15831      0.31621    0.0033512      0.86573      0.35746
Type100      COVAR   15831       3.9363     0.025601       1.4581    0.0034752
Type101      COVAR   15831       3.6939     0.024898       1.3261    0.0026751
Type102      COVAR   15831       10.477     0.051647       1.8533   8.0334e-09
Type103      COVAR   15831       6.1756     0.032108       1.8064   0.00031563
Type104      COVAR   15831       5.4442     0.029161       1.7482   0.00092407
Type105      COVAR   15831       3.0779     0.018841       1.5202     0.021463
Type106      COVAR   15831       3.7274     0.020887       1.6314      0.01117
Type107      COVAR   15831       7.2884     0.040732       1.6616   5.8085e-06
Type108      COVAR   15831       4.4066     0.025711       1.5646    0.0024317
Type109      COVAR   15831       5.9622     0.031714        1.724   0.00027262
Type110      COVAR   15831       2.9439     0.017551       1.5492     0.028705
Type111      COVAR   15831       4.8994     0.031081       1.4932   0.00051827
Type112      COVAR   15831       7.3596     0.035763       1.9343   7.1283e-05
Type113      COVAR   15831       7.9293     0.039479       1.8385   8.1185e-06
Type114      COVAR   15831       3.1403     0.017167       1.6791     0.030735
Type115      COVAR   15831       8.0837      0.04123       1.8026   3.6868e-06
Type116      COVAR   15831       4.0433     0.021285       1.8155     0.012977
Type117      COVAR   15831      -1.7552    -0.039791      0.41041      0.99999
Type118      COVAR   15831      -0.3567   -0.0077751      0.42177      0.80114
Type119      COVAR   15831     -0.25088    -0.005184      0.43859      0.71634
Type120      COVAR   15831    -0.084339   -0.0017784      0.42998      0.57775
Type121      COVAR   15831       7.1091     0.042184       1.6167   5.5256e-06
Type122      COVAR   15831       5.7814     0.036177       1.4773    4.574e-05
Type123      COVAR   15831       3.8181     0.024429        1.436    0.0039257
Type124      COVAR   15831       3.0872     0.020285       1.4156     0.014607
Type125      COVAR   15831       1.4533     0.010239       1.2784      0.12783
Type126      COVAR   15831        3.567     0.021311        1.561     0.011162
Type127      COVAR   15831        2.876      0.01809       1.4081     0.020562
Type128      COVAR   15831       4.7046     0.031377       1.4087   0.00042067
Type129      COVAR   15831       5.0471       0.0305       1.5555   0.00058956
Type130      COVAR   15831       1.3474    0.0094539       1.3459      0.15839
Type131      COVAR   15831       2.7419     0.015848       1.6249     0.045774
Type132      COVAR   15831       1.6267     0.010262       1.4636      0.13319
Type133      COVAR   15831       4.6082     0.029319       1.4791   0.00092011
Type134      COVAR   15831       3.7386     0.023771       1.4015    0.0038244
Type135      COVAR   15831       3.2801     0.022905       1.3594    0.0079204
Type136      COVAR   15831       3.9589     0.024031       1.5368    0.0050028
