,Sst_1,Sst_10,Sst_11,Sst_12,Sst_13,Sst_19,Sst_2,Sst_20,Sst_22,Sst_23,Sst_25,Sst_3,Sst_4,Sst_5,Sst_7,Sst_9
MIR1302-2HG,0.0,0.0,0.0,0.0,0.0008093862003984177,0.0013289061191888109,0.0,0.0,0.0,0.0,0.0,0.0,0.0043695392162590545,0.0,0.0,0.0007794986923849666
FAM138A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR4F5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL627309.1,0.013449929336437825,0.010428849479338325,0.014375753620031817,0.018344395116534178,0.007420001063940343,0.009339980185237028,0.010923097452680173,0.008304700321203805,0.010374580307665285,0.0012941557625175213,0.008910230649774191,0.009596774400360929,0.00867126261191064,0.0,0.009370495438981984,0.017450031797308457
AL627309.3,0.0,0.001252544558448851,0.0,0.0,0.00111939812935226,0.0,0.0,0.0012376178228388495,0.0,0.0,0.0009163876864981724,0.000550744766794858,0.0,0.0,0.002847681232050259,0.0
AL627309.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL627309.5,0.026170320408592334,0.023111286148318932,0.02663409883767415,0.024988706877207813,0.02178105869881669,0.02301733773529685,0.024728378228140984,0.023792791589678456,0.024745957153112078,0.019492613583269078,0.02140543801366367,0.02317148971626734,0.019842067305351666,0.011007585192390486,0.021539800538060577,0.022558768549468863
AL627309.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP006222.2,0.002842463206346069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL732372.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022803599271751707,0.0,0.0,0.0,0.0
OR4F29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC114498.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR4F16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL669831.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013594661263655106,0.0,0.001035571552050217,0.0,0.0,0.0,0.0
LINC01409,0.16630732922904448,0.13891451217894601,0.11785572267895712,0.174612607542582,0.18045465037234956,0.14494904509336906,0.13091138315791018,0.1302975193374928,0.11787160770640176,0.14628836299840917,0.14333426149505568,0.1472897504445077,0.18824770656753662,0.1789661818992173,0.17099887939094405,0.145429765693363
FAM87B,0.0,0.0,0.0009831012260161193,0.0,0.0,0.0,0.0,0.0007802463763567735,0.0,0.0009005805812974053,0.0024465511721408146,0.0,0.0,0.0024041486563185434,0.0,0.0
LINC01128,0.17289565472388604,0.14344915351944684,0.13365231316323542,0.20457468624885738,0.1514847552773709,0.15052915429797278,0.171591348099244,0.15841830137408727,0.1696121413972142,0.13528159515329258,0.1544075455414314,0.16267182155725382,0.18792498737673508,0.12903137584493385,0.16095007484221288,0.18599593642010226
LINC00115,0.06061520592259932,0.04766526635046028,0.016334204521773418,0.015345896908793814,0.01812590562438364,0.02487216273850595,0.030086214245989704,0.015442121234372979,0.009894779739906401,0.021483077468555035,0.010086781205604847,0.017942615491029257,0.023450654077954866,0.0338479702968024,0.021885608311160865,0.02421227698973537
FAM41C,0.005653437323696193,0.0023520521425788323,0.004558899051317422,0.009256539357967398,0.00946701382607127,0.008619632471015342,0.008192830009738463,0.013288209740153652,0.010570215972370619,0.0028877930766704643,0.010533019955816389,0.007607075191639081,0.011632862393837111,0.0027970346154217642,0.018624177008378297,0.008975547690539163
AL645608.6,0.006618819042678494,0.0014730249496126542,0.0010690917218058225,0.003391393916069054,0.0012432024958162647,0.0007978072141275037,0.004312653301309898,0.004678001363461026,0.0,0.0,0.0,0.0020278879971171973,0.002754830880707062,0.008082835942235397,0.0,0.0029684505969750285
AL645608.2,0.0030068539152230934,0.0,0.0,0.002969330839839011,0.002071263947638202,0.00453642618720014,0.0,0.0012858301643419927,0.002012463005874621,0.0,0.0007711687567468476,0.0024172065736778503,0.0026515477524941163,0.005564349128432491,0.0,0.0
AL645608.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
