safe_name,cell_type
Type0,Astro_1
Type1,Astro_2
Type2,Astro_3
Type3,Astro_4
Type4,Astro_5
Type5,Astro_6-SEAAD
Type6,Chandelier_1
Type7,Chandelier_2
Type8,Endo_1
Type9,Endo_2
Type10,Endo_3
Type11,L2/3 IT_1
Type12,L2/3 IT_2
Type13,L2/3 IT_3
Type14,L2/3 IT_5
Type15,L2/3 IT_6
Type16,L2/3 IT_7
Type17,L2/3 IT_8
Type18,L2/3 IT_10
Type19,L2/3 IT_12
Type20,L2/3 IT_13
Type21,L4 IT_1
Type22,L4 IT_2
Type23,L4 IT_3
Type24,L4 IT_4
Type25,L5 ET_1
Type26,L5 ET_2
Type27,L5 IT_1
Type28,L5 IT_2
Type29,L5 IT_3
Type30,L5 IT_5
Type31,L5 IT_6
Type32,L5 IT_7
Type33,L5/6 NP_1
Type34,L5/6 NP_2
Type35,L5/6 NP_3
Type36,L5/6 NP_4
Type37,L5/6 NP_6
Type38,L6 CT_1
Type39,L6 CT_2
Type40,L6 CT_3
Type41,L6 CT_4
Type42,L6 IT Car3_1
Type43,L6 IT Car3_2
Type44,L6 IT Car3_3
Type45,L6 IT_1
Type46,L6 IT_2
Type47,L6b_1
Type48,L6b_2
Type49,L6b_3
Type50,L6b_4
Type51,L6b_5
Type52,L6b_6
Type53,Lamp5_1
Type54,Lamp5_2
Type55,Lamp5_3
Type56,Lamp5_4
Type57,Lamp5_5
Type58,Lamp5_6
Type59,Lamp5_Lhx6_1
Type60,Micro-PVM_1
Type61,Micro-PVM_1_1-SEAAD
Type62,Micro-PVM_2
Type63,Micro-PVM_2_1-SEAAD
Type64,Micro-PVM_2_3-SEAAD
Type65,Micro-PVM_3-SEAAD
Type66,OPC_1
Type67,OPC_2
Type68,OPC_2_1-SEAAD
Type69,OPC_2_2-SEAAD
Type70,Oligo_1
Type71,Oligo_2
Type72,Oligo_2_1-SEAAD
Type73,Oligo_3
Type74,Oligo_4
Type75,Pax6_1
Type76,Pax6_2
Type77,Pax6_3
Type78,Pax6_4
Type79,Pvalb_1
Type80,Pvalb_2
Type81,Pvalb_3
Type82,Pvalb_5
Type83,Pvalb_6
Type84,Pvalb_7
Type85,Pvalb_8
Type86,Pvalb_9
Type87,Pvalb_10
Type88,Pvalb_12
Type89,Pvalb_13
Type90,Pvalb_14
Type91,Pvalb_15
Type92,Sncg_1
Type93,Sncg_2
Type94,Sncg_3
Type95,Sncg_4
Type96,Sncg_5
Type97,Sncg_6
Type98,Sncg_8
Type99,Sst Chodl_1
Type100,Sst Chodl_2
Type101,Sst_1
Type102,Sst_2
Type103,Sst_3
Type104,Sst_4
Type105,Sst_5
Type106,Sst_7
Type107,Sst_9
Type108,Sst_10
Type109,Sst_11
Type110,Sst_12
Type111,Sst_13
Type112,Sst_19
Type113,Sst_20
Type114,Sst_22
Type115,Sst_23
Type116,Sst_25
Type117,VLMC_1
Type118,VLMC_2
Type119,VLMC_2_1-SEAAD
Type120,VLMC_2_2-SEAAD
Type121,Vip_1
Type122,Vip_2
Type123,Vip_4
Type124,Vip_5
Type125,Vip_6
Type126,Vip_9
Type127,Vip_11
Type128,Vip_12
Type129,Vip_13
Type130,Vip_14
Type131,Vip_15
Type132,Vip_16
Type133,Vip_18
Type134,Vip_19
Type135,Vip_21
Type136,Vip_23
