supertype,beta,se,t_stat,p_value,n_genes,p_bonferroni,p_fdr
Sst_23,24.027658359440714,3.885933651311678,6.18323947742399,3.214786215011145e-10,16301,4.4685528388654916e-08,4.4685528388654916e-08
Pvalb_5,22.161715933033953,4.1805111988345915,5.30119759976053,5.827259830226694e-08,16301,8.099891164015105e-06,3.2921766612847847e-06
Lamp5_4,23.125020599608668,4.3923675243938645,5.264819137100751,7.105417254571478e-08,16301,9.876529983854354e-06,3.2921766612847847e-06
Pvalb_6,19.256252765195146,4.020860121692549,4.789087951930389,8.450709063634321e-07,16301,0.00011746485598451706,2.3956215000664474e-05
Sst_25,18.797414042142357,3.9282711112024704,4.785162100583313,8.617343525418875e-07,16301,0.00011978107500332236,2.3956215000664474e-05
Pvalb_7,19.82874526171195,4.201341842829744,4.719621969241291,1.1912354127563418e-06,16301,0.0001655817223731315,2.759695372885525e-05
Sst_2,18.103154346461384,3.8831144721910427,4.662019231240098,1.578020256354229e-06,16301,0.00021934481563323782,2.8931549610242135e-05
Sst_11,15.68638541508886,3.3727362862813983,4.650937423982189,1.6651251574240078e-06,16301,0.00023145239688193708,2.8931549610242135e-05
Pvalb_15,17.40109792133322,4.247805217731058,4.096491488992503,2.1074312759994385e-05,16301,0.0029293294736392195,0.0003209083465104068
Sst_7,18.628159550244412,4.570996760645471,4.075294848297798,2.3086931403626387e-05,16301,0.003209083465104068,0.0003209083465104068
Sst_20,14.589931359429032,3.6871187450731533,3.957000674015332,3.8109179129386384e-05,16301,0.005297175898984707,0.00048156144536224614
Pvalb_12,15.416078574836034,4.030213873221036,3.825126670638738,6.559608060430211e-05,16301,0.009117855203997993,0.0007573543726781064
Pax6_1,16.440361967940436,4.320276055845003,3.8053961727047243,7.104751529229958e-05,16301,0.009875604625629641,0.0007573543726781064
Lamp5_5,17.058402745628378,4.503565136757656,3.787755306656802,7.628029652873014e-05,16301,0.01060296121749349,0.0007573543726781064
Pvalb_8,14.470816149883863,3.895919992685238,3.714351469499748,0.00010220271362360034,16301,0.014206177193680447,0.0009470784795786965
Pvalb_2,15.454437163207068,4.199313863800206,3.6802291194355834,0.00011688784933150398,16301,0.016247411057079053,0.0010154631910674408
Lamp5_3,15.596937998317943,4.335992036595455,3.597086402991733,0.0001613769042889679,16301,0.022431389696166537,0.0012720801340572433
Sst_3,14.633162005512956,4.074129036961917,3.5917276730206176,0.00016472980153259265,16301,0.022897442413030378,0.0012720801340572433
Sncg_8,13.058689304888619,3.766371190428406,3.467180648066517,0.0002636523388380718,16301,0.03664767509849198,0.0019288250051837884
Sst_13,12.8914533254286,3.7473684417706483,3.440134997597762,0.00029144021252947017,16301,0.04051018954159635,0.0019335961133308027
Sst_9,14.933658923462323,4.3418130646723885,3.439498361864444,0.00029212603151040906,16301,0.04060551837994686,0.0019335961133308027
Pvalb_13,14.524123918051997,4.311847776311982,3.368422233698333,0.00037887404736114405,16301,0.05266349258319902,0.0023937951174181375
Lamp5_6,13.732456300812812,4.116479770298164,3.3359707971595705,0.00042596004349926275,16301,0.05920844604639752,0.002574280262886849
Pax6_2,14.307671663383758,4.362819105091007,3.2794556269105968,0.0005211284523076731,16301,0.07243685487076656,0.00301820228628194
Sncg_1,12.727208213573135,3.915906843925021,3.250130485948002,0.0005779304031604537,16301,0.08033232603930307,0.003118216112030708
