supertype,pip_weighted_accessibility
L5 IT_7,0.9035507
L2/3 IT_13,0.90030366
L5 ET_2,0.8730492
L5 IT_6,0.85434854
L6 IT_2,0.83068824
L5 ET_1,0.82176614
L2/3 IT_12,0.8199213
L5 IT_5,0.8145832
L5 IT_3,0.81329733
L2/3 IT_10,0.7972259
L2/3 IT_8,0.79629874
L2/3 IT_3,0.79586464
L2/3 IT_5,0.7839878
L6 IT Car3_2,0.7739238
L6 IT_1,0.7575613
L6 CT_3,0.74174917
L6 IT Car3_3,0.7285914
L5 IT_1,0.71415484
L6 CT_2,0.7132303
L6b_6,0.6942691
L4 IT_3,0.6912193
L2/3 IT_6,0.69116735
L6 CT_4,0.68903995
L6 IT Car3_1,0.6872562
L4 IT_4,0.6721111
L6b_3,0.6698074
L2/3 IT_7,0.6549633
Pvalb_10,0.64454347
L6b_2,0.6444077
L5 IT_2,0.6439049
L4 IT_2,0.6437366
L6 CT_1,0.64109266
L5/6 NP_6,0.6350138
L2/3 IT_2,0.62727296
L5/6 NP_2,0.6068331
L5/6 NP_1,0.6017069
L2/3 IT_1,0.5978336
L4 IT_1,0.58438134
Pvalb_13,0.58094335
L5/6 NP_3,0.57399935
Pax6_3,0.5717418
L5/6 NP_4,0.5561255
L6b_1,0.550564
Pvalb_1,0.54219955
Sst Chodl_2,0.5404499
L6b_5,0.53905755
Pvalb_15,0.52979827
Pvalb_3,0.52213883
Sst_9,0.516697
L6b_4,0.515766
Pax6_4,0.5148476
Sst_1,0.51122266
Sst_12,0.50624585
Sst Chodl_1,0.50213915
Pvalb_2,0.50178045
Pvalb_7,0.4986516
Pvalb_12,0.4983157
Vip_6,0.4981642
Pvalb_6,0.4938284
Sncg_3,0.49346226
Micro-PVM_2_1-SEAAD,0.49210855
Lamp5_Lhx6_1,0.48162603
Pax6_2,0.47148982
Vip_9,0.46838266
Vip_14,0.4663862
Sst_4,0.46264324
Pvalb_5,0.46177655
Pvalb_14,0.45763734
Sst_7,0.45614913
Pax6_1,0.44873855
OPC_1,0.44716394
Vip_16,0.43943855
Vip_15,0.4390065
Vip_13,0.43560588
Sncg_2,0.43430367
Sst_25,0.43243983
Vip_5,0.4314632
Pvalb_9,0.4234024
Lamp5_3,0.42025462
Lamp5_4,0.41760904
Sst_22,0.41658783
Vip_11,0.4134932
Lamp5_1,0.41310138
Sncg_6,0.4114157
Sst_5,0.40204695
Lamp5_2,0.3885968
Sst_10,0.38434553
Sst_2,0.38141185
Sncg_5,0.37165216
Sst_3,0.37122366
Sncg_8,0.3699423
Pvalb_8,0.3681246
Sncg_4,0.36759168
Vip_4,0.3633907
Sst_13,0.3626492
Chandelier_2,0.35377198
Lamp5_6,0.3514777
Vip_19,0.3495813
Vip_2,0.34748915
Sncg_1,0.34444258
Vip_12,0.3421392
Vip_18,0.34194243
Sst_20,0.3381019
Sst_23,0.33234867
Lamp5_5,0.33216456
Chandelier_1,0.32961693
Vip_21,0.3288766
Vip_1,0.32836735
Astro_6-SEAAD,0.32728007
Astro_3,0.32271627
Astro_2,0.312587
Vip_23,0.30255476
OPC_2,0.29324552
Sst_19,0.28522494
OPC_2_2-SEAAD,0.28042188
Astro_1,0.28003296
Sst_11,0.2778802
Astro_5,0.27669704
Astro_4,0.2603885
Oligo_1,0.23956357
Micro-PVM_3-SEAAD,0.22808208
Micro-PVM_2,0.20535885
OPC_2_1-SEAAD,0.2016541
Micro-PVM_4-SEAAD,0.2012381
Micro-PVM_2_3-SEAAD,0.1971229
Oligo_4,0.1910151
Oligo_2,0.18507193
Monocyte,0.1795224
Oligo_3,0.16660146
VLMC_1,0.16395086
Micro-PVM_1,0.16034038
Oligo_2_1-SEAAD,0.15316008
Endo_2,0.13451761
Endo_3,0.12003166
Endo_1,0.11630252
Lymphocyte,0.1030338
Pericyte_1,0.102731414
SMC-SEAAD,0.076692276
Pericyte_2-SEAAD,0.06098398
