supertype,pip_weighted_specificity
L2/3 IT_6,0.009807647244336817
L2/3 IT_8,0.009656359037282163
L2/3 IT_12,0.009579040406517024
L2/3 IT_7,0.009560802592619745
L5 IT_7,0.009522236475668473
L2/3 IT_13,0.009378555266258899
L2/3 IT_1,0.009137447556862974
L2/3 IT_10,0.009093168960391413
L5 IT_6,0.009071978047708052
L6 IT_1,0.00900448557747356
L6 IT_2,0.008994195245180721
L5 IT_5,0.008977236359586829
L5 ET_2,0.008851552968035435
L2/3 IT_5,0.008799191711264302
L6 CT_4,0.008775007405224302
L5 ET_1,0.008715983224708013
L2/3 IT_3,0.008658355565432355
L6b_6,0.008591003851256164
L5 IT_3,0.008548131899304397
L6 CT_3,0.008491126583529976
L6b_2,0.008456980411562969
L5 IT_2,0.00836779518482627
L5 IT_1,0.008364290056396132
L6 CT_2,0.008340908172982275
L6 IT Car3_2,0.008322196642320768
L2/3 IT_2,0.008289027015289704
L6b_3,0.008225240795547057
L4 IT_2,0.008190463596385872
L4 IT_3,0.008151296638227789
L6b_4,0.008066329884820074
L6b_5,0.008051952391256965
L4 IT_4,0.00795010964372601
Pvalb_10,0.007898542068819826
L6 IT Car3_3,0.007868716537390989
L6b_1,0.007868270159232423
L4 IT_1,0.007837762284652494
Pvalb_13,0.007808017281698169
L5/6 NP_2,0.007793610229060218
L6 CT_1,0.0077295953695069594
Pvalb_1,0.007707940477445194
Pvalb_3,0.00764057546142639
L5/6 NP_1,0.007629606794301997
Sst_7,0.0075773162469125665
L5/6 NP_3,0.007571658900424014
L5/6 NP_6,0.007566615311129684
L5/6 NP_4,0.007521181294666485
Pvalb_12,0.007438370864491267
Sst_3,0.007415590433987241
Pvalb_2,0.007376075414595094
Sst Chodl_2,0.007359535393640559
Sst_9,0.00735234215444901
L6 IT Car3_1,0.007351935112132493
Sst_12,0.007345529197514662
Pvalb_14,0.007340007297342741
Sst_1,0.0073217209754102425
Sst_22,0.007316054650170523
Pvalb_15,0.007312732455172482
Pvalb_5,0.007311732210608508
Pvalb_9,0.007292611184257603
Lamp5_Lhx6_1,0.007229565268613142
Sst_25,0.007203071871226634
Pvalb_8,0.007201042475320226
Sst_5,0.007196869081202943
Sst_13,0.007181115245573124
Sst_10,0.007178691400183729
Vip_6,0.0071736182175552695
Pvalb_6,0.007173616862481722
Pvalb_7,0.007172888906419386
Sst_2,0.007146928790204973
Sst_20,0.007068043540193155
Sncg_3,0.007060112300427071
Pax6_3,0.007027012481795392
Sst Chodl_1,0.007000844490720148
Lamp5_1,0.006992546272341104
Lamp5_6,0.006984448995641378
Pericyte_2-SEAAD,0.006978258356222711
Lamp5_5,0.006962360625522512
Sst_4,0.006929814408969185
Lamp5_2,0.006914591060852282
Vip_14,0.006908974500909542
Lamp5_3,0.006896700636366238
Oligo_2_1-SEAAD,0.006891286524359546
Pax6_4,0.0068813498264619685
Vip_9,0.00683979102214532
Vip_21,0.006829158765447637
Sst_19,0.006808020627594919
OPC_2_1-SEAAD,0.00680556922679773
Sncg_2,0.006791470118134979
Vip_5,0.006776691061096059
Sncg_1,0.006764433982587711
Vip_4,0.006759079522026696
Chandelier_2,0.006745870468453716
Sst_11,0.006710964383322631
Vip_19,0.006704314327039093
Lamp5_4,0.006700501622435656
Vip_23,0.006677789775684236
Vip_13,0.006673322722859009
Chandelier_1,0.006642967522760963
Vip_15,0.006637456132673167
Pax6_1,0.006587957459172482
Vip_16,0.006580106478860837
Sncg_6,0.0065789222029204375
Sncg_5,0.00656019026006465
Vip_11,0.006556193777076333
Sncg_8,0.006548760087637034
Sst_23,0.0065354659899412824
Vip_18,0.006498470331772649
Pax6_2,0.0064934834866327475
Vip_1,0.006444738574938992
Vip_12,0.006439273080465307
Sncg_4,0.006401436183002945
Oligo_1,0.006340686592534056
Oligo_2,0.006305935427730392
OPC_2_2-SEAAD,0.006297606911972634
OPC_1,0.006214891316346593
VLMC_1,0.006206374939004723
Oligo_4,0.006185544397488909
OPC_2,0.006177394873493269
Vip_2,0.006175909360762972
Pericyte_1,0.0061020630179914916
SMC-SEAAD,0.006046431947368861
Micro-PVM_1,0.005962397854998074
Astro_4,0.005961896780279156
Lymphocyte,0.0058207465327126725
Astro_5,0.005713836968261246
Astro_6-SEAAD,0.005686667832109944
Micro-PVM_3-SEAAD,0.005668412588735838
Astro_2,0.005658910693593039
Micro-PVM_2_3-SEAAD,0.005581885612707158
Endo_1,0.005563635778937291
Micro-PVM_2_1-SEAAD,0.005484212969947656
Astro_1,0.005462952698968214
Monocyte,0.005459867530400988
Micro-PVM_2,0.005420803922971367
Oligo_3,0.005292676472835841
Endo_2,0.005290796463361388
Astro_3,0.0052428264735975
Micro-PVM_4-SEAAD,0.005087883294044258
Endo_3,0.004596857241312505
