supertype,beta,se,t_stat,p_value,n_genes,p_bonferroni,p_fdr,source
ULIT_133,64.17417900039088,7.485204877544597,8.57346993839963,0.0,16363,0.0,0.0,Conti
Misc_132,54.56217583964066,5.624668773080177,9.700513584155704,0.0,16363,0.0,0.0,Conti
MGE_240,53.93180626920711,7.0166020215289135,7.686313988413354,7.993605777301127e-15,16363,3.6850522633358196e-12,1.2283507544452732e-12,Conti
MGE_259,50.65663430573317,6.960670731509772,7.277550721716976,1.7763568394002505e-13,16363,8.189005029635155e-11,2.0472512574087887e-11,Conti
MGE_262,46.67193927845377,6.4993402822692,7.1810271891408926,3.608224830031759e-13,16363,1.6633916466446408e-10,3.3267832932892816e-11,Conti
MGE_263,43.47398730379959,6.186811438342468,7.026880928416799,1.0976775044468923e-12,16363,5.060293295500173e-10,8.433822159166956e-11,Conti
CGE_288,39.07460697321704,5.867575525406127,6.6594127001905905,1.4183876295703612e-11,16363,6.538766972319365e-09,9.34109567474195e-10,Conti
ULIT_123,39.524262362441796,6.150798810674715,6.425874683764231,6.736844415655696e-11,16363,3.105685275617276e-08,3.809968710892046e-09,Conti
MGE_242,42.44583130865004,6.621031500450613,6.410758098003502,7.438116789160176e-11,16363,3.428971839802841e-08,3.809968710892046e-09,Conti
MGE_239,35.33892259120154,5.601503298586793,6.308828310449664,1.441905483900996e-10,16363,6.647184280783591e-08,6.647184280783591e-09,Conti
CGE_278,29.30096378340283,4.678718164228469,6.262605003102302,1.940247962295416e-10,16363,8.944543106181868e-08,8.131402823801698e-09,Conti
LLC_269,43.7338878822138,7.169584044497512,6.09991982948837,5.425473403875003e-10,16363,2.5011432391863764e-07,2.0842860326553136e-08,Conti
CGE_280,31.496431123752295,5.296345196544161,5.94682369727403,1.3948072696834402e-09,16363,6.430061513240659e-07,4.9462011640312766e-08,Conti
LLC_273,40.25971932725174,6.806767150838201,5.914660871320398,1.6959380566561322e-09,16363,7.818274441184769e-07,5.5844817437034067e-08,Conti
EMSN_228,39.817367886183355,6.989404921776855,5.696818016956576,6.2081833007709974e-09,16363,2.86197250165543e-06,1.9079816677702867e-07,Conti
CGE_294,28.154276874789165,5.2316064332295324,5.381573945616776,3.742705545484171e-08,16363,1.7253872564682027e-05,1.0783670352926267e-06,Conti
LLC_264,28.920876275947517,5.403307361032466,5.3524395973693615,4.397309105730329e-08,16363,2.0271594977416818e-05,1.1825245505827888e-06,Conti
ULIT_122,33.52193813706373,6.273300156669089,5.3435890679368905,4.617232518544512e-08,16363,2.12854419104902e-05,1.1825245505827888e-06,Conti
CGE_283,28.746393344024824,5.424092448978765,5.299760948845392,5.872930597394799e-08,16363,2.7074210053990022e-05,1.4249584238942116e-06,Conti
Splat_424,36.3643222173676,7.103575358856507,5.119157660801013,1.5519131102426087e-07,16363,7.154319438218426e-05,3.577159719109213e-06,Conti
Splat_237,29.742488663249958,5.833918561121811,5.098200866473999,1.7336140933910116e-07,16363,7.991960970532563e-05,3.8056957002536016e-06,Conti
LLC_267,30.502035253512396,6.0242670331911095,5.063194424393766,2.083839526489939e-07,16363,9.606500217118619e-05,4.3665910077811905e-06,Conti
MGE_260,25.538125387921426,5.205617110553662,4.905878562629288,4.695211386351872e-07,16363,0.0002164492449108213,9.410836735253099e-06,Conti
MGE_261,24.135434995479933,4.946306806867816,4.879486036322802,5.368204196720683e-07,16363,0.0002474742134688235,1.0311425561200979e-05,Conti
DLIT_141,25.129616209511173,5.170765360543628,4.85994131570286,5.925454129585006e-07,16363,0.0002731634353738688,1.052247779044395e-05,Conti
