cluster,conti_beta,conti_pvalue,conti_fdr,conti_sig,repro_beta,repro_pvalue,repro_fdr,repro_sig,both_sig
ULIT_133,64.17417900039088,0.0,0.0,True,60.55863334648696,1.1102230246251563e-16,5.686809048357746e-15,True,True
Misc_132,54.56217583964066,0.0,0.0,True,40.514368682361585,0.0,0.0,True,True
MGE_240,53.93180626920711,7.993605777301127e-15,1.2283507544452732e-12,True,58.274227735681905,0.0,0.0,True,True
MGE_259,50.65663430573317,1.7763568394002505e-13,2.0472512574087887e-11,True,65.31256529697727,0.0,0.0,True,True
MGE_262,46.67193927845377,3.6082248300317593e-13,3.3267832932892816e-11,True,50.91303297349699,0.0,0.0,True,True
MGE_263,43.47398730379959,1.0976775044468925e-12,8.433822159166955e-11,True,56.886057639803745,0.0,0.0,True,True
CGE_288,39.07460697321704,1.4183876295703612e-11,9.34109567474195e-10,True,51.33809888630548,0.0,0.0,True,True
ULIT_123,39.52426236244179,6.736844415655696e-11,3.809968710892046e-09,True,31.542887893581245,8.656057093325842e-09,2.347319011778361e-07,True,True
MGE_242,42.44583130865004,7.438116789160176e-11,3.809968710892046e-09,True,55.544568024947885,5.551115123125784e-16,2.5590640717609855e-14,True,True
MGE_239,35.33892259120154,1.441905483900996e-10,6.647184280783591e-09,True,35.68219634190241,6.645684003103725e-12,2.5530502711923475e-10,True,True
CGE_278,29.30096378340283,1.9402479622954158e-10,8.131402823801698e-09,True,16.435792387800404,3.2887442534823563e-06,4.21141972459824e-05,True,True
LLC_269,43.7338878822138,5.425473403875003e-10,2.0842860326553136e-08,True,45.74253976535344,3.3282265832212947e-12,1.3948295044227424e-10,True,True
CGE_280,31.496431123752295,1.3948072696834402e-09,4.9462011640312766e-08,True,33.797377113057195,6.502665073071512e-11,2.1412347133471195e-09,True,True
LLC_273,40.25971932725174,1.695938056656132e-09,5.5844817437034067e-08,True,28.52339527325373,1.787009477061119e-07,3.16850526509683e-06,True,True
EMSN_228,39.817367886183355,6.2081833007709974e-09,1.907981667770287e-07,True,29.726764783316728,3.9313183619604786e-07,6.249440568495794e-06,True,True
CGE_294,28.154276874789165,3.7427055454841713e-08,1.0783670352926269e-06,True,33.22212125937949,2.7593860529862013e-10,8.480513136177593e-09,True,True
LLC_264,28.920876275947517,4.397309105730329e-08,1.1825245505827888e-06,True,26.089564066582938,1.1599835614273247e-07,2.2281350909083195e-06,True,True
ULIT_122,33.52193813706373,4.6172325185445124e-08,1.1825245505827888e-06,True,35.349855330536265,2.4313961954902652e-08,5.604368230605061e-07,True,True
