supertype,comp_beta,color,depleted_fdr20,DLPFC + Bigdeli (main figure),DLPFC + PGC3,MTG + Bigdeli,MTG + PGC3
Sst_2,-0.254509920135936,#f8b24c,True,5.459770662281717,5.370712754604782,7.159806051384452,8.095100608056164
Sst_20,-0.174676636280529,#885616,True,5.12577338353125,6.206614773369648,5.306440119546158,5.090524204983009
Sst_25,-0.258992646343256,#693d07,True,1.3567645250596767,2.1821835129434204,1.4890798356547612,1.8868256953656384
Sst_19,-0.05323807353256,#8e5b19,False,2.5961077044405796,3.0990923882574304,4.028881936463771,4.147014030968531
Sst_11,-0.131932494421812,#c08430,False,3.373536445989072,4.2197691232232355,2.5200649660556644,3.564442286538681
Sst_3,-0.186286911011216,#f2ad49,True,3.952491494405988,3.8024162309642233,3.322593818020057,3.5008217246791724
Sst_1,0.0697615060622537,#ffb84f,False,0.3893079046662982,1.230319955067698,0.6750593979850983,2.572659978638474
Sst_9,-0.0612491014058203,#cd8f37,False,2.8752024320394667,2.854648183441539,3.606723202505439,5.2359360063068285
Sst_23,-0.0654486788027768,#75470c,False,4.814259582425038,3.6952079835077725,6.030411708815192,5.433350421182134
Sst_12,-0.0614500257970238,#ba7f2e,False,1.3424852237307978,1.8669723271001226,0.8439053693605725,1.542042448796362
Sst_13,-0.0817744078418891,#b47a2b,False,2.7859513205880586,3.7247808132178517,2.2893580734895833,3.2854439295195967
Sst_22,-0.27142856495951,#7b4c10,True,1.2580530546884074,1.5023517330057747,2.893979180859731,1.5123667825431237
Sst_10,0.07088016835135,#c68934,False,1.7401195526563404,1.0636873663378068,2.0857838171964143,2.614090005213903
Sst_7,0.0150039041691,#d9993d,False,0.9019449603307567,0.8209655340679937,1.8137218965546327,1.951946826884391
Sst_4,0.0416898873119017,#eca846,False,0.7020207558406376,1.4769562541646595,2.8235903750441573,3.0342951289289704
Sst_5,0.0309783749550944,#e6a343,False,1.1626767643525862,0.6660491956127528,1.3310924976981382,1.6683095744303695
