gene,specificity,gwas_z,gwas_p,gwas_fdr,driver_score
HAND2,0.24690863,3.0707,0.0010678,0.010681775189283635,0.7336914837427657
GPHA2,0.06961601,4.6476,1.6791e-06,6.402968e-05,0.4020271278350515
CCL21,0.15468003,2.7431,0.0030434,0.023384916741271262,0.3892740997673323
TSHB,0.16266763,2.5646,0.0051653,0.033906585086042065,0.372005326859522
C11orf94,0.07932606,3.9811,3.4298e-05,0.0007403190943396227,0.3541695353714999
GJD2,0.04942695,4.5078,3.2745e-06,0.00011260605210420843,0.27109965410100895
HAPLN4,0.017799001,6.6596,1.373e-11,2.908725925925926e-09,0.19333861297005245
C15orf56,0.026774488,5.2621,7.1196e-08,4.61027683018868e-06,0.19137184191760384
FLRT1,0.024610844,5.5186,1.7087e-08,1.396252e-06,0.19116064981384054
MDK,0.013772649,7.5474,2.2204e-14,2.116781333333333e-11,0.188045810422756
CACNA1I,0.013350812,7.5912,1.5844e-14,1.599312e-11,0.1842430101794294
BCL11B,0.017600963,6.5211,3.489e-11,6.8035500000000006e-09,0.18405853331667968
TNNI3,0.06409754,2.983,0.001427,0.013305986970684039,0.18239442320632496
DLX1,0.023884648,5.4558,2.4377e-08,1.8591525333333333e-06,0.1818342967707771
NOTO,0.058813766,3.1141,0.0009226,0.00966351946308725,0.17849898874883538
F2,0.015047956,6.9543,1.772e-12,5.52864e-10,0.17683660091069564
RELN,0.07237234,2.6471,0.0040589,0.028674649650061754,0.17308508391614685
ERBB4,0.014888411,6.8222,4.482e-12,1.174394e-09,0.16896155130952942
CPLX3,0.053218883,3.2026,0.00068104,0.007765213554817276,0.16853501579696373
PRDM7,0.039789908,3.8364,6.2418e-05,0.0012020272197309418,0.16730423428191077
YJEFN3,0.013307111,7.0115,1.1793e-12,4.0473575999999997e-10,0.1587322195090344
SPCS1,0.012429674,7.2499,2.0861e-13,1.1186711250000001e-10,0.15761653052339447
PCDHAC2,0.020708507,5.4012,3.3091e-08,2.4163470638297876e-06,0.15490564007170995
SLC32A1,0.018184284,5.7089,5.6871e-09,5.451990837988827e-07,0.14993140612541095
NAGA,0.013189085,6.7953,5.4027e-12,1.3244333142857144e-09,0.14860655319056162
CABP7,0.04994064,3.055,0.0011252,0.011071348623853212,0.14726347482172839
PLCH2,0.01578188,5.8941,1.8842e-09,2.1127971428571432e-07,0.137694898709792
SLC10A4,0.030832509,3.8908,4.996e-05,0.0010121766233766234,0.13262226264860819
CYP2D6,0.013081914,6.3878,8.4132e-11,1.5523710967741936e-08,0.13180079095611155
NPTXR,0.01823997,5.0925,1.7665e-07,9.841928571428573e-06,0.12317244458750869
ADM5,0.012903589,6.1727,3.3562e-10,5.142177857142857e-08,0.12225056568566578
PCDHA8,0.016503165,5.3659,4.0273e-08,2.832314262295082e-06,0.1220406744260795
TEKT2,0.019392032,4.7374,1.0825e-06,4.4868840579710144e-05,0.11568456496405442
LMAN1L,0.03413021,3.3207,0.000449,0.005686355424354243,0.11425953540982497
PCDHA2,0.014708558,5.5175,1.7193e-08,1.398255355450237e-06,0.11420678041175857
BMP6,0.055654038,2.3633,0.0090563,0.04982892080795127,0.11370393778096097
ZNF536,0.016473906,5.0807,1.8799e-07,1.043881548387097e-05,0.11080127193210829
KLF1,0.048574165,2.555,0.0053089,0.034447711371363814,0.11050600460931781
LCMT2,0.015140175,5.252,7.5235e-08,4.8172858208955225e-06,0.10785224895735232
EEF1A2,0.011763012,6.0548,7.0305e-10,9.13965e-08,0.10766701101763523
PCDHA3,0.013562534,5.5012,1.8863e-08,1.4848122935779818e-06,0.10476229163238572
SEZ6L2,0.012601311,5.7341,4.902e-09,4.806761142857142e-07,0.10471219025345228
DLX2,0.018042559,4.6606,1.5763e-06,6.0648672645739915e-05,0.10468944292709498
SHISA8,0.01298121,5.6185,9.6334e-09,8.654929005235602e-07,0.10406024050274212
NGF,0.014181221,5.2015,9.8853e-08,6.058276714285715e-06,0.09933959698966993
INPP4B,0.019600358,4.2888,8.9819e-06,0.0002573111919866444,0.09891578966968875
ZAR1,0.023214072,3.8645,5.5656e-05,0.0010914936685714285,0.09876399097916123
PCDHA5,0.012222869,5.6148,9.8367e-09,8.791550625e-07,0.09787035252361016
CDH15,0.029436793,3.285,0.00050994,0.006245946038543897,0.09692007930956535
B3GALT1,0.034206204,2.9681,0.0014982,0.013793362660944206,0.09661303585346916
SORCS3,0.014437964,5.0411,2.3145e-07,1.2689079872204474e-05,0.095803728281713
CPNE7,0.015380474,4.8432,6.3898e-07,2.9570258823529415e-05,0.09527454206327267
RBMS3,0.011905993,5.5807,1.1975e-08,1.027455e-06,0.09431599618196558
HCN4,0.021085812,3.9752,3.5153e-05,0.0007540318499999999,0.09391699959768243
TNR,0.014046035,5.004,2.8069e-07,1.4729787155963303e-05,0.092026433705496
ZMAT4,0.017034918,4.4636,4.0298e-06,0.00013375506382978724,0.09189855333799356
HNF1A,0.021463245,3.8778,5.27e-05,0.0010440484429065744,0.09182382692209239
GRIN2A,0.01467897,4.8485,6.221e-07,2.900879347826087e-05,0.09109973992029699
NXPH1,0.018857952,4.1152,1.9341e-05,0.00046548605890603086,0.08888735418464397
GPN3,0.011838849,5.3819,3.6857e-08,2.635919e-06,0.08800384747011622
SPOCK3,0.013561361,4.9685,3.3729e-07,1.7277302686567163e-05,0.08776908139668076
PTPRT,0.01722237,4.2581,1.0311e-05,0.0002891123529411765,0.08588277892745953
