gene,specificity,gwas_z,gwas_p,gwas_fdr,driver_score
F2,0.03207913,6.9543,1.772e-12,5.52864e-10,0.37697906010439713
EYS,0.04997241,5.2061,9.6434e-08,5.931209462365592e-06,0.35059492584573065
TSSK6,0.024225002,6.5712,2.4949e-11,4.9781958139534884e-09,0.25685640881628
KCNS3,0.038662862,4.8609,5.8441e-07,2.7475275616438357e-05,0.24099653574360044
CYP17A1,0.019074485,7.0952,6.4587e-13,2.637765e-10,0.23251520420421978
TGM7,0.030885268,5.1398,1.3754e-07,8.027844897959184e-06,0.21192145861813722
LHX8,0.088477746,2.6191,0.0044075,0.030240983606557376,0.20843655344994558
TRPC4,0.024056155,5.8463,2.5131e-09,2.6620244444444445e-07,0.20687788673646704
OVOL1,0.045803595,3.9791,3.4584e-05,0.0007446191217063989,0.20433555255190278
HAPLN4,0.01854016,6.6596,1.373e-11,2.908725925925926e-09,0.20138932621234462
NOS1,0.03326651,4.6558,1.6139e-06,6.195642953020134e-05,0.19268373028904442
SPINT3,0.071985744,2.7673,0.0028265,0.02215748743718593,0.18347373774027664
CHRNB4,0.019647503,6.1094,5e-10,6.864000000000001e-08,0.18274201474289806
PLCL1,0.014015217,7.3519,9.7691e-14,6.984906499999999e-11,0.1823400116101601
NUDT1,0.016177079,6.7787,6.0637e-12,1.4061228648648647e-09,0.1814625382849013
TM6SF2,0.01616345,6.7792,6.0442e-12,1.4061228648648647e-09,0.18133226894442192
PLCH2,0.020395359,5.8941,1.8842e-09,2.1127971428571432e-07,0.17794691707545895
NGF,0.0249441,5.2015,9.8853e-08,6.058276714285715e-06,0.1747336735863594
ERBB4,0.014477763,6.8222,4.482e-12,1.174394e-09,0.1643013009226912
KCNJ11,0.028517019,4.639,1.7502e-06,6.644564601769911e-05,0.1641699780248793
OPRD1,0.03157677,4.3441,6.9933e-06,0.00021053513684210525,0.16278828573923224
TMIGD1,0.048608802,3.1951,0.00069901,0.007901620803159974,0.15338588216231167
INHBE,0.03928963,3.6158,0.00014973,0.0024012773831775702,0.1502707011462896
OR2A5,0.06857147,2.4661,0.0068294,0.040646113730929266,0.1484995719889963
SPATS2L,0.012435972,6.9331,2.058e-12,5.88588e-10,0.14533366614984747
SPATA19,0.027697753,4.2082,1.2871e-05,0.0003461855172413793,0.135452750857272
SUGP1,0.011564161,6.9237,2.2001e-12,6.189133770491802e-10,0.13480987270995806
BCL11B,0.012694169,6.5211,3.489e-11,6.8035500000000006e-09,0.13274672117736183
AS3MT,0.014100634,6.1094,5e-10,6.864000000000001e-08,0.13115041979187939
CXCR5,0.03424018,3.559,0.0001861,0.0028411708185053382,0.12772455562965537
SERPINC1,0.023572411,4.3951,5.5371e-06,0.00017402314285714287,0.12391350855745958
WFDC8,0.05301072,2.6018,0.0046365,0.03131868764752164,0.12371693444206237
ZNF804A,0.021153618,4.608,2.0332e-06,7.601244444444444e-05,0.12040258386759589
SLC32A1,0.013780226,5.7089,5.6871e-09,5.451990837988827e-07,0.1136194672776749
ACTC1,0.023335356,4.1629,1.5712e-05,0.0004018662295081967,0.11209764877881204
SERINC4,0.019266551,4.6648,1.5444e-06,5.958183370786517e-05,0.11196255582234062
PCDHAC2,0.01488353,5.4012,3.3091e-08,2.4163470638297876e-06,0.11133312223698683
TLR9,0.01641328,5.0642,2.0504e-07,1.12772e-05,0.10977466585539312
POTEI,0.047426056,2.5743,0.0050217,0.033117744811683315,0.10903958041488386
ZNF536,0.0161618,5.0807,1.8799e-07,1.043881548387097e-05,0.1087020890317298
NXPH1,0.022139788,4.1152,1.9341e-05,0.00046548605890603086,0.10435635733556488
ASPDH,0.02022897,4.3082,8.2278e-06,0.00023970975891341256,0.10285857295731513
RBMS3,0.012678281,5.5807,1.1975e-08,1.027455e-06,0.10043384893556435
MAP1A,0.012436846,5.6251,9.2723e-09,8.374350947368421e-07,0.0999028523260899
OASL,0.02705564,3.5107,0.00022348,0.003267123679727428,0.09877368446822861
CNTN4,0.011509728,5.7036,5.8647e-09,5.591014e-07,0.09474525178952806
DKK1,0.021259002,3.9603,3.7428e-05,0.0007938300740740742,0.09410942189191818
LETM2,0.013339828,5.178,1.1211e-07,6.7031623693379795e-06,0.09271654887555418
ABCB9,0.011354557,5.6684,7.2082e-09,6.722429999999999e-07,0.09245076938363975
CDH13,0.017385982,4.4073,5.2327e-06,0.00016597621441774492,0.09182013754231776
YPEL4,0.011792163,5.4818,2.1047e-08,1.6342376470588235e-06,0.09052619246909523
MMP16,0.012126634,5.3521,4.3474e-08,3.0325765853658535e-06,0.08927349522025148
GLDC,0.029305164,3.0862,0.0010136,0.010298029568302778,0.08774357026991915
SLC22A7,0.0154165095,4.6061,2.0513e-06,7.652240869565217e-05,0.08768865618185911
DEFB135,0.036300436,2.6644,0.0038566,0.027655351441704973,0.0876218255467449
PLEKHO1,0.011301265,5.5123,1.7712e-08,1.4269385915492957e-06,0.08760438202154001
LMX1B,0.037199408,2.6075,0.0045596,0.030966771666007125,0.0870865391711436
TM4SF20,0.021898817,3.7001,0.00010776,0.0018528673346693387,0.0868844853358634
SOX5,0.013133562,5.0115,2.7006e-07,1.4304237037037036e-05,0.08626832388112257
SEMA6D,0.014640231,4.6726,1.4869e-06,5.79891e-05,0.0853191412152119
SPHK1,0.026739543,3.2173,0.00064693,0.007500378947368422,0.0852762185980759
HNF1A,0.01963924,3.8778,5.27e-05,0.0010440484429065744,0.08402038809329315
MAP7D1,0.013306235,4.8855,5.1591e-07,2.4591709999999998e-05,0.08366196861987447
EPPIN,0.032349486,2.7721,0.002785,0.021962591911764705,0.0826585914360122
SPOCK3,0.012613812,4.9685,3.3729e-07,1.7277302686567163e-05,0.08163654755230161
FSCN2,0.023635218,3.3837,0.00035761,0.004746007424593968,0.08146091416893968
BCL11A,0.015668204,4.3197,7.8133e-06,0.0002301029433962264,0.08002011091842122
LACC1,0.014397092,4.5354,2.8747e-06,0.00010150175308641975,0.07978015316981964
ZNF385D,0.014932777,4.4203,4.9276e-06,0.000158347595505618,0.07925369133437098
HYPK,0.011032699,5.2736,6.6895e-08,4.364707984790875e-06,0.07915527221396773
ZMAT4,0.014658955,4.4636,4.0298e-06,0.00013375506382978724,0.07908090652075621
CDC20,0.012589065,4.8423,6.4167e-07,2.9570258823529415e-05,0.07796015509037708
EPO,0.016250134,4.1379,1.7523e-05,0.00043367325648414987,0.07729199986587668
TENM3,0.01584118,4.1906,1.3909e-05,0.0003643945648854962,0.0769359237419843
CCNB2,0.014747431,4.3657,6.3355e-06,0.0001948336559139785,0.07666037757013913
EPN3,0.032500982,2.6071,0.0045658,0.03098842230130486,0.07606799963208306
ENOX1,0.011623837,4.962,3.4877e-07,1.775932700296736e-05,0.0750604726873709
GPR75,0.01427935,4.3933,5.5834e-06,0.00017515748446069468,0.07501087144516665
C1orf189,0.031395324,2.6302,0.0042665,0.029581066666666673,0.07440466526648702
LRRC4,0.011658353,4.9211,4.3038e-07,2.1222186206896552e-05,0.0742187996873633
CDT1,0.024678925,3.0888,0.0010047,0.010237916864608076,0.07398651878136725
SLC16A10,0.0131390635,4.5654,2.493e-06,9.063533898305086e-05,0.07362182179087423
PACSIN3,0.01319806,4.5427,2.7768e-06,9.927059999999999e-05,0.07333443174776899
HS6ST3,0.012134391,4.7094,1.2421e-06,4.9884e-05,0.0716638134641152
KIRREL3,0.015728058,3.9791,3.4584e-05,0.0007446191217063989,0.07016482924535453
HSBP1L1,0.013212115,4.4145,5.0621e-06,0.00016176096089385477,0.06996699152613933
STAR,0.012960338,4.4652,3.9998e-06,0.00013327488932038837,0.06995940845331237
C1orf116,0.018607916,3.5721,0.00017704,0.002732020143884892,0.06981557220969317
CPLX1,0.01913278,3.4972,0.00023508,0.0033870468513853905,0.06942873202293355
CRYBA1,0.020335045,3.3314,0.00043201,0.005510833283803864,0.06841738498361083
WDR76,0.013356092,4.2991,8.574e-06,0.0002481110286677909,0.06767286759926378
BOLA2B,0.014273733,4.118,1.9108e-05,0.0004611719831223629,0.06735467385417318
GSX2,0.011202103,4.7546,9.9424e-07,4.231341683168317e-05,0.06724072148230134
MYO16,0.022607276,3.0659,0.0010851,0.010794386086956523,0.06701995326732393
DLX2,0.011404631,4.6606,1.5763e-06,6.0648672645739915e-05,0.06617378755303381
KCNAB3,0.024425276,2.883,0.0019696,0.016975558011049725,0.06608556323244381
MCHR1,0.014511693,4.0288,2.8033e-05,0.0006305793971166448,0.06606202153280538
MYZAP,0.017647997,3.5572,0.0001874,0.0028458265486725662,0.0657781511548433
SGCZ,0.015740298,3.8106,6.9322e-05,0.0013057799341383096,0.06546592855831669
GCOM1,0.018636651,3.4059,0.00032976,0.004455654803149606,0.06488912920154542
RAB3C,0.012368591,4.3695,6.226e-06,0.00019180998204667863,0.06438829827143877
ANP32E,0.011582983,4.5241,3.0322e-06,0.00010597261099796333,0.06391770508968282
PRKG1,0.012207359,4.3122,8.0819e-06,0.00023626133560477003,0.0621658112442004
PHF7,0.012820042,4.1458,1.6934e-05,0.00042483543859649125,0.06116750289141383
DNPH1,0.0112596555,4.4626,4.0487e-06,0.00013412295752895752,0.060719768590464816
NCR3LG1,0.013260602,4.0102,3.0335e-05,0.0006734134540750324,0.05991214243925874
PLCD3,0.018380644,3.2572,0.0005626,0.006708975677553857,0.05973342187387492
CMTM8,0.02122191,2.9543,0.0015667,0.014252712241653417,0.05952775797954186
WFDC9,0.02724949,2.4722,0.0067136,0.040113292479108636,0.059214355402950336
PAK6,0.011417559,4.3459,6.9347e-06,0.00020996031746031745,0.058902870866590934
DCST1,0.013816055,3.853,5.8351e-05,0.0011314159999999999,0.058496509509788824
SIPA1L3,0.011513017,4.2814,9.2862e-06,0.000264702976744186,0.057935366273093675
EPB41,0.014393771,3.729,9.6124e-05,0.00169839954825462,0.05782219863884001
C17orf98,0.02473986,2.5923,0.0047662,0.0318861567251462,0.057441693174244204
GFRA4,0.020397851,2.9449,0.0016155,0.014567514450867052,0.05694453861964738
C17orf75,0.013263977,3.8776,5.275e-05,0.0010440484429065744,0.056740342849022164
OSBPL3,0.012632459,3.9941,3.2467e-05,0.0007131055242966751,0.05670152287014896
CDHR4,0.023044972,2.6962,0.0035067,0.025815088803088804,0.05657774271244175
NWD2,0.021122374,2.8621,0.0021043,0.017834536296296295,0.056542321264908386
ENDOG,0.013902808,3.7386,9.2512e-05,0.001650214054054054,0.05608117374295062
KCNK3,0.018682636,3.0781,0.0010415,0.010498534351145037,0.05571798620653226
INA,0.011404491,4.1898,1.396e-05,0.00036450656534954404,0.05537011055111305
C10orf82,0.021059979,2.8221,0.0023857,0.01946240874524715,0.05522735553834346
SP9,0.013169315,3.7979,7.2974e-05,0.0013626048313384112,0.054479241703844314
