gene,specificity,gwas_z,gwas_p,gwas_fdr,driver_score
AMPD1,0.08386295,3.9506,3.8983e-05,0.0008187861444308446,0.36976220779015845
EYS,0.049533207,5.2061,9.6434e-08,5.931209462365592e-06,0.3475135786940479
EPO,0.072495915,4.1379,1.7523e-05,0.00043367325648414987,0.3448189567210096
FEZF1,0.116287895,2.7343,0.0031258,0.023776141781125387,0.2913056904757994
CYP17A1,0.02112125,7.0952,6.4587e-13,2.637765e-10,0.2574649725430793
PCDHA8,0.034085665,5.3659,4.0273e-08,2.832314262295082e-06,0.252063016085788
NGF,0.032822035,5.2015,9.8853e-08,6.058276714285715e-06,0.2299186881919999
NOS1,0.038360853,4.6558,1.6139e-06,6.195642953020134e-05,0.22219079347697374
NUDT1,0.019774007,6.7787,6.0637e-12,1.4061228648648647e-09,0.2218102231115646
PCDHA7,0.02327767,5.5381,1.5286e-08,1.2671872463768115e-06,0.18193142845448704
HAPLN4,0.016262075,6.6596,1.373e-11,2.908725925925926e-09,0.17664401639816563
CILP2,0.015747735,6.6107,1.9124e-11,3.860798117647059e-09,0.16879085769921073
TRPC4,0.019449258,5.8463,2.5131e-09,2.6620244444444445e-07,0.16725953892599735
PCDHAC1,0.02138539,5.5045,1.8515e-08,1.464135483870968e-06,0.1653620209908475
KCNS3,0.026319189,4.8609,5.8441e-07,2.7475275616438357e-05,0.1640549365585268
TSPAN2,0.034847535,4.0789,2.262e-05,0.000530997537619699,0.16188448169371858
TGM5,0.025899997,4.8131,7.4303e-07,3.311790857142857e-05,0.1587409171778044
MLN,0.022597644,5.1454,1.3347e-07,7.816877815699659e-06,0.15535013267733389
BCL11B,0.014269736,6.5211,3.489e-11,6.8035500000000006e-09,0.1492228964390314
NMB,0.014912297,6.3049,1.442e-10,2.449972277227723e-08,0.14675243282448025
PTGIS,0.018273454,5.5613,1.3385e-08,1.1314610837438424e-06,0.14387387693932663
SPATS2L,0.0116825085,6.9331,2.058e-12,5.88588e-10,0.13652827379570776
C16orf92,0.011560122,6.9554,1.7577e-12,5.52864e-10,0.135889872775214
C17orf98,0.055039667,2.5923,0.0047662,0.0318861567251462,0.1277926255131021
OPRD1,0.023194073,4.3441,6.9933e-06,0.00021053513684210525,0.1195728183402106
CCDC63,0.031575892,3.5856,0.00016818,0.002640410612991766,0.11917454156663689
EPB42,0.028397607,3.8125,6.8782e-05,0.0012984588778877889,0.11820575476250506
SLC32A1,0.014186012,5.7089,5.6871e-09,5.451990837988827e-07,0.11696521713320981
ANKRD1,0.035511773,3.2852,0.00050953,0.006245382,0.11693424003192675
TMIGD1,0.036792528,3.1951,0.00069901,0.007901620803159974,0.1160994332726314
DLX1,0.014365012,5.4558,2.4377e-08,1.8591525333333333e-06,0.10936111995972367
CNTN4,0.013185134,5.7036,5.8647e-09,5.591014e-07,0.10853678216450181
OGFOD2,0.011587076,6.1308,4.3712e-10,6.466361379310345e-08,0.10844807126223928
NXPH1,0.022977998,4.1152,1.9341e-05,0.00046548605890603086,0.10830727783589865
ZNF536,0.01585386,5.0807,1.8799e-07,1.043881548387097e-05,0.10663092608599166
RBMS3,0.013401432,5.5807,1.1975e-08,1.027455e-06,0.10616245191349191
PDF,0.02550633,3.7904,7.5208e-05,0.0013997497613882862,0.10518137023691851
DPEP1,0.013645686,5.4849,2.0683e-08,1.6132740000000002e-06,0.10485872484561269
UBE2Q2L,0.011806006,5.9407,1.4192e-09,1.6344612080536912e-07,0.10445902631676918
