,L2/3 IT_2,L4 IT_3,L6 IT_2,Lamp5_1,Lamp5_5,Pax6_2,Pax6_3,Pax6_4,Pvalb_12,Pvalb_13,Pvalb_5,Pvalb_6,Sncg_3,Sst Chodl_2,Sst_1,Sst_2,Sst_20,Vip_1
L2/3 IT_2,1.0,0.15942028985507245,0.18694362017804153,0.0582010582010582,0.08695652173913043,0.0610079575596817,0.05263157894736842,0.049868766404199474,0.0582010582010582,0.055408970976253295,0.0610079575596817,0.08108108108108109,0.03896103896103896,0.06666666666666667,0.06666666666666667,0.07238605898123325,0.05263157894736842,0.06951871657754011
L4 IT_3,0.15942028985507245,1.0,0.21580547112462006,0.06666666666666667,0.06382978723404255,0.04712041884816754,0.05263157894736842,0.055408970976253295,0.06951871657754011,0.07238605898123325,0.07526881720430108,0.08108108108108109,0.05263157894736842,0.05263157894736842,0.06951871657754011,0.08695652173913043,0.08695652173913043,0.07526881720430108
L6 IT_2,0.18694362017804153,0.21580547112462006,1.0,0.049868766404199474,0.0582010582010582,0.030927835051546393,0.03359173126614987,0.030927835051546393,0.07238605898123325,0.07526881720430108,0.07238605898123325,0.06951871657754011,0.041666666666666664,0.0610079575596817,0.0610079575596817,0.07816711590296496,0.08108108108108109,0.041666666666666664
Lamp5_1,0.0582010582010582,0.06666666666666667,0.049868766404199474,1.0,0.2345679012345679,0.13636363636363635,0.12359550561797752,0.17994100294985252,0.1267605633802817,0.1267605633802817,0.15606936416184972,0.14613180515759314,0.08695652173913043,0.08108108108108109,0.09289617486338798,0.13636363636363635,0.13314447592067988,0.10497237569060773
Lamp5_5,0.08695652173913043,0.06382978723404255,0.0582010582010582,0.2345679012345679,1.0,0.16279069767441862,0.1396011396011396,0.15606936416184972,0.13314447592067988,0.1267605633802817,0.15606936416184972,0.15942028985507245,0.14285714285714285,0.08401084010840108,0.09289617486338798,0.1661807580174927,0.14942528735632185,0.14942528735632185
Pax6_2,0.0610079575596817,0.04712041884816754,0.030927835051546393,0.13636363636363635,0.16279069767441862,1.0,0.15606936416184972,0.14942528735632185,0.0610079575596817,0.07238605898123325,0.08991825613079019,0.07816711590296496,0.1111111111111111,0.06951871657754011,0.08401084010840108,0.08991825613079019,0.06382978723404255,0.10803324099722991
Pax6_3,0.05263157894736842,0.05263157894736842,0.03359173126614987,0.12359550561797752,0.1396011396011396,0.15606936416184972,1.0,0.29449838187702265,0.0958904109589041,0.0958904109589041,0.09289617486338798,0.10192837465564739,0.14285714285714285,0.06666666666666667,0.08991825613079019,0.09289617486338798,0.06666666666666667,0.08108108108108109
Pax6_4,0.049868766404199474,0.055408970976253295,0.030927835051546393,0.17994100294985252,0.15606936416184972,0.14942528735632185,0.29449838187702265,1.0,0.08695652173913043,0.10192837465564739,0.0958904109589041,0.10803324099722991,0.17647058823529413,0.0582010582010582,0.08108108108108109,0.12359550561797752,0.08108108108108109,0.12359550561797752
Pvalb_12,0.0582010582010582,0.06951871657754011,0.07238605898123325,0.1267605633802817,0.13314447592067988,0.0610079575596817,0.0958904109589041,0.08695652173913043,1.0,0.4084507042253521,0.2618296529968454,0.2903225806451613,0.07816711590296496,0.0989010989010989,0.14285714285714285,0.20481927710843373,0.15273775216138327,0.08991825613079019
Pvalb_13,0.055408970976253295,0.07238605898123325,0.07526881720430108,0.1267605633802817,0.1267605633802817,0.07238605898123325,0.0958904109589041,0.10192837465564739,0.4084507042253521,1.0,0.3157894736842105,0.2861736334405145,0.07816711590296496,0.13314447592067988,0.1661807580174927,0.21580547112462006,0.1396011396011396,0.07816711590296496
