cell_type,beta,se,t_stat,p_value,n_genes,p_bonferroni,p_fdr,source,supercluster
MGE_260,61.31306027235428,7.605202211070476,8.061989487025633,4.440892098500626e-16,16870,2.2337687255458152e-13,2.2337687255458155e-13,Siletti,MGE interneuron
MGE_263,54.61650290041947,7.063102078943822,7.732650935803341,5.551115123125783e-15,16870,2.792210906932269e-12,1.3961054534661348e-12,Siletti,MGE interneuron
Misc_132,38.17380386430836,5.0592644620370875,7.545326825816469,2.3758772726978353e-14,16870,1.195066268167011e-11,3.98355422722337e-12,Siletti,Miscellaneous
Pvalb_3,47.22157909082747,6.894918072888404,6.848751296481396,3.853473096171456e-12,16870,1.9382969673742423e-09,4.845742418435606e-10,SEA-AD,
Lamp5_5,40.00475107814242,5.904074854210728,6.775786565377203,6.391109863557176e-12,16870,3.214728261369259e-09,6.429456522738519e-10,SEA-AD,
ULIT_133,47.680541877154354,7.119451604871119,6.6972211517712115,1.095634694081582e-11,16870,5.511042511230357e-09,9.185070852050595e-10,Siletti,Upper-layer intratelencephalic
Sst_2,38.35006887489004,5.889748822230277,6.5113250212201725,3.8297032212142306e-11,16870,1.9263407202707583e-08,2.7519153146725122e-09,SEA-AD,
L2/3 IT_2,34.06651709605333,5.32192758078439,6.40116134219029,7.913447674923191e-11,16870,3.9804641804863656e-08,4.975580225607957e-09,SEA-AD,
LLC_269,43.78864392170962,7.129332381188557,6.1420398966458984,4.16473411313234e-10,16870,2.094861258905567e-07,2.3276236210061857e-08,Siletti,LAMP5-LHX6 and Chandelier
Sst_20,39.15650351814478,6.413896969804837,6.104947382610707,5.254272572585704e-10,16870,2.64289910401061e-07,2.64289910401061e-08,SEA-AD,
Chandelier_1,30.81974631207589,5.388919750606556,5.719095428839321,5.445322082131554e-09,16870,2.7389970073121717e-06,2.489997279374701e-07,SEA-AD,
Pvalb_1,29.93098162380851,5.323349129744538,5.62258474774223,9.555101931901788e-09,16870,4.8062162717465995e-06,4.0051802264555e-07,SEA-AD,
Vip_16,30.85273945621377,5.5857283437371645,5.523494441115545,1.6861748997065718e-08,16870,8.481459745524056e-06,6.524199804249274e-07,SEA-AD,
Vip_21,24.82205856384422,4.567631263053718,5.434339405770964,2.788137265508084e-08,16870,1.4024330445505662e-05,1.00173788896469e-06,SEA-AD,
Sst_25,33.712378406895425,6.234822791451873,5.407110921118094,3.246036017756637e-08,16870,1.6327561169315885e-05,1.0885040779543924e-06,SEA-AD,
Sncg_8,25.61960711021833,4.88700490300077,5.242394394670467,8.020876207659455e-08,16870,4.034500732452706e-05,2.47075713352859e-06,SEA-AD,
Sst_19,30.33220361778976,5.7941735205235805,5.2349491278350335,8.35047142544454e-08,16870,4.200287126998603e-05,2.47075713352859e-06,SEA-AD,
L6 IT_1,31.467523835386316,6.155035699068668,5.11248437440383,1.607136644876661e-07,16870,8.083897323729605e-05,4.309556650393033e-06,SEA-AD,
