gene,spearman_rho,pval,n_expressing,pval_fdr,abs_rho
CALB1,0.6394998422913952,9.060154077202394e-17,67,1.2741183016839916e-12,0.6394998422913952
ENOX1,-0.6384909560559909,1.0477515740997423e-16,124,1.2741183016839916e-12,0.6384909560559909
SASH1,-0.6073627962805912,7.226956118022821e-15,125,4.647835161683903e-11,0.6073627962805912
KIRREL3,0.606926104371646,7.644151411017479e-15,96,4.647835161683903e-11,0.606926104371646
NCALD,-0.6000810058628068,1.8220575362685217e-14,104,8.862852267917344e-11,0.6000810058628068
THSD7A,0.5984243635804212,2.2413784631121616e-14,110,9.085427600225148e-11,0.5984243635804212
LINGO2,0.5794957110882604,2.2011709738709966e-13,122,7.647811322216644e-10,0.5794957110882604
CDH12,0.5763473532260114,3.1734866504452287e-13,123,9.6477961031848e-10,0.5763473532260114
PENK,0.5564001542124043,2.9506971870227757e-12,56,7.973767365064547e-09,0.5564001542124043
PHACTR2,-0.5550519142363486,3.4125230608605097e-12,112,8.299597336318846e-09,0.5550519142363486
SLIT2,-0.5526120996527494,4.432394005113476e-12,102,9.800023145305894e-09,0.5526120996527494
LOC105369559,0.550197502821856,5.729617229547939e-12,41,1.1612501719986286e-08,0.550197502821856
SYTL5,0.5459421209683574,8.962913615520557e-12,96,1.676823246485196e-08,0.5459421209683574
CUX2,0.5403623761397222,1.5964243575518575e-11,100,2.7733312000013375e-08,0.5403623761397222
SAMD5,-0.5348020214871705,2.8082754499657058e-11,102,4.553337814574396e-08,0.5348020214871705
ZBTB20,0.5314089057352842,3.944043967386132e-11,129,5.995193333174882e-08,0.5314089057352842
RALYL,-0.5270193728241956,6.086200337035554e-11,117,8.697267857993035e-08,0.5270193728241956
CDH13,-0.5264479606977643,6.43685791883042e-11,134,8.697267857993035e-08,0.5264479606977643
PLCH1,-0.5160349412592329,1.7545509673027172e-10,120,2.2459175829352307e-07,0.5160349412592329
CTNNA2,-0.5107645270679226,2.877620028498189e-10,131,3.4993298356552227e-07,0.5107645270679226
PCSK5,0.5063946289225983,4.309511134085556e-10,117,4.9910295377188e-07,0.5063946289225983
PCSK6,0.5044898398800343,5.129893244123178e-10,109,5.671096981378174e-07,0.5044898398800343
ZMAT4,-0.4992896511629047,8.210426535510265e-10,96,8.681990598701964e-07,0.4992896511629047
PCDH7,0.4957715382375677,1.1236293036014132e-09,122,1.138197927299661e-06,0.4957715382375677
BRINP3,-0.4953154047320279,1.1699744328971475e-09,79,1.138197927299661e-06,0.4953154047320279
GABRG3,-0.49299375063618217,1.4358918382007223e-09,112,1.3431663614184524e-06,0.49299375063618217
CLMP,-0.49151250758423315,1.6350219031459809e-09,88,1.4727913965338298e-06,0.49151250758423315
EPB41L4A,-0.48686151151862944,2.4484132074834567e-09,114,2.1267092006858983e-06,0.48686151151862944
NPAS3,-0.48505947783017217,2.8584261206634006e-09,130,2.3972338510570538e-06,0.48505947783017217
GAS7,-0.4823015372125776,3.6164937446315285e-09,127,2.823122240808764e-06,0.4823015372125776
CBLN4,0.4820579790324664,3.6920390827238537e-09,65,2.823122240808764e-06,0.4820579790324664
ST6GALNAC5,-0.4819865471951533,3.7144817937535646e-09,108,2.823122240808764e-06,0.4819865471951533
SGCZ,0.4801018549390976,4.356353533369153e-09,127,3.210632554093066e-06,0.4801018549390976
ZNF804A,0.4797094068007483,4.502825893678767e-09,94,3.2209773105929788e-06,0.4797094068007483
PAWR,-0.4783907101271351,5.030508547961853e-09,117,3.4956285255708634e-06,0.4783907101271351
CNTNAP2,-0.47300589782915003,7.871082255558325e-09,133,5.3175719871509445e-06,0.47300589782915003
VWC2,0.47245751930269425,8.234671970754796e-09,71,5.412850189208849e-06,0.47245751930269425
KLF3-AS1,0.4709791292418415,9.297089001965306e-09,72,5.950381621494689e-06,0.4709791292418415
FLRT2,-0.4685087701378492,1.137242737011785e-08,97,6.9517091852730475e-06,0.4685087701378492
SNCA,-0.4684430933830302,1.1433262094935318e-08,118,6.9517091852730475e-06,0.4684430933830302
NT5DC3,-0.4647235784833285,1.543820198364237e-08,72,9.157866108394296e-06,0.4647235784833285
GALNTL6,-0.46050446089843844,2.161085647621491e-08,119,1.2514229532333877e-05,0.46050446089843844
ARNT2,-0.45897241801705674,2.4390895749762323e-08,122,1.3508367907898632e-05,0.45897241801705674
LINC00403,0.4589476837303167,2.4438476540748315e-08,87,1.3508367907898632e-05,0.4589476837303167
CNR1,-0.4573986179380449,2.760246893360399e-08,53,1.491821437631517e-05,0.4573986179380449
RRAS2,-0.4562028474653784,3.0309839940901975e-08,76,1.602533950440602e-05,0.4562028474653784
CRYBG3,0.4532957995481697,3.799498619859521e-08,82,1.9661192751830515e-05,0.4532957995481697
ITPR1,-0.4525063467803718,4.038507325092213e-08,123,2.046261180282661e-05,0.4525063467803718
TOX2,0.4503106209803832,4.781446450550001e-08,116,2.3462254682779972e-05,0.4503106209803832
SLC24A3,0.45019645732364505,4.823456001558318e-08,123,2.3462254682779972e-05,0.45019645732364505
KIRREL3-AS2,0.44646926051942604,6.406596871008236e-08,38,3.055192990191987e-05,0.44646926051942604
MKX,0.4460202745260368,6.62792284802617e-08,58,3.099955992054701e-05,0.4460202745260368
GRM1,-0.4452635415392492,7.017615007895449e-08,118,3.2202908416419854e-05,0.4452635415392492
SPRY1,0.44291785227179986,8.369882226292364e-08,55,3.769701956030678e-05,0.44291785227179986
CDH18,0.44019252110375445,1.0254504980917056e-07,133,4.5345421025615224e-05,0.44019252110375445
ITPR2,0.4358934470667223,1.407598893936997e-07,119,6.113252267757446e-05,0.4358934470667223
SOX2-OT,0.43483383166673034,1.5208775037462044e-07,122,6.489344169931832e-05,0.43483383166673034
SLC24A4,0.43443381439898776,1.565866302006433e-07,85,6.566109367430768e-05,0.43443381439898776
PNOC,-0.43403224691119136,1.6123073032394338e-07,112,6.64625863086208e-05,0.43403224691119136
BAIAP3,-0.43087012483083864,2.0268832283438727e-07,43,8.215971166091889e-05,0.43087012483083864
ADAMTS17,0.42756307729757714,2.5685530361333136e-07,104,0.00010240947277343986,0.42756307729757714
CELF2,-0.4265464656666542,2.7611436800300037e-07,134,0.00010501009777018954,0.4265464656666542
CELF4,-0.4265364904799312,2.7631000117865404e-07,133,0.00010501009777018954,0.4265364904799312
CAMK4,0.42653542015354756,2.7633100025871183e-07,99,0.00010501009777018954,0.42653542015354756
SEL1L3,-0.4260403802206221,2.862083979388587e-07,105,0.00010709037609647665,0.4260403802206221
KCNMB2,-0.4243408883246076,3.227461030615588e-07,51,0.00011893193897818443,0.4243408883246076
ENOX2,-0.42321136642073204,3.4944786931815695e-07,107,0.00012684957656249098,0.42321136642073204
TRHDE,-0.4223421990835986,3.7141647378921267e-07,120,0.0001328414714562859,0.4223421990835986
LOC101927366,0.41901073766544417,4.684548251817355e-07,46,0.00016512014207601433,0.41901073766544417
KCNJ6,-0.4173919628578765,5.239142519496947e-07,107,0.00018203026459526463,0.4173919628578765
SYNDIG1,0.4162645672884132,5.661775833723757e-07,112,0.0001939437324675993,0.4162645672884132
NLGN1,0.4156290136833697,5.914149448895326e-07,129,0.00019977503992581002,0.4156290136833697
CDH7,0.415290987500321,6.052707745778994e-07,96,0.00020165466450012453,0.415290987500321
KAL1,0.41286928452806204,7.139747735185615e-07,92,0.00023465649279385048,0.41286928452806204
MTUS1,0.4120298633979534,7.558166496377496e-07,100,0.0002450962231445294,0.4120298633979534
ITGA1,-0.4116226362470209,7.769467198929977e-07,77,0.00024863317334891574,0.4116226362470209
SUN3,0.41125246096591017,7.966412613144865e-07,49,0.0002489258524029979,0.41125246096591017
PROK1,-0.4112211017106858,7.983313386552294e-07,17,0.0002489258524029979,0.4112211017106858
KCNB2,-0.4109109340570881,8.152324166287227e-07,103,0.0002509780709471793,0.4109109340570881
GNG4,-0.4104498383994371,8.409884865411543e-07,105,0.0002529591506233192,0.4104498383994371
MPP3,-0.410423742057634,8.424691090205525e-07,69,0.0002529591506233192,0.410423742057634
ARHGAP20,-0.4094418567548141,9.000165163808233e-07,117,0.00026573254093143454,0.4094418567548141
OCA2,-0.40932905383925405,9.068624191977741e-07,78,0.00026573254093143454,0.40932905383925405
RASAL1,-0.40882597530380294,9.380017307093095e-07,59,0.00027158500110215615,0.40882597530380294
