gene,specificity,gwas_zstat,gwas_p,contribution,is_scz_gwas
OR8B8,0.19078405,3.8082,6.9991e-05,0.72654381921,False
NRAP,0.33591828,1.9527,0.025426,0.655947625356,False
BSX,0.2927342,2.0156,0.021923,0.59003505352,False
INHBA,0.24961145,2.0385,0.020748,0.508832940825,False
SLC17A3,0.049601994,7.6068,1.4044e-14,0.3773124479592,False
AMPD1,0.080842406,3.9506,3.8983e-05,0.31937600914360004,False
TGM7,0.05683492,5.1398,1.3754e-07,0.292120121816,False
BDNF,0.08180721,3.5317,0.00020642,0.288918523557,False
VSIG2,0.041494086,6.7823,5.9144e-12,0.2814253394778,True
LGALS16,0.17727882,1.5628,0.059053,0.277051339896,False
PPP1R27,0.11897988,2.1414,0.016121,0.254783515032,False
PITX3,0.19841003,1.2754,0.10109,0.253052152262,False
SLC39A2,0.1643639,1.4325,0.075997,0.23545128675000002,False
DSG3,0.09051524,2.5538,0.0053275,0.231157819912,False
KIF18A,0.0767022,2.9701,0.0014885,0.22781320421999998,False
LGALS13,0.111408696,2.0034,0.022569,0.2231961815664,False
MTRNR2L3,0.13881418,1.5709,0.058106,0.218063195362,False
CRYBA4,0.10370878,2.0591,0.019743,0.213546748898,False
CPA3,0.10427145,1.8815,0.029953,0.196186733175,False
C17orf98,0.0726042,2.5923,0.0047662,0.18821186765999998,False
OR2Z1,0.13603772,1.3505,0.088434,0.18371894086,False
PYDC2,0.077325776,2.2579,0.011975,0.1745938696304,False
SLC25A52,0.11001281,1.5602,0.059356,0.17164198616200002,False
C17orf77,0.077399895,2.1306,0.016562,0.16490821628699998,False
SH3RF2,0.12132658,1.3251,0.092569,0.160769851158,False
MTNR1B,0.13572599,1.1056,0.13445,0.15005865454399997,False
WDR64,0.05757244,2.6048,0.0045958,0.149964691712,False
SATB2,0.024713816,6.0285,8.2759e-10,0.148987239756,False
EGR4,0.04820744,3.0659,0.001085,0.147799190296,False
WNT3,0.029360553,4.981,3.1635e-07,0.146244914493,False
CATSPER1,0.082164556,1.7677,0.038553,0.1452422856412,False
TM6SF2,0.020877255,6.7792,6.0442e-12,0.141531087096,False
ACVR1C,0.12600666,1.1147,0.13249,0.140459623902,False
NRGN,0.02017558,6.9384,1.9831e-12,0.139986244272,True
DPP4,0.033109955,4.183,1.4382e-05,0.13849894176500002,True
NGEF,0.021345215,6.2412,2.1707e-10,0.133219755858,True
E2F8,0.054060187,2.4147,0.0078733,0.1305391335489,False
DPYD,0.012919097,10.018,6.3659e-24,0.129423513746,False
SMIM2,0.040349506,3.1427,0.0008369,0.12680639250620002,False
IRGC,0.1010066,1.2361,0.10821,0.12485425826,False
ADGRV1,0.02344337,5.2409,7.9898e-08,0.12286435783300001,True
EMX1,0.031343047,3.918,4.4648e-05,0.122802058146,False
C12orf71,0.1494412,0.81183,0.20845,0.121320849396,False
PCDHAC2,0.022132594,5.4012,3.3091e-08,0.1195425667128,True
WNT2,0.10987853,1.0629,0.14392,0.116789889537,False
CRHR1,0.020019159,5.7565,4.2939e-09,0.11524028878350001,False
