gene,specificity,gwas_zstat,gwas_p,contribution,is_scz_gwas
OR6X1,0.7018961,2.6571,0.0039413,1.8650081273099999,False
OR1S1,0.3062461,1.1614,0.12274,0.35567422054000003,False
IL20,0.16348948,1.979,0.023909,0.32354568092,False
CHRM4,0.034759864,7.0128,1.1682e-12,0.24376397425920002,True
LRIT2,0.18770887,1.2711,0.10184,0.23859674465699998,False
GRB7,0.13130976,1.7508,0.039988,0.22989712780799998,False
SLC35G4,0.10515817,2.0519,0.020091,0.215774049023,False
PYDC2,0.09518295,2.2579,0.011975,0.21491358280499998,False
OR2T1,0.11489894,1.8526,0.031972,0.21286177624400002,False
DNAJC5G,0.06336113,3.1385,0.00084914,0.19885890650500002,False
OSR1,0.11233254,1.7679,0.038539,0.198592697466,False
METTL21C,0.07377996,2.5877,0.0048312,0.190920402492,False
TRIM54,0.056642324,3.3186,0.00045234,0.1879732164264,False
FEZF1,0.06818079,2.7343,0.0031258,0.18642673409700003,False
CCDC166,0.04087027,4.2344,1.146e-05,0.173061071288,True
KCNS1,0.042964004,4.0175,2.9404e-05,0.17260788607,False
NRGN,0.023540257,6.9384,1.9831e-12,0.1633317191688,True
RTP1,0.10637671,1.3479,0.088842,0.143385167409,False
IL25,0.05041985,2.8269,0.0023498,0.14253187396500003,False
SMCP,0.17170662,0.82175,0.20561,0.141099914985,False
SLC30A3,0.042133927,3.3313,0.00043226,0.1403607510151,False
SATB2,0.023084767,6.0285,8.2759e-10,0.1391665178595,False
CACNA1I,0.017929701,7.5912,1.5844e-14,0.13610794623119998,True
MAPK15,0.03652052,3.6598,0.00012623,0.133657799096,True
EMX1,0.03260986,3.918,4.4648e-05,0.12776543148,False
ADAM30,1.0,0.12726,0.44937,0.12726,False
TPBG,0.04945019,2.4935,0.0063243,0.123304048765,False
MSGN1,0.042451553,2.8982,0.0018767,0.12303309090460002,False
IGSF9B,0.0137984725,8.6466,2.6536e-18,0.1193098723185,True
TNNT2,0.09604131,1.2373,0.108,0.11883191286300002,False
BHLHE22,0.029780703,3.9509,3.8927e-05,0.11766057948269999,False
FES,0.018781226,6.1094,5e-10,0.1147420221244,True
INHBC,0.02928169,3.9127,4.5627e-05,0.114570468463,False
APOC3,0.17279436,0.65517,0.25618,0.1132096808412,False
PLCH2,0.01913594,5.8941,1.8842e-09,0.112789143954,True
RNF148,0.035109587,3.1646,0.00077647,0.1111077990202,False
OVOL1,0.027576242,3.9791,3.4584e-05,0.1097286245422,False
KLHL38,0.040604483,2.6777,0.0037068,0.1087266241291,False
SGCG,0.042763058,2.5395,0.0055501,0.10859678579099999,False
MLN,0.020685596,5.1454,1.3347e-07,0.10643566565840001,False
NEUROD6,0.03891223,2.6764,0.0037211,0.104144692372,False
ZNF365,0.016962234,6.0891,5.6765e-10,0.1032847390494,False
SLC17A4,0.019553263,5.2361,8.1989e-08,0.10238284039430001,False
GRM3,0.016689828,6.0326,8.0652e-10,0.10068305639280001,True
VWC2L,0.021668764,4.6134,1.981e-06,0.09996667583760001,False
DCC,0.021486735,4.6498,1.6612e-06,0.099909020403,True
PLCL1,0.01355726,7.3519,9.7691e-14,0.099671619794,False
DPYD,0.009894355,10.018,6.3659e-24,0.09912164839000001,False
CRHR1,0.016841782,5.7565,4.2939e-09,0.096949718083,False
F2,0.013745515,6.9543,1.772e-12,0.0955904349645,False
PPP1R16B,0.01108086,8.5995,4.0048e-18,0.09528985557000001,True
XRCC3,0.013644054,6.9499,1.8276e-12,0.0948248108946,True
CCDC175,0.024370346,3.861,5.6473e-05,0.094093905906,False
MYO5C,0.02924801,3.2054,0.0006743,0.09375157125400001,False
CCDC68,0.046827536,1.9868,0.023471,0.0930369485248,False
RCOR2,0.021401575,4.3347,7.2976e-06,0.0927694071525,False
FAM83H,0.021123864,4.3486,6.849e-06,0.0918592349904,True
CD101,0.034906153,2.6157,0.0044519,0.0913040244021,False
BOLL,0.015603208,5.8263,2.8342e-09,0.0909089707704,False
CHRNB4,0.014837883,6.1094,5e-10,0.0906505624002,True
EFNA5,0.015637122,5.5905,1.132e-08,0.087419330541,True
PRSS22,0.05763786,1.4985,0.067003,0.08637033321,False
TLR9,0.017022159,5.0642,2.0504e-07,0.08620361760779999,False
FOXP1,0.010926772,7.8486,2.1043e-15,0.0857598627192,True
NGEF,0.013724884,6.2412,2.1707e-10,0.0856597460208,True
EGR4,0.027518984,3.0659,0.001085,0.08437045304560001,False
DOC2A,0.0126315225,6.6745,1.2402e-11,0.08430909692625001,True
RILPL2,0.01979144,4.2465,1.0856e-05,0.08404434996,False
CACNB2,0.009993797,8.3879,2.4747e-17,0.0838269698563,True
NEURL3,0.0478395,1.7394,0.040984,0.0832120263,False
CTNND1,0.014061817,5.8889,1.9443e-09,0.0828086341313,True
ZFYVE21,0.012191139,6.7637,6.7234e-12,0.0824572068543,True
PDF,0.021751761,3.7904,7.5208e-05,0.0824478748944,False
MRPS30,0.014252534,5.78,3.7343e-09,0.08237964652,False
POU6F2,0.030122742,2.7064,0.0034008,0.0815241889488,False
FAM83C,0.042433627,1.9205,0.027395,0.0814937806535,False
F13B,0.03518827,2.3019,0.010671,0.08099987871299999,False
PNMT,0.02537039,3.1671,0.00076997,0.080350562169,False
NEUROD2,0.022096803,3.6285,0.00014256,0.0801782496855,False
TMEM225,0.08465765,0.94,0.17361,0.07957819099999999,False
GRM2,0.027631756,2.8216,0.0023895,0.0779657627296,False
CA10,0.022240583,3.5029,0.00023009,0.07790653819070001,False
ARC,0.024159394,3.1768,0.00074457,0.07674956285920001,False
FUT1,0.01868318,4.1069,2.005e-05,0.07672995194200001,False
NWD2,0.026681658,2.8621,0.0021043,0.0763655733618,False
SEMA3A,0.019730408,3.8572,5.7355e-05,0.07610412973760002,False
SPATS2L,0.010925423,6.9331,2.058e-12,0.0757470502013,False
OR9Q1,0.03282419,2.3035,0.010627,0.07561052166500001,False
BANK1,0.015582833,4.8364,6.6118e-07,0.0753648135212,False
NPTX1,0.016568089,4.5007,3.3872e-06,0.0745679981623,False
KDF1,0.04451164,1.6687,0.047587,0.074276573668,False
FAM178B,0.021676011,3.4235,0.00030914,0.0742078236585,True
CACNA1C,0.008760457,8.3922,2.3851e-17,0.0735195072354,True
CCDC158,0.029816886,2.4632,0.0068848,0.07344495359520001,False
PTK7,0.01878254,3.8895,5.0224e-05,0.07305468933,True
NDFIP2,0.013185433,5.5136,1.7576e-08,0.0726992033888,False
PLEKHS1,0.09159251,0.79137,0.21436,0.07248356463870001,False
FSCN2,0.02139572,3.3837,0.00035761,0.072396697764,False
PAEP,0.071790755,1.0058,0.15725,0.072207141379,True
WBP2NL,0.00981996,7.3101,1.3345e-13,0.071784889596,True
PTK2B,0.018450102,3.8871,5.073e-05,0.0717173914842,False
VSIG2,0.01040617,6.7823,5.9144e-12,0.070577766791,True
SGCD,0.011391083,6.183,3.1442e-10,0.070431066189,True
LIN28B,0.018429002,3.8167,6.7631e-05,0.0703379719334,False
DCST1,0.018238002,3.853,5.8351e-05,0.070271021706,False
DGKZ,0.009585685,7.3272,1.1752e-13,0.070236231132,True
SPTSSB,0.016440518,4.2478,1.0793e-05,0.06983603236040001,False
TRHDE,0.022846429,3.0563,0.0011203,0.0698255409527,False
ACTR5,0.008759047,7.9681,8.0552e-16,0.0697929624007,True
ITIH1,0.00982219,7.0889,6.7601e-13,0.06962852269099999,True
KIAA1549,0.014658544,4.7465,1.0349e-06,0.069576779096,False
PLA2G4F,0.05118989,1.3574,0.087326,0.069485156686,False
TMPRSS11B,0.03453745,2.0084,0.0223,0.06936501458,False
ZNF679,0.040640287,1.6997,0.044591,0.0690762958139,False
NPC1L1,0.015043468,4.5357,2.8704e-06,0.0682326578076,False
LINGO1,0.018022574,3.7793,7.8633e-05,0.0681127139182,False
KIF2B,0.08784817,0.76899,0.22095,0.0675543642483,False
CDK2AP1,0.011428801,5.8706,2.1705e-09,0.06709391915059999,True
MYL2,0.04257104,1.5714,0.058042,0.066896132256,False
CALHM1,0.039326288,1.6983,0.04473,0.0667878349104,False
SEMA6D,0.014282609,4.6726,1.4869e-06,0.0667369188134,False
TPH2,0.018853605,3.4988,0.00023368,0.065964993174,True
RORB,0.05145757,1.2818,0.099961,0.065958313226,True
MPHOSPH9,0.008836506,7.4431,4.9188e-14,0.06577099780859999,True
CABP1,0.016379684,3.9989,3.1815e-05,0.06550071834759999,False
PKP3,0.05116326,1.2777,0.10068,0.065371297302,False
RARB,0.023227919,2.8121,0.0024609,0.0653192310199,False
C3orf84,0.017796818,3.6611,0.00012559,0.0651559303798,False
PTPRT,0.015273967,4.2581,1.0311e-05,0.0650380788827,True
RASIP1,0.0147260735,4.4057,5.2713e-06,0.06487866201895001,False
ESRP2,0.014548322,4.4407,4.4831e-06,0.0646047335054,False
YPEL4,0.011776383,5.4818,2.1047e-08,0.06455577632939999,False
PTPN3,0.03187111,2.0211,0.021633,0.064414700421,False
RPEL1,0.014795031,4.3343,7.3104e-06,0.06412610286329999,True
MUC3A,0.02003044,3.1893,0.00071308,0.063883082292,False
FOXP2,0.020749494,3.0752,0.0010518,0.0638088439488,False
PCDHA13,0.011665691,5.4633,2.3367e-08,0.0637331696403,True
SLCO2A1,0.03095281,2.0582,0.019787,0.06370707354199999,False
PRDM8,0.041074935,1.5507,0.060482,0.0636949017045,False
MPL,0.013749259,4.6317,1.8134e-06,0.06368244291030001,False
CENPBD1,0.014798965,4.2891,8.9717e-06,0.0634742407815,False
RGS6,0.01351011,4.6779,1.4491e-06,0.06319894356900001,True
KCNB1,0.010556733,5.9848,1.0835e-09,0.06317993565840001,True
STON1-GTF2A1L,0.019941736,3.1639,0.00077845,0.0630936585304,False
