gene,specificity,gwas_zstat,gwas_p,contribution,is_scz_gwas
SCNN1G,0.28531507,2.4551,0.0070415,0.700477028357,False
NR0B2,0.23648435,2.0893,0.018338,0.49408675245500006,False
LMAN1L,0.14232858,3.3207,0.000449,0.47263051560600006,False
SP7,0.110820316,3.6755,0.00011868,0.40732007145800003,True
FAM83C,0.20291068,1.9205,0.027395,0.38968996094,False
C1QL2,0.13974981,2.7062,0.0034026,0.378190935822,False
CPLX3,0.11797397,3.2026,0.00068104,0.377823436322,False
FCAMR,0.15554722,2.4087,0.0080048,0.37466658881400006,False
COX8C,0.21303934,1.668,0.047662,0.35534961911999996,False
AMPD1,0.07930735,3.9506,3.8983e-05,0.31331161691,False
TLR9,0.047056846,5.0642,2.0504e-07,0.2383052795132,False
ADAMTS2,0.060637686,3.7852,7.6778e-05,0.2295257690472,False
NTF4,0.1280801,1.7799,0.037545,0.22796976999000002,False
RAB42,0.06470154,3.4022,0.00033426,0.220127579388,False
GOLGA6D,0.09847791,2.0895,0.018333,0.20576959294500002,False
SP9,0.053713687,3.7979,7.2974e-05,0.2039992118573,False
MDGA1,0.09973007,2.0157,0.021915,0.20102590209899998,False
GP5,0.13265815,1.4852,0.068748,0.19702388438000001,False
ROR2,0.12521662,1.5471,0.06092,0.193722632802,False
BSX,0.090689644,2.0156,0.021923,0.18279404644640002,False
XCR1,0.08936128,1.9808,0.023807,0.17700682342399998,False
OR8G5,0.12123751,1.4075,0.079642,0.170641795325,False
CCR8,0.09021404,1.8858,0.029661,0.17012563663199998,False
LACC1,0.037308834,4.5354,2.8747e-06,0.1692104857236,False
EPO,0.04012276,4.1379,1.7523e-05,0.166023968604,False
HAPLN1,0.071500786,2.2818,0.01125,0.1631504934948,False
OR2A5,0.06575925,2.4661,0.0068294,0.16216888642500002,False
PBX3,0.047145214,3.2841,0.00051161,0.1548295972974,False
CACNA1I,0.020130472,7.5912,1.5844e-14,0.1528144390464,True
PCDHA8,0.028245354,5.3659,4.0273e-08,0.1515617450286,True
SYNDIG1L,0.05124308,2.8852,0.0019556,0.14784653441600001,False
SPHKAP,0.033348706,4.4073,5.2323e-06,0.1469777519538,False
OR4P4,0.19067062,0.75968,0.22372,0.1448486566016,False
IGF2BP1,0.046487954,3.094,0.00098753,0.143833729676,False
BCL11B,0.021298118,6.5211,3.489e-11,0.1388871572898,True
PDCD1,0.10594303,1.2689,0.10223,0.13443111076699998,False
STEAP3,0.1094933,1.2255,0.1102,0.13418403915000002,False
PRR34,0.034854077,3.5783,0.00017291,0.1247183437291,False
NXPH2,0.046132844,2.5478,0.0054205,0.1175372599432,False
NUDT1,0.017152756,6.7787,6.0637e-12,0.1162733870972,False
TAF1L,0.049525358,2.3375,0.0097056,0.115765524325,False
OSM,0.035032094,3.2223,0.00063581,0.1128839164962,False
PCDHA3,0.020159427,5.5012,1.8863e-08,0.1109010398124,True
SEMA3F,0.04687491,2.3554,0.0092505,0.110409163014,False
PRRG2,0.02008662,5.4768,2.1656e-08,0.11001040041599999,True
PLEKHO1,0.01993637,5.5123,1.7712e-08,0.10989525235099999,True
BANF2,0.045880765,2.3268,0.0099882,0.10675536400199999,False
ANTXRL,0.07579777,1.402,0.08045,0.10626847353999999,False
ADRB3,0.067628615,1.548,0.060809,0.10468909602000001,False
HAPLN4,0.015589274,6.6596,1.373e-11,0.1038183291304,False
TNFAIP8L3,0.031703055,3.1837,0.00072715,0.1009330162035,False
TEKT2,0.021196146,4.7374,1.0825e-06,0.1004146220604,True
FAM25A,0.09118033,1.0718,0.1419,0.097727077694,False
LRRC72,0.031031523,3.1477,0.00082294,0.0976779249471,False
ZNF536,0.018917916,5.0807,1.8799e-07,0.09611625582120001,True
C14orf177,0.04994298,1.9225,0.027275,0.09601537905,False
CYP2D6,0.015028195,6.3878,8.4132e-11,0.09599710402100001,False
MYRFL,0.03749628,2.5596,0.0052393,0.095975478288,False
LCMT2,0.018254595,5.252,7.5235e-08,0.09587313294,False
MYO16,0.030822603,3.0659,0.0010851,0.0944990185377,False
OR2T1,0.05091123,1.8526,0.031972,0.094318144698,False
PDGFRA,0.043796808,2.1474,0.015882,0.09404926549920001,False
PCDHA2,0.017044423,5.5175,1.7193e-08,0.0940426039025,True
C2orf66,0.028356206,3.2857,0.0005086,0.09316998605419999,False
CYP17A1,0.013112618,7.0952,6.4587e-13,0.0930366472336,False
LDLRAD1,0.03937842,2.3403,0.0096348,0.092157316326,False
HUS1B,0.049727116,1.8406,0.032839,0.0915277297096,False
UNC13C,0.03869139,2.336,0.0097452,0.09038308703999999,False
MSMB,0.08063512,1.1176,0.13186,0.090117810112,False
OR2V2,0.058484264,1.5071,0.065892,0.08814163427440001,False
NAGA,0.012962555,6.7953,5.4027e-12,0.0880844499915,True
PLCH2,0.014911279,5.8941,1.8842e-09,0.0878885695539,True
ACTR5,0.010987938,7.9681,8.0552e-16,0.08755298877779999,True
FCRL5,0.07346632,1.1879,0.11744,0.087270641528,False
RBMS3,0.015553528,5.5807,1.1975e-08,0.08679957370960001,True
TRPV4,0.016927397,5.0668,2.0233e-07,0.0857677351196,False
SMIM2,0.02681913,3.1427,0.0008369,0.084284479851,False
BOLL,0.014382031,5.8263,2.8342e-09,0.0837940272153,False
SGCD,0.013429778,6.183,3.1442e-10,0.083036317374,True
SLC22A7,0.017991127,4.6061,2.0513e-06,0.08286893007469999,False
SLC25A48,0.03293659,2.4777,0.0066113,0.08160698904300001,False
CNTNAP4,0.022280853,3.638,0.00013739,0.081057743214,False
NXPH1,0.01964232,4.1152,1.9341e-05,0.080832075264,False
PRKCD,0.01938507,4.1629,1.5714e-05,0.080698107903,False
ERBB4,0.011797203,6.8222,4.482e-12,0.08048287830659999,True
C16orf92,0.011552652,6.9554,1.7577e-12,0.0803533157208,True
GRIN2A,0.016477928,4.8485,6.221e-07,0.07989323390799999,True
SLC32A1,0.01386455,5.7089,5.6871e-09,0.07915132949499999,False
DLX1,0.014499679,5.4558,2.4377e-08,0.0791073486882,True
STBD1,0.027796287,2.841,0.0022484,0.078969251367,False
IL1RAP,0.027118988,2.871,0.0020461,0.077858614548,False
GNG4,0.029663572,2.6083,0.0045494,0.07737149484759999,False
RGS21,0.040733505,1.8989,0.028787,0.0773488526445,False
