gene,specificity,gwas_zstat,gwas_p,contribution,is_scz_gwas
CILP2,0.45764464,6.6107,1.9124e-11,3.0253514216479998,False
GAL,0.2462835,2.6031,0.0046186,0.6411005788499999,False
SLC17A8,0.16799825,3.4466,0.00028383,0.57902276845,False
MLN,0.10968372,5.1454,1.3347e-07,0.564366612888,False
GPR142,0.5986923,0.89965,0.18415,0.5386135276949999,False
YJEFN3,0.068674125,7.0115,1.1793e-12,0.4815086274375,False
NR1H4,0.2578084,1.7441,0.040571,0.44964363044,False
SLC22A31,0.1744202,2.216,0.013347,0.3865151632,False
TGM5,0.07986739,4.8131,7.4303e-07,0.38440973480900004,False
HIST2H4B,0.17891946,1.8626,0.031262,0.33325538619600004,False
HNF1A,0.0850175,3.8778,5.27e-05,0.3296808615,False
NANOS2,0.205607,1.4901,0.0681,0.3063749907,False
POTEI,0.11106759,2.5743,0.0050217,0.28592129693699997,False
OR10G8,0.39348385,0.7011,0.24162,0.27587152723499997,False
MMEL1,0.14777784,1.8583,0.031561,0.274615560072,False
HTR3A,0.08661434,2.8696,0.0020548,0.248548510064,False
HHLA1,0.075597174,2.9347,0.0016695,0.2218550265378,False
C1orf158,0.119478494,1.8418,0.032752,0.22005549024920001,False
TRPC4,0.03733274,5.8463,2.5131e-09,0.21825839786200002,False
CDH23,0.068304956,2.6187,0.004413,0.1788701882772,False
PBX4,0.030319262,5.8749,2.1153e-09,0.17812263232380002,False
SERPINB12,0.27666754,0.6418,0.2605,0.177565227172,False
ISM2,0.22353433,0.77945,0.21786,0.1742338335185,False
SYT6,0.12877917,1.3455,0.089238,0.173272373235,False
MYC,0.11960633,1.3843,0.083129,0.16557104261900002,False
SCT,0.061594196,2.5544,0.005319,0.15733621426239996,False
SLC34A3,0.13557275,1.1601,0.123,0.15727794727499997,False
FREM2,0.13321392,1.1605,0.12293,0.15459475416000001,False
TLR9,0.030284848,5.0642,2.0504e-07,0.1533685272416,False
RPE65,0.08182603,1.8662,0.031006,0.152703737186,False
PHGR1,0.09114801,1.6013,0.054658,0.145955308413,True
SGCD,0.02351589,6.183,3.1442e-10,0.14539874787,True
KAAG1,0.08827087,1.6355,0.050971,0.144367007885,False
LACC1,0.03158425,4.5354,2.8747e-06,0.14324720745,False
SMR3B,0.18731362,0.76112,0.22329,0.1425681424544,False
HCN4,0.035001077,3.9752,3.5153e-05,0.1391362812904,False
CHRNA3,0.019414205,7.1477,4.4131e-13,0.1387669130785,True
ST8SIA6,0.04356707,3.1772,0.00074342,0.138421294804,False
CLEC4D,0.11503899,1.1994,0.11519,0.137977764606,False
FCRL5,0.10860346,1.1879,0.11744,0.129010050134,False
LPAR2,0.023639608,5.285,6.2844e-08,0.12493532828,False
PCDHB1,0.034153145,3.6518,0.00013019,0.12472045491100002,True
NTF3,0.092843994,1.337,0.090605,0.124132419978,False
TMEM102,0.05981879,1.9937,0.023094,0.119260721623,False
DNTT,0.1425892,0.83625,0.20151,0.11924021850000001,False
ABCD2,0.03191211,3.7181,0.00010038,0.118652416191,False
LRRC8E,0.058592245,2.0065,0.022402,0.1175653395925,False
NGF,0.022318652,5.2015,9.8853e-08,0.11609046837800001,False
NEB,0.04459935,2.6005,0.0046539,0.115980609675,False
BMP3,0.08591557,1.3492,0.088635,0.11591728704399999,False
GJD2,0.025434803,4.5078,3.2745e-06,0.11465500496339999,False
SP8,0.07062112,1.6131,0.053366,0.11391892867199999,False
SYNDIG1L,0.039386317,2.8852,0.0019556,0.1136374018084,False
SULT6B1,0.027287915,4.1468,1.6858e-05,0.113157525922,False
SORCS3,0.022356648,5.0411,2.3145e-07,0.1127020982328,True
PTGER2,0.05823601,1.9286,0.026888,0.112313968886,False
MDK,0.014506209,7.5474,2.2204e-14,0.1094841618066,True
CALHM3,0.0817699,1.3364,0.090709,0.10927729436000001,False
NT5DC2,0.01522984,7.1536,4.2277e-13,0.10894818342399999,False
CCDC96,0.03457999,3.1245,0.00089063,0.10804517875499998,False
SMLR1,0.033807386,3.1237,0.00089309,0.1056041316482,False
OGFOD2,0.01709611,6.1308,4.3712e-10,0.104812831188,False
ASCL1,0.03482184,2.9806,0.0014384,0.103789976304,False
TSSK6,0.015730575,6.5712,2.4949e-11,0.10336875444,False
PROX2,0.029209904,3.52,0.00021575,0.10281886207999999,False
IGF2BP3,0.035033986,2.93,0.0016946,0.10264957898000002,False
UBE2C,0.074917816,1.3396,0.09019,0.10035990631359999,False
SLC5A7,0.03401098,2.8714,0.0020431,0.097659127972,False
GAS2L3,0.034151968,2.789,0.0026432,0.095249838752,False
RNF183,0.04757468,1.9981,0.022855,0.095058968108,False
B3GALT1,0.031857055,2.9681,0.0014982,0.09455492494550001,False
TEX38,0.058631677,1.5926,0.055623,0.0933768087902,False
TOPAZ1,0.030008325,3.1022,0.00096045,0.09309182581499999,False
GATAD2A,0.015204681,6.1094,5e-10,0.0928914781014,True
TNNI3,0.03075758,2.983,0.001427,0.09174986114,False
PRRG2,0.016640887,5.4768,2.1656e-08,0.09113880992159999,True
HAPLN1,0.039809678,2.2818,0.01125,0.0908377232604,False
FAM160A1,0.059401352,1.5167,0.064672,0.09009403057839999,False
RELN,0.033855997,2.6471,0.0040589,0.0896202096587,False
DENND2A,0.023563882,3.7526,8.7502e-05,0.0884258235932,False
GLT8D1,0.011946665,7.3905,7.3164e-14,0.0882918276825,True
ASZ1,0.037193734,2.3492,0.009408,0.0873755199128,False
PCDHA4,0.015565071,5.5322,1.5809e-08,0.0861090857862,True
HSPE1,0.012264021,7.0197,1.1116e-12,0.08608974821370001,True
MITF,0.022238594,3.7853,7.6751e-05,0.0841797498682,False
ZNF385D,0.018977888,4.4203,4.9276e-06,0.08388795832639999,False
TNFAIP8L3,0.026191637,3.1837,0.00072715,0.0833863147169,False
JSRP1,0.022032095,3.7283,9.6401e-05,0.08214225978850001,False
HARBI1,0.011390222,7.2106,2.7861e-13,0.0821303347532,False
SLC32A1,0.014161352,5.7089,5.6871e-09,0.0808457424328,False
STAC,0.038992908,2.0732,0.019077,0.0808400968656,False
MARS2,0.016697813,4.8207,7.1534e-07,0.0804951471291,False
KCNH6,0.02421334,3.323,0.0004453,0.08046092882,False
GPR21,0.054288466,1.4721,0.070503,0.0799180507986,False
CCDC85A,0.021644987,3.6852,0.00011424,0.07976610609240001,False
LRRC46,0.028036792,2.8366,0.0022798,0.07952916418719999,False
CENPL,0.01791387,4.4218,4.8948e-06,0.079211550366,False
FEV,0.1278196,0.61904,0.26794,0.07912544518400001,False
ERBB4,0.011488174,6.8222,4.482e-12,0.0783746206628,True
MAML3,0.026774706,2.9035,0.0018453,0.077740358871,False
C11orf21,0.12041211,0.64379,0.25986,0.07752011229689999,False
ZNF536,0.015197688,5.0807,1.8799e-07,0.07721489342160001,True
PCDHA11,0.01463078,5.2593,7.2302e-08,0.07694766125399999,True
MMP2,0.062249575,1.2343,0.10855,0.0768346504225,False
PCDHA6,0.01380646,5.5498,1.4297e-08,0.076623091708,True
KCNK9,0.02094745,3.6562,0.000128,0.07658806669,False
CDH24,0.056251053,1.3521,0.088172,0.07605704876130001,False
ELL3,0.014179,5.3486,4.4328e-08,0.0758377994,False
