gene,specificity,gwas_zstat,gwas_p,contribution,is_scz_gwas
TSSK2,0.31806374,1.8953,0.029025,0.6028262064219999,False
C10orf99,0.20092745,2.4293,0.007563,0.488113054285,False
OR2V1,0.3133941,1.4572,0.072531,0.45667788252,False
EPPIN,0.12720832,2.7721,0.002785,0.352634183872,False
RNASE13,0.40246388,0.59236,0.2768,0.2384035039568,False
KLHL38,0.081110016,2.6777,0.0037068,0.2171882898432,False
OR5AU1,0.07953486,2.6866,0.0036091,0.21367835487599998,False
TCL1A,0.23190483,0.81304,0.2081,0.1885479029832,False
KCNS3,0.036822323,4.8609,5.8441e-07,0.1789896298707,False
MEPE,0.22424081,0.76406,0.22242,0.1713334332886,False
UGT2A1,0.42151517,0.39834,0.34519,0.1679063528178,False
SPINT3,0.05922768,2.7673,0.0028265,0.163900758864,False
WNT16,0.10284531,1.5596,0.059427,0.160397545476,False
POSTN,0.05579413,2.7851,0.0026757,0.155392231463,False
SP9,0.04017993,3.7979,7.2974e-05,0.15259935614700001,False
TRPC4,0.02605318,5.8463,2.5131e-09,0.152314706234,False
WFDC6,0.053986795,2.7878,0.0026535,0.15050438710099998,False
OPRD1,0.034562733,4.3441,6.9933e-06,0.1501439684253,False
GABRR3,0.07726151,1.925,0.027114,0.14872840675000001,False
ESRP2,0.032606024,4.4407,4.4831e-06,0.14479357077679997,False
TM6SF2,0.02115016,6.7792,6.0442e-12,0.14338116467200002,False
PDF,0.03621897,3.7904,7.5208e-05,0.13728438388800002,False
PLCH2,0.023165043,5.8941,1.8842e-09,0.1365370799463,True
SULF1,0.07281878,1.815,0.034763,0.1321660857,False
EPB42,0.03325368,3.8125,6.8782e-05,0.126779655,False
WFDC9,0.050179742,2.4722,0.0067136,0.1240543581724,False
POTEI,0.04768951,2.5743,0.0050217,0.122767105593,False
TSSK6,0.018492218,6.5712,2.4949e-11,0.12151606292160001,False
GFI1,0.029133642,4.1341,1.7819e-05,0.1204413893922,False
