gene,specificity,gwas_zstat,gwas_p,contribution,is_scz_gwas
RXFP4,0.3357842,2.5913,0.0047813,0.87011759746,False
TSSK2,0.38039422,1.8953,0.029025,0.720961165166,False
OR6B1,0.2250915,2.3199,0.010173,0.5221897708500001,False
SPPL2C,0.0534316,5.7104,5.634e-09,0.30511580864,False
TBX4,0.15888454,1.5583,0.059585,0.247589778682,False
GPHA2,0.053236376,4.6476,1.6791e-06,0.2474213810976,False
TSPAN2,0.057410337,4.0789,2.262e-05,0.2341710235893,False
NGF,0.04398899,5.2015,9.8853e-08,0.228808731485,False
PRSS58,0.1876532,1.1784,0.11933,0.22113053087999998,False
HOXA13,0.17063837,1.2664,0.10269,0.216096431768,False
ANKRD1,0.06577032,3.2852,0.00050953,0.216068655264,False
OR2T35,0.1922236,1.0966,0.1364,0.21079239976,False
GSX2,0.041709904,4.7546,9.9424e-07,0.1983139095584,False
RLN1,0.13116327,1.4686,0.070966,0.192626378322,False
CYP17A1,0.026966533,7.0952,6.4587e-13,0.1913329449416,False
RSPO3,0.07420182,2.184,0.014483,0.16205677488,False
SPATA19,0.03562877,4.2082,1.2871e-05,0.14993298991399998,False
OR4D2,0.21874589,0.61709,0.26859,0.13498590126010002,False
PROM1,0.06896613,1.9355,0.026466,0.133483944615,False
NOS1,0.027634611,4.6558,1.6139e-06,0.1286612218938,False
CHRNA3,0.016575316,7.1477,4.4131e-13,0.1184753861732,True
FAM220A,0.09103617,1.1934,0.11635,0.108642565278,False
NXPH1,0.024747308,4.1152,1.9341e-05,0.1018401218816,False
KLF5,0.049957845,2.0293,0.021214,0.1013794548585,False
SPATS2L,0.014537389,6.9331,2.058e-12,0.10078917167589999,False
DKK1,0.025006961,3.9603,3.7428e-05,0.09903506764830002,True
EGF,0.032955058,2.9388,0.0016476,0.09684832445040001,False
C8orf87,0.029887607,3.2161,0.00064973,0.0961215328727,False
TPH2,0.027428126,3.4988,0.00023368,0.0959655272488,True
CALB1,0.05896992,1.6213,0.052476,0.095607931296,False
OR2A5,0.038645197,2.4661,0.0068294,0.0953029203217,False
CHTF8,0.02982811,3.1422,0.00083852,0.093725887242,False
CACNA1G,0.030114163,3.1041,0.00095428,0.09347737336829999,False
NMU,0.055101823,1.6958,0.044963,0.0934416714434,False
HCN1,0.013335516,6.9862,1.4126e-12,0.0931645818792,True
SPOCK3,0.018692195,4.9685,3.3729e-07,0.0928721708575,True
RBMS3,0.016631966,5.5807,1.1975e-08,0.09281801265620002,True
SYNDIG1L,0.032070328,2.8852,0.0019556,0.09252931034560001,False
GNAT2,0.054149173,1.7077,0.043845,0.09247054273210001,False
TECTB,0.06916022,1.3243,0.092706,0.09158887934599999,False
RBP3,0.083536915,1.0875,0.13842,0.0908463950625,False
URAD,0.055283412,1.6422,0.050276,0.0907864191864,False
F2,0.0129422685,6.9543,1.772e-12,0.09000441782955,False
CD274,0.03684496,2.4401,0.0073419,0.08990538689600001,False
BCL11B,0.013738332,6.5211,3.489e-11,0.0895890368052,True
PDCL2,0.055356048,1.6183,0.052796,0.0895826924784,False
MYBPC3,0.030931896,2.8395,0.002259,0.087831118692,False
DLX1,0.015914397,5.4558,2.4377e-08,0.0868257671526,True
TEDDM1,0.047946896,1.7968,0.036182,0.0861509827328,False
CCDC63,0.023994042,3.5856,0.00016818,0.0860330369952,False
HIST2H2AB,0.047178872,1.7864,0.03702,0.08428033694079999,False
FURIN,0.010846004,7.7496,4.6074e-15,0.0840521925984,True
DEPDC1,0.03266788,2.5593,0.0052442,0.083606905284,False
PCDHA3,0.01495645,5.5012,1.8863e-08,0.08227842274,True
EYS,0.015774168,5.2061,9.6434e-08,0.08212189602480001,False
NXPH2,0.032012247,2.5478,0.0054205,0.0815608029066,False
TCF4,0.009666558,8.4365,1.6346e-17,0.081551916567,True
ZNF536,0.01602459,5.0807,1.8799e-07,0.081416134413,True
LHFPL3,0.024433414,3.3166,0.00045561,0.0810358608724,True
QPCT,0.015272708,5.3033,5.6851e-08,0.0809957523364,True
EMB,0.01716955,4.7125,1.2233e-06,0.080911504375,False
BCL11A,0.018582849,4.3197,7.8133e-06,0.0802723328253,False
NMB,0.012647362,6.3049,1.442e-10,0.0797403526738,True
TRPC4,0.013451113,5.8463,2.5131e-09,0.07863924193190001,False
MAD1L1,0.009471346,8.1192,2.3461e-16,0.07689975244319999,True
C12orf77,0.03900921,1.9704,0.024397,0.07686374738400001,False
PTGIS,0.013549299,5.5613,1.3385e-08,0.0753517165287,True
ANKRD13A,0.016650971,4.5022,3.3629e-06,0.0749660016362,False
CNTN4,0.013135367,5.7036,5.8647e-09,0.0749188792212,True
RBFOX1,0.01166072,6.4192,6.8502e-11,0.074852493824,False
PRL,0.0840155,0.87877,0.18976,0.07383030093500001,False
IGSF9B,0.008476373,8.6466,2.6536e-18,0.0732918067818,True
ARMS2,0.033128805,2.202,0.013832,0.07294962861,False
SLC9A2,0.040220644,1.7974,0.03614,0.0722925855256,False
CACNA1C,0.008596741,8.3922,2.3851e-17,0.0721455698202,True
CD101,0.027394222,2.6157,0.0044519,0.0716550664854,False
DLX2,0.015365878,4.6606,1.5763e-06,0.07161421100679999,True
LETM2,0.013736458,5.178,1.1211e-07,0.071127379524,True
GLT8D2,0.02156363,3.2765,0.00052553,0.070653233695,False
PCDHAC2,0.013035843,5.4012,3.3091e-08,0.07040919521160001,True
FANCL,0.011126411,6.2821,1.6697e-10,0.06989722654309999,False
TEKT2,0.014730675,4.7374,1.0825e-06,0.06978509974500001,True
GPBAR1,0.04977989,1.4016,0.080515,0.069771493824,False
DPYSL5,0.014418898,4.8293,6.85e-07,0.0696331841114,False
SOX6,0.026882622,2.5885,0.0048201,0.06958566704699999,False
PPP1R13B,0.0097450875,7.0888,6.7635e-13,0.06908097627,True
ZNF408,0.010515636,6.5298,3.2925e-11,0.0686649999528,False
MRGPRX3,0.044825137,1.5239,0.063772,0.06830902627430001,False
PENK,0.045908824,1.4823,0.069127,0.0680506498152,False
KIRREL3,0.01698499,3.9791,3.4584e-05,0.06758497370899999,False
SERINC4,0.014411229,4.6648,1.5444e-06,0.0672255010392,False
SEMA3A,0.017356161,3.8572,5.7355e-05,0.0669461842092,False
LMO7DN,0.048283238,1.3754,0.084504,0.06640876554519999,False
EPO,0.015954921,4.1379,1.7523e-05,0.0660198676059,False
RAB3C,0.014976742,4.3695,6.226e-06,0.065440874169,False
COL7A1,0.023519024,2.7815,0.0027057,0.065418165256,False
ELFN1,0.032836616,1.9865,0.023487,0.065229937684,False
KCTD13,0.009187328,7.0317,1.0204e-12,0.0646025342976,True
ZNF385D,0.014612456,4.4203,4.9276e-06,0.0645914392568,False
SULT6B1,0.015536877,4.1468,1.6858e-05,0.0644283215436,False
RGS6,0.013731819,4.6779,1.4491e-06,0.0642360761001,True
SHISA6,0.023433529,2.7381,0.0030901,0.06416334575490001,False
SOX1,0.03169001,2.0247,0.021448,0.064162763247,False
FLT3,0.035040908,1.8233,0.034131,0.06389008755640001,False
TAC1,0.06324196,1.008,0.15673,0.06374789568,False
PITPNM2,0.009162292,6.9347,2.0361e-12,0.0635377463324,True
MSGN1,0.021877289,2.8982,0.0018767,0.06340475897980001,False
GPD1,0.015181313,4.173,1.5031e-05,0.063351619149,False
SUGP1,0.009132543,6.9237,2.2001e-12,0.0632309879691,True
HIRIP3,0.008509267,7.4121,6.2172e-14,0.06307153793069999,True
AS3MT,0.010318294,6.1094,5e-10,0.0630385853636,False
KCNS3,0.012905444,4.8609,5.8441e-07,0.0627320727396,False
ITGA9,0.019164126,3.2727,0.0005326,0.0627184351602,False
CASP6,0.02629817,2.3633,0.0090569,0.062150465161,False
PPP1R16B,0.0072158384,8.5995,4.0048e-18,0.0620526023208,True
SLC16A10,0.013490123,4.5654,2.493e-06,0.061587807544200006,False
TMEM81,0.017733075,3.4344,0.00029689,0.06090247278000001,False
KCNB1,0.010171901,5.9848,1.0835e-09,0.0608767931048,True
PRMT1,0.00949742,6.4076,7.3933e-11,0.060855668392000004,True
KRTAP5-2,0.018955836,3.1631,0.00078047,0.0599592048516,False
C1orf189,0.022773957,2.6302,0.0042665,0.0599000617014,False
PKIB,0.021408323,2.7976,0.0025745,0.0598919244248,False
PTPRT,0.014044001,4.2581,1.0311e-05,0.0598007606581,True
PCLO,0.011968456,4.99,3.0189e-07,0.059722595440000005,False
GATAD2A,0.009736077,6.1094,5e-10,0.059481588823799995,True
TNNI3,0.019935451,2.983,0.001427,0.059467450333,False
NEK4,0.008817374,6.7421,7.8031e-12,0.05944761724539999,True
LRP8,0.022042813,2.6798,0.003683,0.05907033027740001,False
CTSW,0.024619438,2.3993,0.0082126,0.05906941759340001,False
CYP2D6,0.009235522,6.3878,8.4132e-11,0.0589946674316,False
LRRC4,0.011974688,4.9211,4.3038e-07,0.058928637116800006,False
IL17F,0.039150566,1.4974,0.067144,0.0586240575284,False
PRR12,0.010754596,5.4449,2.5915e-08,0.0585576997604,True
MYO5B,0.038992632,1.5017,0.066583,0.0585552354744,False
