supertype,beta,se,t_stat,p_value,n_genes,p_bonferroni,p_fdr
Lamp5_5,9.767772952833427,1.5020995755982942,6.502746629791751,4.0521919153491126e-11,17160,5.551502924028284e-09,5.551502924028284e-09
Pax6_4,5.234487001690417,1.0302073529839717,5.081003340277904,1.8969410020552857e-07,17160,2.5988091728157414e-05,1.2994045864078707e-05
Sst_2,6.575553763377875,1.3619084164457764,4.828190856282645,6.948314396071353e-07,17160,9.519190722617754e-05,2.8823306034930773e-05
Pvalb_6,5.445677036639656,1.1389888168627913,4.78115057498029,8.78704977003153e-07,17160,0.00012038258184943196,2.8823306034930773e-05
Lamp5_1,5.677635306896656,1.2011053589084566,4.727008554900122,1.1483054797034598e-06,17160,0.00015731785071937399,2.8823306034930773e-05
Pax6_2,4.032618994904708,0.8565978943638293,4.707715278590101,1.2623345708728806e-06,17160,0.00017293983620958464,2.8823306034930773e-05
Sst_20,6.120106516513765,1.4200555105210202,4.309765689559763,8.216898559787467e-06,17160,0.001125715102690883,0.0001608164432415547
Vip_1,3.9485582675443682,0.9365552476415313,4.216044144205883,1.2494929838124946e-05,17160,0.0017118053878231176,0.0002139756734778897
Sncg_3,3.5001937244644554,0.884440496010232,3.9575231349695708,3.801797653291139e-05,17160,0.0052084627850088605,0.0005133437526256532
Pax6_3,3.7670770930632114,0.9556235780992969,3.9420093637243663,4.0561219121215686e-05,17160,0.005556887019606549,0.0005133437526256532
Pvalb_12,4.936290453510455,1.25345219409864,3.938156139301468,4.121738159768018e-05,17160,0.005646781278882185,0.0005133437526256532
Sst Chodl_2,3.6448922665824544,0.9542876878037457,3.819489985217168,6.709941671467767e-05,17160,0.009192620089910841,0.0007660516741592367
Pvalb_3,5.497087894014978,1.4884591813205694,3.693139834132321,0.00011109470210524108,17160,0.015219974188418028,0.0011707672452629253
Pvalb_13,3.4152127469486904,0.9455940116711873,3.611711479552249,0.0001525254655848629,17160,0.02089598878512622,0.0014925706275090156
Sst_11,4.104587102155942,1.1859136859417334,3.4611179133972905,0.00026962317586998186,17160,0.036938375094187514,0.002462558339612501
Vip_16,4.176982762125939,1.2237557805816126,3.4132486468343792,0.00032170839712586385,17160,0.04407405040624335,0.0026909715234336652
Vip_13,3.3214071502347093,0.9760005477246478,3.4030791867667625,0.0003339161744406738,17160,0.04574651589837231,0.0026909715234336652
Sncg_6,3.28337913478044,0.9784519213191616,3.3556877586317637,0.0003966981478148446,17160,0.05434764625063371,0.0030193136805907613
Sst_1,2.3520748556156064,0.7191431148330663,3.2706631087771596,0.0005375364076581901,17160,0.07364248784917204,0.003875920413114318
L6 IT_2,1.7335945748048989,0.5450793815459922,3.180444231605233,0.0007365551569735729,17160,0.10090805650537948,0.005045402825268975
Lamp5_6,3.8067700397123625,1.215615381654546,3.1315579723341895,0.0008708681914266769,17160,0.11930894222545474,0.005498796409914479
Pax6_1,2.9713615815092123,0.9500802091960078,3.1274849773196367,0.0008830184015921061,17160,0.12097352101811853,0.005498796409914479
Lamp5_4,3.07594925721501,0.9934779913591679,3.096142324206732,0.0009818610154693763,17160,0.13451495911930456,0.005848476483448025
Chandelier_1,3.2023046695233837,1.0433370314665107,3.069290720968886,0.001074513059459381,17160,0.1472082891459352,0.006133678714413966
Pvalb_5,2.368612875401426,0.7843941643907234,3.0196717198186214,0.0012671046412365827,17160,0.17359333584941183,0.006943733433976473
Vip_2,2.219568390276831,0.7517904978594576,2.9523762226265395,0.0015788279569278751,17160,0.2162994300991189,0.008319208849966111
Pvalb_10,4.2046197521607,1.4580559361733714,2.883716356723331,0.0019675063398223447,17160,0.2695483685556612,0.00974409724590727
L2/3 IT_2,2.9519655104730327,1.0250250979932207,2.8798958349920873,0.001991494327630683,17160,0.27283472288540356,0.00974409724590727
Vip_18,2.494992764349302,0.8720008651201311,2.861227395692526,0.0021125715648632193,17160,0.28942230438626104,0.00998007946159521
Sst_3,2.324441748208561,0.8397291120990242,2.7680852250058154,0.002822359091402271,17160,0.38666319552211115,0.012655948096492975
Pvalb_8,2.9437680405537163,1.0698183241159638,2.75165228917375,0.0029678843502835006,17160,0.4066001559888396,0.012655948096492975
Vip_21,2.430425112158473,0.8844218662696636,2.7480382437960067,0.0030007826728249976,17160,0.41110722617702466,0.012655948096492975
L4 IT_3,2.5790434418469177,0.9402760332367527,2.742857789290838,0.003048513045140644,17160,0.4176462871842682,0.012655948096492975
Vip_15,2.4556237312246867,0.9111835464208724,2.6949825212169083,0.0035230447892663497,17160,0.4826571361294899,0.014195798121455586
Vip_14,2.0930711687636823,0.7950752902356177,2.63254460862871,0.004241190546744322,17160,0.5810431049039722,0.016601231568684916
Pvalb_1,2.1400509887067196,0.8409151493894049,2.544907164843715,0.005469680171745317,17160,0.7493461835291084,0.020815171764697455
