gene,n_types,types_list
CACNA1C,17,"L2/3 IT_2, L4 IT_3, L6 IT_2, Lamp5_5, Pax6_2, Pax6_3, Pax6_4, Pvalb_12, Pvalb_13, Pvalb_5, Pvalb_6, Sncg_3, Sst Chodl_2, Sst_1, Sst_2, Sst_20, Vip_1"
HIRIP3,15,"L4 IT_3, Lamp5_1, Lamp5_5, Pax6_2, Pax6_4, Pvalb_12, Pvalb_13, Pvalb_5, Pvalb_6, Sncg_3, Sst Chodl_2, Sst_1, Sst_2, Sst_20, Vip_1"
TCF4,14,"Lamp5_1, Lamp5_5, Pax6_3, Pax6_4, Pvalb_12, Pvalb_13, Pvalb_5, Pvalb_6, Sncg_3, Sst Chodl_2, Sst_1, Sst_2, Sst_20, Vip_1"
GLT8D1,14,"L2/3 IT_2, L4 IT_3, L6 IT_2, Lamp5_5, Pax6_2, Pax6_3, Pvalb_12, Pvalb_13, Pvalb_5, Pvalb_6, Sncg_3, Sst Chodl_2, Sst_1, Vip_1"
SLC32A1,14,"Lamp5_1, Lamp5_5, Pax6_2, Pax6_3, Pax6_4, Pvalb_12, Pvalb_13, Pvalb_5, Pvalb_6, Sncg_3, Sst Chodl_2, Sst_1, Sst_2, Vip_1"
ERBB4,13,"Lamp5_1, Lamp5_5, Pax6_2, Pax6_3, Pax6_4, Pvalb_12, Pvalb_13, Pvalb_5, Pvalb_6, Sncg_3, Sst_1, Sst_2, Vip_1"
NDUFA13,13,"L2/3 IT_2, L4 IT_3, Lamp5_1, Lamp5_5, Pax6_2, Pax6_3, Pax6_4, Pvalb_13, Pvalb_5, Pvalb_6, Sst_1, Sst_2, Vip_1"
PLCH2,12,"L2/3 IT_2, L4 IT_3, L6 IT_2, Lamp5_1, Lamp5_5, Pvalb_12, Pvalb_13, Pvalb_5, Pvalb_6, Sncg_3, Sst_1, Sst_2"
HCN1,12,"L2/3 IT_2, L4 IT_3, L6 IT_2, Lamp5_1, Lamp5_5, Pvalb_12, Pvalb_13, Pvalb_5, Pvalb_6, Sst Chodl_2, Sst_2, Sst_20"
C12orf65,12,"L4 IT_3, Lamp5_1, Lamp5_5, Pax6_4, Pvalb_12, Pvalb_13, Pvalb_5, Pvalb_6, Sst Chodl_2, Sst_1, Sst_20, Vip_1"
PPP1R13B,12,"L4 IT_3, L6 IT_2, Pax6_3, Pax6_4, Pvalb_12, Pvalb_13, Pvalb_5, Pvalb_6, Sncg_3, Sst Chodl_2, Sst_2, Sst_20"
RBMS3,12,"Lamp5_1, Lamp5_5, Pax6_2, Pax6_3, Pax6_4, Pvalb_12, Pvalb_13, Pvalb_6, Sst Chodl_2, Sst_1, Sst_2, Sst_20"
