gene,spearman_rho,pval,pval_fdr,abs_rho,is_scz_gwas,magma_zstat,spredixcan_z,spredixcan_fdr,lead_snp_beta,signed_magma_z,direction_source
KIRREL3,-0.9566563467492261,5.465780663610634e-10,1.7736458253416507e-05,0.9566563467492261,False,3.9791,-1.8248262905927863,0.1249509587998943,-0.0396039865931634,-1.8248262905927863,spredixcan
TOX2,-0.9525283797729618,1.116959031617614e-09,1.812266028799579e-05,0.9525283797729618,False,1.9472,-0.322146463234623,0.8166701874723583,-0.0307994715535284,-0.322146463234623,spredixcan
SWAP70,0.9484004127966976,2.1480359544265577e-09,2.3234588907047268e-05,0.9484004127966976,False,0.13157,2.372902920096053,0.0404445637504483,-0.0842950694954015,2.372902920096053,spredixcan
CLMP,0.9401444788441692,6.859458095524689e-09,5.5647353799944044e-05,0.9401444788441692,False,-1.2293,,,-0.0793029813385367,-1.2293,lead_snp
NT5DC3,0.9380804953560371,8.937494398264196e-09,5.800433864473463e-05,0.9380804953560371,False,3.6143,0.9107712123903025,0.4775576725626451,0.0799011591944847,0.9107712123903025,spredixcan
TARS,-0.9360165118679051,1.154188499143572e-08,6.242236132868153e-05,0.9360165118679051,False,0.14614,2.2077244753029883,0.0583345360428623,0.0301993737308422,2.2077244753029883,spredixcan
RAB8B,0.9277605779153767,2.9679222772500773e-08,0.00013758439699537858,0.9277605779153767,False,3.1751,4.799413557044196,9.645215940910185e-06,0.031799009548949,4.799413557044196,spredixcan
AASDH,-0.9256965944272446,3.693628376972725e-08,0.0001482464195068301,0.9256965944272446,False,1.8401,-5.61541623063791,1.6565194960479193e-07,-0.150601983903515,-5.61541623063791,spredixcan
AC025265.1,0.9236326109391124,4.5684566874215746e-08,0.0001482464195068301,0.9236326109391124,False,,,,,,none
NLGN4Y,-0.9236326109391124,4.5684566874215746e-08,0.0001482464195068301,0.9236326109391124,False,,,,,,none
SMARCA2,-0.9215686274509803,5.6175186119532586e-08,0.0001592196970658064,0.9215686274509803,False,0.55318,,,-0.0319035490130083,-0.55318,lead_snp
ERC1,-0.9195046439628484,6.869262739356825e-08,0.0001592196970658064,0.9195046439628484,False,1.4006,,,-0.132400603636017,-1.4006,lead_snp
LINC01122,-0.9195046439628484,6.869262739356825e-08,0.0001592196970658064,0.9195046439628484,False,,,,,,none
CALB1,-0.9195046439628484,6.869262739356825e-08,0.0001592196970658064,0.9195046439628484,False,1.6213,-0.684616933969871,0.6013585190213082,-0.0669948688242784,-0.684616933969871,spredixcan
AK3,-0.9174406604747163,8.355803529821189e-08,0.00015949754384864562,0.9174406604747163,False,-0.072107,-1.5176210550734688,0.2109985540021283,-0.150904288396202,-1.5176210550734688,spredixcan
