gene,gwas_zstat,gwas_p,upper_sst_spec,deep_sst_spec,total_sst_spec,upper_fraction,upper_gwas_score,is_scz_gwas
TFAP2B,3.7127,0.00010252,0.8256062,0.0,0.8256062,1.0,3.0652281387399998,False
KRTAP11-1,2.2735,0.011498,0.63634336,0.0,0.63634336,1.0,1.44672662896,False
SPPL2C,5.7104,5.634e-09,0.22328462,0.047801472,0.2825880115,0.7901418705442852,1.275044494048,False
CHRNA3,7.1477,4.4131e-13,0.16545167009999998,0.320268412,0.6769858770999999,0.24439456670609472,1.18259890237377,True
TSPAN2,4.0789,2.262e-05,0.268368331,0.12055810789999999,0.43746800590000007,0.6134581898118185,1.0946475853159001,False
MSR1,3.8014,7.1938e-05,0.28735227680000003,0.03826088623,0.32982806333000003,0.8712183975458083,1.09234094502752,False
BARX1,2.1572,0.015494,0.48172063,0.0,0.48172063,1.0,1.039167743036,False
NGF,5.2015,9.8853e-08,0.189916738,0.08084072333999999,0.28603878134000005,0.6639545068340067,0.987851912707,False
TPH2,3.4988,0.00023368,0.2749615355,0.2003337828,0.5110291533000001,0.5380544998742638,0.9620354204074001,True
MCOLN2,1.6108,0.053606,0.5674036106,0.0239731712,0.5931680372000001,0.9565647085071898,0.91397373595448,False
RXFP4,2.5913,0.0047813,0.3357842,0.0,0.3357842,1.0,0.87011759746,False
RLN1,1.4686,0.070966,0.5868870079999999,0.001946486,0.72725828,0.8069856667702703,0.8619022599487999,False
FEZF1,2.7343,0.0031258,0.297792795,0.0,0.297792795,1.0,0.8142548393685001,False
OR2K2,1.8245,0.034038,0.41479624000000004,0.0,0.41479624000000004,1.0,0.75679573988,False
KLRG2,2.5908,0.0047879,0.29113173919999996,0.0332799587,0.32798170289999995,0.8876462821731389,0.75426410991936,False
CALB1,1.6213,0.052476,0.44649273899999997,0.01232498045,0.49404690495000003,0.9037456454568564,0.7238986777406999,False
TSSK2,1.8953,0.029025,0.38039422,0.0,0.38039422,1.0,0.720961165166,False
NOS1,4.6558,1.6139e-06,0.14571192099999997,0.0764645765,0.3982260574999999,0.3659025276114685,0.6784055617917999,False
TGM7,5.1398,1.3754e-07,0.131076061,0.032380317,0.32450964000000004,0.40392039201054236,0.6737047383278,False
NXPH1,4.1152,1.9341e-05,0.163350836,0.19287184400000001,0.38910446500000007,0.4198122887127496,0.6722213603071999,False
BCL11B,6.5211,3.489e-11,0.101586095,0.0653827406,0.19847286710000003,0.5118387036189491,0.6624530841045,True
RSPO3,2.184,0.014483,0.29796587099999994,0.1535092318,0.5245547688,0.5680357680888936,0.6507574622639999,False
CACNA1I,7.5912,1.5844e-14,0.0847788963,0.023208817,0.13885220129999998,0.610569335640774,0.64357355759256,True
NXPH2,2.5478,0.0054205,0.24203856999999998,0.04125385724,0.34557697324000003,0.7003897503087002,0.6166658686459999,False
FURIN,7.7496,4.6074e-15,0.0791946645,0.0645476116,0.1576180226,0.5024467582681119,0.6137269720092,True
TRPC4,5.8463,2.5131e-09,0.104540511,0.07223829,0.19855685369999998,0.5265016495373688,0.6111751894593,False
PENK,1.4823,0.069127,0.4060299442,0.04683230551,0.47381465391,0.8569383425551976,0.60185818628766,False
HCN1,6.9862,1.4126e-12,0.08557668749999998,0.0698551046,0.17091121310000001,0.5007084435702246,0.5978558542124999,True
KRTAP21-1,1.1105,0.1334,0.537561,0.0,0.537561,1.0,0.5969614905,False
EPO,4.1379,1.7523e-05,0.141969538,0.0921420017,0.2440594887,0.5817005466831497,0.5874557512902,False
TM6SF2,6.7792,6.0442e-12,0.085558161,0.08707951779999999,0.19237150579999998,0.44475485412559473,0.5800158850511999,False
RLN2,1.4661,0.071306,0.39455915099999994,0.006588229,0.473152378,0.8338944689822524,0.5784631712810999,False
