gene,spearman_rho,pval,n_expressing,pval_fdr,abs_rho
RALYL,0.5855035776325496,1.0831820143074976e-13,117,2.634406976997265e-09,0.5855035776325496
SAMD5,0.5680367873971667,8.182637657256246e-13,102,9.346969568402471e-09,0.5680367873971667
CTNNA2,0.5649699620761904,1.1529504833356938e-12,131,9.346969568402471e-09,0.5649699620761904
GRM1,0.5497200317098189,6.0265121731714175e-12,118,3.664270064092551e-08,0.5497200317098189
ARNT2,0.5347011207093373,2.8369367462701907e-11,122,1.3799427721207461e-07,0.5347011207093373
CNTNAP2,0.5252260003241936,7.253482222642566e-11,133,2.9401990189481645e-07,0.5252260003241936
CACNA2D1,0.5102360669132803,3.0225696376777243e-10,120,1.050170230827999e-06,0.5102360669132803
ENOX1,0.5052199776473263,4.799033986009791e-10,124,1.4589663196718016e-06,0.5052199776473263
TRHDE,0.4975329389893368,9.607197263643783e-10,120,2.596184940545338e-06,0.4975329389893368
NCALD,0.4919933448185731,1.567631630621864e-09,104,3.8126368888354355e-06,0.4919933448185731
KCNB2,0.48872632489506956,2.083956262567322e-09,103,4.6076272965363485e-06,0.48872632489506956
DPP6,0.48666435574293637,2.490350626302817e-09,131,5.047318131859234e-06,0.48666435574293637
PAWR,0.4823848508004049,3.5909951565437388e-09,117,6.71819947710002e-06,0.4823848508004049
GABRG3,0.48133441381802783,3.925532225071858e-09,112,6.819490660426618e-06,0.48133441381802783
CELF4,0.4792852778712952,4.666446124051158e-09,133,7.566175745536549e-06,0.4792852778712952
GALNTL6,0.4770448989106686,5.630132976299613e-09,119,8.55815400728643e-06,0.4770448989106686
GPM6B,0.4700662759868287,1.0017590024931565e-08,128,1.433163570566827e-05,0.4700662759868287
CDH13,0.46904574870010857,1.0886567768041587e-08,134,1.4709567482585524e-05,0.46904574870010857
KIRREL3,-0.46776082578959866,1.2084002507460982e-08,96,1.546815920968203e-05,0.46776082578959866
ZMAT4,0.46529109302911964,1.4750167205207087e-08,96,1.7176286432090617e-05,0.46529109302911964
CHL1,0.4652232111976435,1.4830887507664281e-08,123,1.7176286432090617e-05,0.4652232111976435
SASH1,0.46266103502343114,1.8207628345365237e-08,125,2.012853313580127e-05,0.46266103502343114
VWC2,-0.46145095908697875,2.004812446861622e-08,71,2.1199584139183264e-05,0.46145095908697875
GRIK2,0.46048434761279305,2.1645300817002403e-08,131,2.1934806715429813e-05,0.46048434761279305
ST6GALNAC5,0.45959773044127605,2.3217099592662234e-08,108,2.2586523167725528e-05,0.45959773044127605
FBXL2,0.4570085134426585,2.8459149779746865e-08,112,2.6621345453585518e-05,0.4570085134426585
DCC,0.4550944237476382,3.304549139707669e-08,115,2.8166615899111555e-05,0.4550944237476382
PLCH1,0.45494963882237166,3.341984615015419e-08,120,2.8166615899111555e-05,0.45494963882237166
CLMP,0.454886083492129,3.358545541195819e-08,88,2.8166615899111555e-05,0.454886083492129
SEL1L3,0.4519527630739035,4.214631143454564e-08,105,3.416801467998615e-05,0.4519527630739035
NPAS3,0.4505997656152186,4.6766105354619674e-08,130,3.669027252676468e-05,0.4505997656152186
ITPR2,-0.449334424606534,5.1522785916476975e-08,119,3.915892738358239e-05,0.449334424606534
KCNJ6,0.437824980531242,1.221539631318081e-07,107,9.002747082814257e-05,0.437824980531242
ANK2,0.43693367365421765,1.3042689859421675e-07,132,9.097365106020908e-05,0.43693367365421765
CALB1,-0.4368823882885913,1.3091886793747452e-07,67,9.097365106020908e-05,0.4368823882885913
BICD1,0.43551570890215646,1.4470230292198753e-07,128,9.775846414904607e-05,0.43551570890215646
DYNC1I1,0.4340473387195171,1.610538386968902e-07,124,0.00010586460570127207,0.4340473387195171
PPP2R2B,0.4291530183085648,2.2928354960993573e-07,132,0.0001432900066150135,0.4291530183085648
PHTF2,0.42896642943599755,2.3236646748115778e-07,124,0.0001432900066150135,0.42896642943599755
KIRREL3-AS2,-0.42870934100156316,2.3667912619251585e-07,38,0.0001432900066150135,0.42870934100156316
TLN2,0.4284239375802989,2.415562793970459e-07,131,0.0001432900066150135,0.4284239375802989
PNOC,0.4279838878329633,2.492646504386726e-07,112,0.00014434203722187992,0.4279838878329633
SLC24A4,-0.42713081564138156,2.648820508014038e-07,85,0.00014981851994281262,0.42713081564138156
TAP1,-0.4243974857269751,3.2146072620413357e-07,69,0.00017280177445489771,0.4243974857269751
SHISA6,0.42417902572396027,3.2644927238116786e-07,122,0.00017280177445489771,0.42417902572396027
SORBS1,0.4241623960398509,3.2683202273448027e-07,133,0.00017280177445489771,0.4241623960398509
ITGB5,-0.42262347443588993,3.641668119804617e-07,106,0.00018844470285482573,0.42262347443588993
VAT1L,0.42175677453391647,3.869492937117197e-07,111,0.00019606237025755698,0.42175677453391647
BAIAP2L1,0.4214172668720561,3.962391509824427e-07,99,0.00019667208961314262,0.4214172668720561
LOC105369560,-0.4193172891881621,4.586031084673779e-07,35,0.00022307372402070196,0.4193172891881621
KLF3-AS1,-0.41769528844662884,5.130672500955058e-07,72,0.0002438642150829721,0.41769528844662884
SLC35F4,0.41738900729812817,5.240210110355871e-07,97,0.0002438642150829721,0.41738900729812817
WDR77,-0.41718540186881314,5.314256568149962e-07,69,0.0002438642150829721,0.41718540186881314
ASTN2,0.4161550163669237,5.70453284798042e-07,130,0.00025692582110320704,0.4161550163669237
CACNA2D3,0.41332142955628026,6.923608847771399e-07,131,0.00030134309378894404,0.41332142955628026
PAM,0.4132897740602125,6.938535936919069e-07,129,0.00030134309378894404,0.4132897740602125
ROBO1,0.40792777964812527,9.961441624390203e-07,134,0.0004202658073321874,0.40792777964812527
KCNC2,0.40783655612236397,1.0022374419335911e-06,127,0.0004202658073321874,0.40783655612236397
CDH12,-0.40638339207747787,1.1042154862698679e-06,123,0.00045518008206049925,0.40638339207747787
ICA1L,0.40510915748621545,1.20168979853616e-06,121,0.00048710495983663246,0.40510915748621545
BRINP3,0.40459636618771766,1.2431807189721608e-06,79,0.0004956622666577365,0.40459636618771766
SYNDIG1,-0.4042778192970158,1.2696370942924997e-06,112,0.0004980458672627078,0.4042778192970158
RIN2,-0.4031032343178382,1.3718914339797102e-06,121,0.0005198696334508686,0.4031032343178382
MPPED2,0.4030107466982822,1.3802671232098994e-06,84,0.0005198696334508686,0.4030107466982822
FLRT2,0.40282080745523363,1.3976207118807775e-06,97,0.0005198696334508686,0.40282080745523363
EPB41L4A,0.4026783463884926,1.4107724109928592e-06,114,0.0005198696334508686,0.4026783463884926
RRAS2,0.40192042406242234,1.4827432301167928e-06,76,0.0005382357925323958,0.40192042406242234
LOC101929617,-0.40115630342097214,1.558826638868013e-06,48,0.0005575326865280727,0.40115630342097214
GALNT14,0.4006108081507524,1.6153955911325247e-06,111,0.0005670375145070135,0.4006108081507524
SDC2,-0.40045384470443945,1.632031002651657e-06,105,0.0005670375145070135,0.40045384470443945
NPAS1,0.39741566213069046,1.9879555863781467e-06,111,0.0006809727861451114,0.39741566213069046
B2M,-0.39521440416962805,2.2906328182636953e-06,133,0.0007737566774026573,0.39521440416962805
