Subject,488 Channel,568 Channel,Area (um^2),Layer
656 - L - 1,23,0,27114360,2/3/2019
656 - L - 2,24,0,,2/3/2019
656 - L - 3,30,0,,2/3/2019
656 - L - 4,19,0,,2/3/2019
656 - L - 5,14,0,,2/3/2019
656 - L - 6,17,0,,2/3/2019
656 - L - 7,19,0,,2/3/2019
656 - L - 8,22,0,,2/3/2019
656 - L - 9,20,0,,2/3/2019
656 - L - 10,18,0,,2/3/2019
656 - L - 11,22,0,,5/6/2019
656 - L - 12,1,0,,5/6/2019
656 - L - 13,25,0,,5/6/2019
656 - L - 14,22,0,,5/6/2019
656 - L - 15,30,0,,5/6/2019
656 - L - 16,6,0,,5/6/2019
656 - L - 17,22,0,,5/6/2019
656 - L - 18,10,0,,5/6/2019
656 - L - 19,17,0,,5/6/2019
656 - L - 20,20,0,,5/6/2019
656 - R - 1,9,0,26546689,2/3/2019
656 - R - 2,10,1,,2/3/2019
656 - R - 3,11,2,,2/3/2019
656 - R - 4,3,2,,2/3/2019
656 - R - 5,4,0,,2/3/2019
656 - R - 6,9,2,,2/3/2019
656 - R - 7,4,1,,2/3/2019
656 - R - 8,5,0,,2/3/2019
656 - R - 9,2,0,,2/3/2019
656 - R - 10,7,2,,2/3/2019
656 - R - 11,4,1,,5/6/2019
656 - R - 12,3,0,,5/6/2019
656 - R - 13,9,0,,5/6/2019
656 - R - 14,1,0,,5/6/2019
656 - R - 15,3,0,,5/6/2019
656 - R - 16,0,0,,5/6/2019
656 - R - 17,0,0,,5/6/2019
656 - R - 18,1,1,,5/6/2019
656 - R - 19,0,0,,5/6/2019
656 - R - 20,0,0,,5/6/2019
668 - L - 1,17,1,34595483,2/3/2019
668 - L - 2,16,0,,2/3/2019
668 - L - 3,20,0,,2/3/2019
668 - L - 4,9,1,,2/3/2019
668 - L - 5,28,0,,2/3/2019
668 - L - 6,10,1,,2/3/2019
668 - L - 7,7,1,,2/3/2019
668 - L - 8,12,0,,2/3/2019
668 - L - 9,12,0,,2/3/2019
668 - L - 10,14,2,,2/3/2019
668 - L - 11,18,0,,5/6/2019
668 - L - 12,28,2,,5/6/2019
668 - L - 13,14,0,,5/6/2019
668 - L - 14,18,1,,5/6/2019
668 - L - 15,23,1,,5/6/2019
668 - L - 16,23,0,,5/6/2019
668 - L - 17,23,1,,5/6/2019
668 - L - 18,15,1,,5/6/2019
668 - L - 19,34,1,,5/6/2019
668 - L - 20,29,3,,5/6/2019
668 - R - 1,5,0,36978552,2/3/2019
668 - R - 2,8,4,,2/3/2019
668 - R - 3,5,6,,2/3/2019
668 - R - 4,5,2,,2/3/2019
668 - R - 5,6,1,,2/3/2019
668 - R - 6,3,1,,2/3/2019
668 - R - 7,5,3,,2/3/2019
668 - R - 8,2,2,,2/3/2019
668 - R - 9,6,3,,2/3/2019
668 - R - 10,,,,
668 - R - 11,8,0,,6-May
668 - R - 12,4,0,,6-May
668 - R - 13,1,0,,6-May
668 - R - 14,4,1,,6-May
668 - R - 15,2,1,,6-May
668 - R - 16,1,1,,6-May
668 - R - 17,5,0,,6-May
668 - R - 18,0,1,,6-May
668 - R - 19,0,0,,6-May
668 - R - 20,1,0,,6-May
683 - L - 1,19,0,44326334,3-Feb
683 - L - 2,18,0,,3-Feb
683 - L - 3,28,2,,3-Feb
683 - L - 4,25,0,,3-Feb
683 - L - 5,21,2,,3-Feb
683 - L - 6,23,1,,3-Feb
683 - L - 7,27,0,,3-Feb
683 - L - 8,18,2,,3-Feb
683 - L - 9,15,0,,3-Feb
683 - L - 10,14,0,,3-Feb
683 - L - 11,25,1,,6-May
683 - L - 12,34,0,,6-May
683 - L - 13,23,0,,6-May
683 - L - 14,26,0,,6-May
683 - L - 15,31,1,,6-May
683 - L - 16,36,2,,6-May
683 - L - 17,38,0,,6-May
683 - L - 18,30,1,,6-May
683 - L - 19,28,1,,6-May
683 - L - 20,20,1,,6-May
683 - R - 1,0,1,39641654,3-Feb
683 - R - 2,1,2,,3-Feb
683 - R - 3,3,1,,3-Feb
683 - R - 4,2,2,,3-Feb
683 - R - 5,7,1,,3-Feb
683 - R - 6,7,2,,3-Feb
683 - R - 7,2,2,,3-Feb
683 - R - 8,6,1,,3-Feb
683 - R - 9,5,3,,3-Feb
683 - R - 10,1,1,,3-Feb
683 - R - 11,0,0,,6-May
683 - R - 12,0,0,,6-May
683 - R - 13,2,1,,6-May
683 - R - 14,0,0,,6-May
683 - R - 15,3,0,,6-May
683 - R - 16,3,1,,6-May
683 - R - 17,3,0,,6-May
683 - R - 18,1,0,,6-May
683 - R - 19,1,0,,6-May
683 - R - 20,3,1,,6-May
686 - L - 1,16,0,67008838,3-Feb
686 - L - 2,22,3,,3-Feb
686 - L - 3,17,0,,3-Feb
686 - L - 4,12,1,,3-Feb
686 - L - 5,11,0,,3-Feb
686 - L - 6,11,0,,3-Feb
686 - L - 7,17,0,,3-Feb
686 - L - 8,26,2,,3-Feb
686 - L - 9,31,4,,3-Feb
686 - L - 10,14,1,,3-Feb
686 - L - 11,18,0,,6-May
686 - L - 12,21,2,,6-May
686 - L - 13,27,1,,6-May
686 - L - 14,17,0,,6-May
686 - L - 15,15,0,,6-May
686 - L - 16,26,0,,6-May
686 - L - 17,23,0,,6-May
686 - L - 18,33,0,,6-May
686 - L - 19,21,1,,6-May
686 - L - 20,25,0,,6-May
686 - R - 1,2,0,62669256,3-Feb
686 - R - 2,4,0,,3-Feb
686 - R - 3,2,0,,3-Feb
686 - R - 4,10,1,,3-Feb
686 - R - 5,2,0,,3-Feb
686 - R - 6,2,0,,3-Feb
686 - R - 7,7,2,,3-Feb
686 - R - 8,1,1,,3-Feb
686 - R - 9,2,2,,3-Feb
686 - R - 10,6,2,,3-Feb
686 - R - 11,0,0,,6-May
686 - R - 12,0,0,,6-May
686 - R - 13,1,0,,6-May
686 - R - 14,0,0,,6-May
686 - R - 15,3,0,,6-May
686 - R - 16,3,0,,6-May
686 - R - 17,7,1,,6-May
686 - R - 18,9,0,,6-May
686 - R - 19,8,0,,6-May
686 - R - 20,5,1,,6-May
697 - L - 1,4,0,45817590,3-Feb
697 - L - 2,14,0,,3-Feb
697 - L - 3,15,1,,3-Feb
697 - L - 4,3,0,,3-Feb
697 - L - 5,11,0,,3-Feb
697 - L - 6,1,0,,3-Feb
697 - L - 7,12,0,,3-Feb
697 - L - 8,10,1,,3-Feb
697 - L - 9,19,0,,3-Feb
697 - L - 10,17,0,,3-Feb
697 - L - 11,25,0,,6-May
697 - L - 12,16,0,,6-May
697 - L - 13,12,0,,6-May
697 - L - 14,17,0,,6-May
697 - L - 15,21,0,,6-May
697 - L - 16,27,0,,6-May
697 - L - 17,22,1,,6-May
697 - L - 18,8,0,,6-May
697 - L - 19,4,0,,6-May
697 - L - 20,14,0,,6-May
697 - R - 1,3,0,38209717,3-Feb
697 - R - 2,2,1,,3-Feb
697 - R - 3,1,0,,3-Feb
697 - R - 4,7,5,,3-Feb
697 - R - 5,3,0,,3-Feb
697 - R - 6,1,1,,3-Feb
697 - R - 7,3,2,,3-Feb
697 - R - 8,6,0,,3-Feb
697 - R - 9,5,2,,3-Feb
697 - R - 10,9,1,,3-Feb
697 - R - 11,2,2,,6-May
697 - R - 12,6,0,,6-May
697 - R - 13,1,1,,6-May
697 - R - 14,5,0,,6-May
697 - R - 15,0,0,,6-May
697 - R - 16,3,0,,6-May
697 - R - 17,2,0,,6-May
697 - R - 18,1,1,,6-May
697 - R - 19,0,1,,6-May
697 - R - 20,2,1,,6-May
698 - L - 1,17,0,97364956,3-Feb
698 - L - 2,22,1,,3-Feb
698 - L - 3,20,0,,3-Feb
698 - L - 4,25,0,,3-Feb
698 - L - 5,15,0,,3-Feb
698 - L - 6,13,2,,3-Feb
698 - L - 7,18,1,,3-Feb
698 - L - 8,22,1,,3-Feb
698 - L - 9,19,0,,3-Feb
698 - L - 10,19,0,,3-Feb
698 - L - 11,32,0,,6-May
698 - L - 12,16,0,,6-May
698 - L - 13,15,0,,6-May
698 - L - 14,12,0,,6-May
698 - L - 15,23,0,,6-May
698 - L - 16,14,2,,6-May
698 - L - 17,20,0,,6-May
698 - L - 18,26,0,,6-May
698 - L - 19,16,0,,6-May
698 - L - 20,21,0,,6-May
698 - R - 1,,,,
698 - R - 2,,,,
698 - R - 3,,,,
698 - R - 4,,,,
698 - R - 5,,,,
698 - R - 6,,,,
698 - R - 7,,,,
698 - R - 8,,,,
698 - R - 9,,,,
698 - R - 10,,,,
698 - R - 11,,,,
698 - R - 12,,,,
698 - R - 13,,,,
698 - R - 14,,,,
698 - R - 15,,,,
698 - R - 16,,,,
698 - R - 17,,,,
698 - R - 18,,,,
698 - R - 19,,,,
698 - R - 20,,,,
716 - L - 1,2,0,34089328,3-Feb
716 - L - 2,3,0,,3-Feb
716 - L - 3,13,0,,3-Feb
716 - L - 4,15,0,,3-Feb
716 - L - 5,19,0,,3-Feb
716 - L - 6,21,0,,3-Feb
716 - L - 7,0,0,,3-Feb
716 - L - 8,25,0,,3-Feb
716 - L - 9,28,0,,3-Feb
716 - L - 10,26,0,,3-Feb
716 - L - 11,20,0,,6-May
716 - L - 12,30,0,,6-May
716 - L - 13,26,0,,6-May
716 - L - 14,30,0,,6-May
716 - L - 15,14,0,,6-May
716 - L - 16,30,0,,6-May
716 - L - 17,13,0,,6-May
716 - L - 18,36,0,,6-May
716 - L - 19,25,0,,6-May
716 - L - 20,19,0,,6-May
