cell_type,gene,detection_rate,fold_change
Sst_1,TH,0.30071813,174.47523
Sst_1,WNT16,0.30520648,37.690693
Sst_1,CPED1,0.3491921,13.194349
Sst_1,LYPD6,0.54892284,12.353347
Sst_1,PCBP3,0.6207361,9.468737
Sst_1,MAML3,0.75763017,5.937808
Sst_1,EPB41L4A,0.8653501,4.0988445
Sst_1,PTPRK,0.8837523,3.413075
Sst_1,SASH1,0.8936266,2.3731215
Sst_1,SAMD5,0.90754044,2.0399115
Sst_10,BMP3,0.3611111,14.264919
Sst_10,NR2F2,0.425731,7.647762
Sst_10,NR2F2-AS1,0.7330409,6.7085295
Sst_10,PARM1,0.7494152,3.7417066
Sst_10,EPB41L4A,0.75847954,3.666937
Sst_10,TRPM3,0.7783626,2.9654255
Sst_10,TRPC6,0.8570175,2.4419477
Sst_10,C8orf34,0.875731,2.17314
Sst_10,SAMD5,0.8885965,2.0201461
Sst_11,HTR2C,0.58056134,4.91299
Sst_11,ADAMTSL1,0.6174636,2.8786438
Sst_11,ITPR2,0.68884265,2.498823
Sst_11,FBN2,0.74289674,2.1203282
Sst_12,LINC00943,0.4688975,29.76572
Sst_12,VCAN,0.61776066,8.788621
Sst_12,MAML3,0.6692407,5.1864963
Sst_12,NDST4,0.7567568,4.6249657
Sst_12,EPB41L4A,0.76104677,3.5744202
Sst_12,SEL1L3,0.8978979,2.7315083
Sst_12,MPPED2,0.90990996,2.6197255
Sst_13,QRFPR,0.5263741,5.4653907
Sst_13,FREM1,0.7167553,2.740445
Sst_13,SGCD,0.88918436,2.4639955
Sst_13,ALCAM,0.91057175,2.118068
Sst_19,STK32A,0.61230975,9.147699
Sst_19,SYT9,0.6663799,4.267708
Sst_19,EDNRA,0.67683655,3.6416202
Sst_19,BICC1,0.7373925,2.733124
Sst_19,NKAIN3,0.7401059,2.4915242
Sst_19,TOX,0.79781604,2.3649042
Sst_19,RELN,0.93467903,2.3452613
Sst_2,PLPP4,0.26751286,7.912408
Sst_2,HPSE2,0.5723008,4.1718125
Sst_2,SEMA6D,0.74662596,2.0260053
Sst_20,MME,0.5608435,4.64237
Sst_20,TAC1,0.6514677,3.1588252
Sst_20,ITPR2,0.6528926,2.277804
Sst_20,FBN2,0.7657452,2.134663
Sst_20,SLC24A4,0.8623539,2.0426316
Sst_22,EYA2,0.8178054,8.455168
Sst_22,ADAMTSL1,0.8416149,3.6304994
Sst_22,SYNDIG1,0.8436853,3.0100446
Sst_22,ITPR2,0.8726708,2.9695506
Sst_22,SLC24A4,0.88923395,2.05277
Sst_22,CUX2,0.93581784,2.0389345
Sst_23,SEMA3D,0.3050948,8.004268
Sst_23,SNTG2,0.39958534,5.8938365
Sst_23,HTR2C,0.55687207,4.8409414
Sst_23,ANOS1,0.6587678,3.6217902
Sst_23,LUZP2,0.7396327,3.034217
Sst_23,TMEM132C,0.84019554,2.6370902
Sst_23,SH3RF3,0.8461197,2.2062092
Sst_23,CUX2,0.9142477,2.1210663
Sst_25,FREM2,0.29053995,13.761001
Sst_25,MSR1,0.6706922,9.521278
Sst_25,ANOS1,0.69519556,4.570206
Sst_25,CALB1,0.7014964,3.9537432
Sst_25,ITPR2,0.770981,3.2284627
Sst_25,TMEM132C,0.7931215,2.668485
Sst_25,VWC2,0.8935853,2.2652316
Sst_25,LINGO2,0.967358,2.129568
Sst_3,TRPC7,0.28213966,4.9921107
Sst_3,ADGRG6,0.5024172,3.6655338
Sst_3,PROM1,0.5076544,3.135269
Sst_3,TOX,0.69941807,2.1664088
Sst_4,TMEM200A,0.36794484,23.728687
Sst_4,HCRTR2,0.3860405,15.05435
Sst_4,SAMD3,0.5592417,14.886771
Sst_4,PRR16,0.84920293,8.530345
Sst_4,THSD7B,0.8862559,8.088851
Sst_4,CLMP,0.8914261,2.9200501
Sst_4,BRINP3,0.9831969,2.7859757
Sst_5,GPR149,0.37273696,13.305634
Sst_5,SAMD3,0.38525027,10.531374
Sst_5,PRR16,0.73668796,7.939795
Sst_5,THSD7B,0.7795527,7.629925
Sst_5,BRINP3,0.9534079,2.7659202
Sst_7,WNT16,0.27133211,25.937456
Sst_7,LYPD6,0.72007364,16.11906
Sst_7,THSD7B,0.7513812,6.408893
Sst_7,SHISA9,0.80662984,3.7974539
Sst_7,BRINP3,0.91774094,2.5605798
Sst_7,SAMD5,0.92817676,2.0747852
Sst_9,ALDH1A3,0.25547236,14.004543
Sst_9,BMP3,0.25604838,8.859109
Sst_9,RGS5,0.55184335,7.473895
Sst_9,NR2F2-AS1,0.76036865,7.043396
Sst_9,FREM1,0.8067396,2.8363776
