supertype,beta,se,p,k,I2,Q_p,dropped
Chandelier_1,-0.02280246837425592,0.047552398636209824,0.6315666170178256,6,0,0.8437428289057883,Batiuk
Chandelier_2,0.1560898548770992,0.07055994411246325,0.02695564201936951,6,0,0.7367064751741214,Batiuk
L2/3 IT_1,-0.039736964765757755,0.0614891082839325,0.5181213749202522,6,0.332431745294585,0.4138482933739219,Batiuk
L2/3 IT_10,-0.19778990352421724,0.08616385488408085,0.02170397178626649,6,0,0.47126621130458224,Batiuk
L2/3 IT_12,-0.06408945990600036,0.0837693767121291,0.4442297002984688,6,0,0.5233791716657795,Batiuk
L2/3 IT_13,-0.07400745523926505,0.07469320720510708,0.32177392826871926,6,0,0.7712745381662754,Batiuk
L2/3 IT_2,0.09269403490095318,0.08307561516184817,0.2645167032350142,6,0,0.6454930973690612,Batiuk
L2/3 IT_3,-0.12544546308686544,0.07491621344742377,0.09403692570090023,6,52.15518328383078,0.06343276590086688,Batiuk
L2/3 IT_5,-0.052568518028644894,0.05767287628246671,0.3620348046229554,6,0,0.9533715149675627,Batiuk
L2/3 IT_6,-0.09748746732651117,0.07726578614489642,0.20705105012441094,6,0,0.6373970971889931,Batiuk
L2/3 IT_7,0.22361748287323815,0.08989708736489693,0.01286505766656793,6,35.86232125030261,0.1678585060594258,Batiuk
L2/3 IT_8,-0.06874520527036757,0.0837769229964989,0.4118886872636243,6,39.47278313397581,0.14243878942523294,Batiuk
L4 IT_1,0.044850475925359734,0.057310645286184764,0.4338706008050106,6,30.521100709138032,0.20643669424566682,Batiuk
L4 IT_2,-0.012794075412578336,0.05018333851071416,0.7987642838060145,6,0,0.49712050980850403,Batiuk
L4 IT_3,0.044316906832458584,0.07417784012246495,0.5502127724685706,6,68.69296976136326,0.006927782425391279,Batiuk
L4 IT_4,0.029585525536188668,0.058703673418809964,0.6142748543502377,6,26.3466664915075,0.23684633514978776,Batiuk
L5 ET_1,0.16811291193175268,0.09091538936250006,0.06444136492209004,6,0,0.5252976916681669,Batiuk
L5 ET_2,0.056838957667541094,0.07582091028075295,0.45346702018197593,6,0,0.5903280312048617,Batiuk
L5 IT_1,-0.011876801258911962,0.05368511101468669,0.8249127109993358,6,0,0.9461833411457774,Batiuk
L5 IT_2,-7.255822668275215e-4,0.053827541387404934,0.9892450343909894,6,0,0.9695728308551909,Batiuk
L5 IT_3,-0.02133046909904489,0.059424038657989973,0.7196298450537066,6,0,0.4561501094663764,Batiuk
L5 IT_5,-0.07309428082094398,0.0655879426498982,0.26508750302015277,6,0,0.6526566187623033,Batiuk
L5 IT_6,0.10251780023123225,0.0715107641455724,0.15168656828482993,6,0,0.5371018578904707,Batiuk
L5 IT_7,-0.04818344213532074,0.06836251069067478,0.48092064587369865,6,37.30964595350199,0.15757946166764,Batiuk
L5/6 NP_1,0.009648939012811126,0.0659038015351463,0.8835981715446303,6,0,0.8203059761884989,Batiuk
L5/6 NP_2,0.14833574372008804,0.07819360358251709,0.05782375612494619,6,50.403134073766,0.0729646407937959,Batiuk
L5/6 NP_3,-0.0016732233455230808,0.08163443020001038,0.9836472723581253,2,0,0.5626781442230818,Batiuk
L5/6 NP_4,0.18274761404149958,0.07525257046397649,0.015163232784694449,6,78.33069753764926,3.2672862027739144e-4,Batiuk
L5/6 NP_6,0.15152824809877757,0.07596979256089306,0.046088104297988014,5,69.6411258343976,0.010448362270798442,Batiuk
L6 CT_1,0.2311629651329949,0.094771660238364,0.014721567924206515,6,77.58603906770412,4.5760089502153124e-4,Batiuk
L6 CT_2,0.018559738745722185,0.0798997444646444,0.8163144594821778,6,0,0.4215213181126221,Batiuk
L6 CT_3,0.13194586617365894,0.0748902405348401,0.07809352528269035,6,0,0.938932651835294,Batiuk
L6 CT_4,0.11092340790500928,0.08856735649761172,0.21041735876322235,4,13.582658187548747,0.3244739980192498,Batiuk
L6 IT Car3_1,-0.0465911131311547,0.08201855707267974,0.5699971116367062,6,27.673289462166213,0.22718569469867222,Batiuk
L6 IT Car3_2,0.017786803908210854,0.0861929166208094,0.8365094089260943,6,0,0.7272277168346697,Batiuk
L6 IT Car3_3,0.05385748173805527,0.06469046430901151,0.4051034897074327,6,19.652323767261546,0.2851249812440739,Batiuk
L6 IT_1,0.11040334958349485,0.07948328573999017,0.16482867301140022,6,0,0.7440403871484614,Batiuk
L6 IT_2,0.0878126732170158,0.07984282729268656,0.2714109117420193,6,0,0.8439580996117,Batiuk
L6b_1,0.4565501320265017,0.1019807662863744,7.5760994800089286e-6,6,59.11797206087981,0.03176466937308576,Batiuk
L6b_2,0.16195775321205078,0.08750416840811105,0.0641900450897766,6,52.126784757128064,0.06358274222498399,Batiuk
L6b_3,0.12522193244851038,0.09236123416203916,0.1751677348491847,4,52.338571410454136,0.09813331545854205,Batiuk
