supertype,beta,se,p,dataset,n_donors
Lamp5_Lhx6_1,-0.02955297032030568,0.2375249612428258,0.9028418108929794,Batiuk,15
Lamp5_1,-0.029255030620687083,0.2242534265695594,0.898157355386491,Batiuk,15
Lamp5_2,-0.0276260328900613,0.2732699603244331,0.9209826358751004,Batiuk,15
Lamp5_3,-0.8802018599267837,0.32544893180297557,0.01772947463634093,Batiuk,15
Lamp5_4,-0.33148029006477403,0.3798738960746585,0.3983465199578048,Batiuk,15
Lamp5_5,-0.5721479173124183,0.32313226531258465,0.09950800504541496,Batiuk,15
Lamp5_6,-0.2081566850136601,0.39753012768474233,0.6091478644589507,Batiuk,15
Pax6_1,-0.49734918554995405,0.3484045677579341,0.17647368767135402,Batiuk,15
Pax6_2,0.229974847483186,0.41127979550240135,0.585332752624343,Batiuk,15
Pax6_3,0.17125679638222163,0.3048232735116328,0.5835737617797856,Batiuk,15
Pax6_4,-0.13316162619018457,0.38621448262440766,0.7356420003743277,Batiuk,15
Sncg_3,0.016071136376550003,0.344175152304517,0.9634499562060856,Batiuk,15
Sncg_6,-0.5230555571093932,0.3495620594261592,0.15790285711933272,Batiuk,15
Sncg_2,1.5570979336793296,0.4591318513407889,0.004677478885858222,Batiuk,15
Sncg_1,-0.2459082671171731,0.37446795127293886,0.5225746414411607,Batiuk,15
Sncg_8,-0.15989655464962077,0.3127686279670388,0.6175650108751211,Batiuk,15
Sncg_4,-0.5366167852755339,0.2917934016953511,0.08832060818252395,Batiuk,15
Sncg_5,-0.46052526180110426,0.4301235276591529,0.30334435539180815,Batiuk,15
Vip_14,0.27178324806051113,0.36004228906394,0.46347833500792146,Batiuk,15
Vip_15,-0.09857974463039326,0.2680122439659612,0.7187918726727146,Batiuk,15
Vip_16,0.09738249229119539,0.30715284171880075,0.7561247322580706,Batiuk,15
Vip_4,-0.234692648919394,0.26379006705419294,0.38942739604886045,Batiuk,15
Vip_5,0.3752425728040574,0.3637048194073119,0.320585646784196,Batiuk,15
Vip_6,0.5131896020627913,0.4034858053614799,0.2251861756306764,Batiuk,15
Vip_9,0.08433174505988429,0.39430554383228733,0.8338867478359308,Batiuk,15
Vip_2,0.0899741914291114,0.30008011915995775,0.768935131607654,Batiuk,15
Vip_11,-0.10704363185875836,0.3834658424428127,0.7844218171379498,Batiuk,15
Vip_13,0.37120487176078143,0.44875314180354975,0.42271110977819104,Batiuk,15
Vip_1,-0.2082508789981964,0.29695549526834875,0.49520346437374574,Batiuk,15
Vip_12,0.08359027177760776,0.32726219102421467,0.8023010637104232,Batiuk,15
Vip_18,-0.005238886912052457,0.42597336397609903,0.9903698005408452,Batiuk,15
Vip_19,-0.10031273190791812,0.24402598725977326,0.6875599987159973,Batiuk,15
Vip_21,-0.5784630594065093,0.318285856080491,0.09172492203843094,Batiuk,15
Vip_23,-0.07262048799042736,0.2550376148940424,0.7802222934276493,Batiuk,15
Sst Chodl_1,0.39829863091560536,0.4688419515539265,0.4106030916327664,Batiuk,15
Sst_1,-0.15432760998516465,0.34823146873211197,0.6647567586547958,Batiuk,15
Sst_4,-0.18094998544910637,0.4347159839221328,0.6838618231513425,Batiuk,15
Sst_5,0.3207557144415747,0.2618736300363699,0.24186751780083918,Batiuk,15
Sst_7,-0.2324787157922528,0.34896556986334915,0.5166682146463737,Batiuk,15
Sst_3,-0.10707984741515535,0.2611867352706772,0.6883469679351326,Batiuk,15
Sst_19,-0.4007683273436589,0.29402680880085547,0.19548676458122333,Batiuk,15
Sst_9,-0.1681737027828159,0.2319547543372741,0.4809876857259028,Batiuk,15
Sst_10,0.07537073428871251,0.2737397002662945,0.7872852129211025,Batiuk,15
Sst_13,0.16899401131680689,0.2585747239886647,0.5245260972173793,Batiuk,15
Sst_12,0.17343810507164006,0.2590403501159607,0.5145979645840469,Batiuk,15
Sst Chodl_2,0.3428120861991333,0.2654568786357042,0.21854059974413137,Batiuk,15
Sst_11,0.21112146560533024,0.46768789673213695,0.6589577942191016,Batiuk,15
Sst_20,-0.24629128452214502,0.37697666291486065,0.5246677133804826,Batiuk,15
Sst_22,-0.03613096463488693,0.5168523270260422,0.9453080467852542,Batiuk,15
Sst_23,-0.5900201327775167,0.31624774606495454,0.08427516811760584,Batiuk,15
Sst_25,-0.7411792880733354,0.45844467079013856,0.12938185340019887,Batiuk,15
Sst_2,-0.20307475515182644,0.3197750027884861,0.5361574122957055,Batiuk,15
Pvalb_6,-0.30615418500663893,0.3442090253760462,0.38955800930491835,Batiuk,15
Pvalb_5,-0.43709484178745256,0.3374840699086378,0.21728070975863806,Batiuk,15
Pvalb_8,-0.061919008753334434,0.4309196778462783,0.8878977042468983,Batiuk,15
Pvalb_7,0.07381233374629864,0.3378676040282041,0.8303806693417234,Batiuk,15
Pvalb_1,-0.19300690562855036,0.25562357874181846,0.4633747045619214,Batiuk,15
Pvalb_3,-0.5330201102646733,0.3333334546641886,0.1332664747837194,Batiuk,15
Pvalb_2,-0.3845630147298901,0.20722374788086328,0.08575800886166873,Batiuk,15
Pvalb_15,-0.20025516913336397,0.23802058794054967,0.4150202772986694,Batiuk,15
Pvalb_14,-0.21191888522584396,0.36146597568246897,0.5674999779063334,Batiuk,15
Pvalb_12,0.28200739371583056,0.24525657927693337,0.2704487358257902,Batiuk,15
Pvalb_10,-0.11528569934970011,0.33837716481505453,0.7386458070266242,Batiuk,15
