supertype,beta,se,p,method,k,I2,Q_p,fdr
L5/6 NP_4,0.173914484222229,0.0723978829717698,0.0162966173652479,published FE meta,NA,NA,NA,0.19210602229807797
L6 CT_1,0.2308172737216,0.0937106085227013,0.0137746929651014,published FE meta,NA,NA,NA,0.18768019164950658
L6b_1,0.481296796598871,0.101095249618842,1.92803133457243e-6,published FE meta,NA,NA,NA,2.1015541546839486e-4
L6b_2,0.167197845733031,0.0871313688570625,0.0549948667087902,published FE meta,NA,NA,NA,0.3383041258515176
Vip_12,-0.0683277828999998,0.0671702353212183,0.30904258026592,published FE meta,NA,NA,NA,0.6238081712775052
L4 IT_3,0.0480322121884009,0.0736806507182668,0.514467471276935,published FE meta,NA,NA,NA,0.7627545370062713
Vip_15,-0.0179482346937108,0.0464797589030812,0.699384373825,published FE meta,NA,NA,NA,0.8864290319409883
Pax6_2,0.118936931018439,0.0827116613009,0.150442417440991,published FE meta,NA,NA,NA,0.49960493308549947
L2/3 IT_7,0.208344907686777,0.0883656654048172,0.0183856444997348,published FE meta,NA,NA,NA,0.19210602229807797
Lamp5_1,0.0403381814661403,0.0767968137036056,0.59940348180977,published FE meta,NA,NA,NA,0.8158256896181497
L4 IT_4,0.02729310786111,0.0579298689356221,0.637540399629103,published FE meta,NA,NA,NA,0.8339547296951282
L2/3 IT_3,-0.0936134743193302,0.0729423924817765,0.19935577689225,published FE meta,NA,NA,NA,0.5199393549559016
Vip_9,-0.00149102821986987,0.0587168882869469,0.979741083227422,published FE meta,NA,NA,NA,0.9956698748190856
L4 IT_1,0.049193184015191,0.0568427888277968,0.386805434047021,published FE meta,NA,NA,NA,0.6800289082439562
Sst_2,-0.254509920135936,0.0591534995883802,1.68856046339816e-5,published FE meta,NA,NA,NA,9.202654525519973e-4
Lamp5_4,0.0751792802930142,0.0664533239767492,0.257924824611278,published FE meta,NA,NA,NA,0.5697552578583179
L2/3 IT_12,-0.0588886771125258,0.0824681365615157,0.475178985744995,published FE meta,NA,NA,NA,0.7251618046650523
Sst_5,0.0309783749550944,0.0667703598466859,0.642680709122851,published FE meta,NA,NA,NA,0.8339547296951282
Pvalb_10,0.0431573824938302,0.0667359333543216,0.517833355398753,published FE meta,NA,NA,NA,0.7627545370062713
L2/3 IT_6,-0.0885649875776229,0.0760824244129518,0.244397137513991,published FE meta,NA,NA,NA,0.5667933614686174
