subclass,beta,se,p,dataset,n_donors
Lamp5_Lhx6,-0.18905400520005036,0.20254152784643129,0.3658076927301226,Batiuk,15
Lamp5,-0.3732633716433879,0.24452420432212696,0.14828287347401214,Batiuk,15
Pax6,-0.3534972778820609,0.3395162827894291,0.31474762087404184,Batiuk,15
Sncg,-0.5300452060584163,0.3013959356270041,0.09959913000415264,Batiuk,15
Vip,-0.3208240568205839,0.23561810721336005,0.19398277589484778,Batiuk,15
Sst Chodl,-0.013008064866210159,0.4137894282905404,0.9753477056666299,Batiuk,15
Sst,-0.38192280718393773,0.2116397600822893,0.09182722335738543,Batiuk,15
Pvalb,-0.34616423671732005,0.1684898031905024,0.05830282324284015,Batiuk,15
Chandelier,-0.40695208165379326,0.3876704840243836,0.3109254507542437,Batiuk,15
L2/3 IT,-0.11499844403262674,0.2971022880838063,0.7042968696073495,Batiuk,15
L6 IT,0.34202227752572895,0.3378637298460613,0.32789334436649886,Batiuk,15
L4 IT,-0.2982419243084832,0.34118961084054555,0.39621869832547607,Batiuk,15
L5 IT,0.1840271996569688,0.21072799646262352,0.3966567283140292,Batiuk,15
L5 ET,0.1581139119683253,0.3773650475816298,0.6813263633133242,Batiuk,15
L6 CT,0.4955491041661225,0.25619472729096077,0.07272573500773263,Batiuk,15
L6b,0.31251482413726134,0.45472206105858604,0.502699958314212,Batiuk,15
L6 IT Car3,0.41578526479484834,0.21671540282849414,0.07482927304202251,Batiuk,15
L5/6 NP,0.11545853658447963,0.21119951351464508,0.5928658321252356,Batiuk,15
Lamp5_Lhx6,-0.09023114959882375,0.08638896592539547,0.3004336976166075,Fröhlich,61
Lamp5,0.050144774365546485,0.08622857813307111,0.5630483796385175,Fröhlich,61
Pax6,-0.05106163886896994,0.11602771110573028,0.6614512171122839,Fröhlich,61
Sncg,0.10886415319590256,0.12119317209543831,0.372613793648477,Fröhlich,61
Vip,-0.02396317439677864,0.08255340330400952,0.7726017000480063,Fröhlich,61
Sst Chodl,-0.20001412301388305,0.1485696066857362,0.18325500295513025,Fröhlich,61
Sst,-0.30353537899329447,0.10504409703801539,0.005352502067303552,Fröhlich,61
Pvalb,-0.05185890684440883,0.07400868197939284,0.4861761401544712,Fröhlich,61
Chandelier,-0.03878209143984055,0.07881989203017795,0.6244812414784048,Fröhlich,61
L2/3 IT,-0.03712900988099009,0.09674123409837704,0.702478454199224,Fröhlich,61
L6 IT,0.07066658151756944,0.12148447230143111,0.5629418325248612,Fröhlich,61
L4 IT,-0.0523958656975429,0.06882000936199036,0.449416847624561,Fröhlich,61
L5 IT,-0.04491137041761852,0.0593378269538559,0.4520708077010188,Fröhlich,61
L5 ET,-0.04606126662580635,0.16965370642738525,0.7869323462385235,Fröhlich,61
L6 CT,0.12751242681788477,0.1621417510098074,0.4346972366585834,Fröhlich,61
L6b,0.1054049685636901,0.14575319286664862,0.47236804646779296,Fröhlich,61
