"","cell_type","genes","estimate","se","pval","ci.lb","ci.ub","k","tau2","I2","padj"
"1","Endo","R3HDM2",0.20416946516654,0.346854145864901,0.556108132622208,-0.475652168617069,0.883991098950149,6,0.648386253365319,96.2492189755468,0.878421895219857
"2","Endo","RBMS1",0.260408136585845,0.219376874226507,0.235213619806975,-0.169562635939083,0.690378909110772,7,0.25957981158545,88.3924439490255,0.699586686917454
"3","Endo","CREBBP",0.134877333008197,0.212051007840679,0.524736796311259,-0.280735005244955,0.550489671261348,7,0.256832187402982,93.2717958154763,0.868858370772515
"4","Endo","TRERF1",0.146205152549798,0.437107035378959,0.738014633605357,-0.710508894182036,1.00291919928163,5,0.772290647627702,89.1501881092318,0.940994977912222
"5","Endo","GRIN1",0.394054010520851,0.384396281647342,0.305304490236449,-0.359348857299054,1.14745687834076,5,0.648932599460493,93.9718919500496,0.750840906739232
"6","Endo","FRAS1",0.304363325758826,0.300634419381949,0.311345185673166,-0.284869308742903,0.893595960260556,6,0.428531553085811,86.5579892229516,0.754147227519447
"7","Endo","PRR14L",0.231189357627179,0.248833449954788,0.352841014496046,-0.256515242433055,0.718893957687413,6,0.288238540248998,89.4602591848689,0.783331591546362
"8","Endo","MFSD11",0.30910789070148,0.239279030190642,0.196415935121926,-0.159870390727849,0.77808617213081,6,0.272783965027,89.5590397615875,0.655742512986941
"9","Endo","AFF1",0.167878548184942,0.137581814578465,0.222385711600229,-0.101776853316518,0.437533949686402,7,0.0816261241488434,75.9923399673418,0.686354796368386
"10","Endo","ARHGEF3",0.0652452891129069,0.21064903413364,0.756762807632803,-0.347619231167176,0.478109809392989,6,0.203728415251719,86.5525939675997,0.948217777267974
"11","Endo","NOL4L",0.272327711024809,0.289897999187075,0.347529784851798,-0.295861926572079,0.840517348621697,5,0.32355190416238,89.5449864168072,0.77811642348226
"12","Endo","ZBTB16",0.275592213038132,0.210934669107858,0.191372803034039,-0.137832141504144,0.689016567580408,7,0.216259924333269,78.479516093586,0.651067250015823
"13","Endo","PAN3",0.0960227159472373,0.156883234373228,0.540494841229692,-0.211462773202445,0.40350820509692,7,0.119702492337797,84.466224321655,0.872874564236636
"14","Endo","ERCC8",0.14792336799263,0.324246793531848,0.648241772956095,-0.487588669432388,0.783435405417648,5,0.439960850344452,91.6341983811605,0.919805149337759
"15","Endo","P4HA1",0.523342692278146,0.230608557452614,0.0232441091507956,0.0713582251442871,0.975327159412006,6,0.201774982831479,70.2232357882828,0.275667397644832
"16","Endo","ADAM17",0.0109851610080104,0.288814027517233,0.969659446427841,-0.555079931155726,0.577050253171747,6,0.419518410645493,93.2469946962756,0.998363715126837
"17","Endo","RPL36",-0.0446133972057868,0.239520205945562,0.852239683347365,-0.514064374428705,0.424837580017131,6,0.245926463813215,83.8367937552871,0.967774356437435
"18","Endo","VTI1A",0.0322807067227432,0.0739693022752475,0.662541604018632,-0.112696461698299,0.177257875143785,7,0.0111199530734928,33.1171204270475,0.924676694466416
"19","Endo","PATJ",0.0400029431120369,0.0601815956855909,0.506239880259201,-0.0779508169638723,0.157956703187946,6,0,0,0.857211600936301
"20","Endo","FAM193A",-0.0934839288882137,0.0608247165415645,0.124308047115253,-0.212698182679538,0.0257303249031103,6,0,0,0.566870063834762
"21","Endo","RSRP1",0.146245609957313,0.173766087909461,0.399998773284317,-0.194329664079652,0.486820883994278,6,0.126833806781658,84.4938605646813,0.808866297650504
"22","Endo","LHFPL6",0.0415792822513883,0.0676265133239787,0.538662374772857,-0.0909662482636281,0.174124812766405,5,2.25984314609682e-07,0.00079085012460166,0.872379201601836
"23","Endo","GSTP1",-0.206047880634432,0.295300576912469,0.48532952206304,-0.784826375996771,0.372730614727907,5,0.317562352075736,83.4497398320419,0.849044645449478
"24","Endo","VPS13D",0.0222673937436454,0.045803153546132,0.626857867818102,-0.0675051375851314,0.112039925072422,6,9.07974111184581e-08,0.000526757061989108,0.910145487744996
"25","Endo","SHLD2",0.0150852392971293,0.314997790411956,0.96180392145293,-0.602299085120001,0.632469563714259,5,0.430748476239392,93.3288905763042,0.996989880251545
"26","Endo","EEF1A1",-0.0734614462399055,0.0784714369326678,0.349193269148125,-0.227262636443041,0.0803397439632296,7,6.58291887450162e-06,0.0135745871420285,0.780149728731413
"27","Endo","PIK3C2A",0.102540653916557,0.0587116630179061,0.0807219352690625,-0.0125320910709908,0.217613398904106,7,0.00229118423477251,8.57334328702496,0.470948209813891
