"","cell_type","genes","estimate","se","pval","ci.lb","ci.ub","k","tau2","I2","padj"
"1","L2_3 IT","MIR3976HG",-0.0745341408359588,0.254949990905692,0.770020499597844,-0.574226940869929,0.425158659198012,7,0.410174847635683,92.5665568869816,0.925387038746287
"2","L2_3 IT","NCKIPSD",0.0493621376457983,0.0959234154298387,0.606832943526726,-0.138644301870759,0.237368577162356,7,0.0481074054070567,85.8390020273775,0.855233676440947
"3","L2_3 IT","SUSD1",-0.0676042797980804,0.0990934348121809,0.495095022182101,-0.261823843134322,0.126615283538162,7,0.0498268245211063,77.3976400124319,0.804945363173393
"4","L2_3 IT","KLHL29",0.0179632232565226,0.0916617041796383,0.844631264050126,-0.161690415697133,0.197616862210178,7,0.0404913221649505,75.7495815009548,0.953314857875167
"5","L2_3 IT","RASGEF1C",0.0294736519300781,0.138335334495437,0.831280583362348,-0.24165862147028,0.300605925330436,7,0.0985230864243205,80.4072593698715,0.948662501512893
"6","L2_3 IT","LUC7L",-0.069642242882358,0.0500560175517252,0.164138678421564,-0.167750234493244,0.0284657487285282,7,0.00696694586585596,45.3622044138881,0.533113743833318
"7","L2_3 IT","LINC01378",0.0164707378072603,0.194454109448819,0.932497955002224,-0.364652313358235,0.397593788972755,5,0.148179682276302,83.9980082847981,0.981589811272729
"8","L2_3 IT","LRRK1",-0.104343468667192,0.0983031236992477,0.288487209391489,-0.297014050685503,0.0883271133511194,7,0.0457747611664765,71.8882410284924,0.665217565185081
"9","L2_3 IT","PURB",0.120925694799041,0.116396723450619,0.298846695715586,-0.107207691082641,0.349059080680722,7,0.0675601944290807,81.1387666671988,0.673741854754423
"10","L2_3 IT","EEF2",0.0251583594933432,0.112337045284637,0.822792896905025,-0.195018203394189,0.245334922380876,7,0.0560037569005493,76.5585465465022,0.944737417467721
"11","L2_3 IT","ZBTB20",0.0561265362374825,0.0809410719944822,0.488043084005664,-0.102515049741766,0.214768122216731,7,0.0263863265322749,64.9687850820187,0.802007330692463
"12","L2_3 IT","MAPK4",-0.077239486148075,0.0741176832591124,0.297356259312957,-0.222507475953483,0.0680285036573325,7,0.0243607325893834,70.8067173525029,0.672195354243558
"13","L2_3 IT","USP11",0.0768920637310832,0.0542077546608048,0.156053645278633,-0.0293531830868775,0.183137310549044,7,0.00824610310868216,45.3857944815187,0.523232876968019
"14","L2_3 IT","TTN-AS1",0.0425533559219638,0.0688576968497897,0.536582046826186,-0.092405249962001,0.177511961805929,7,0.0195838826958371,64.7745784521426,0.821522955224165
"15","L2_3 IT","KATNAL2",0.0891066884557614,0.0764815765459334,0.243989081757902,-0.0607944470551113,0.239007823966634,7,0.0228027265518538,61.8345867905494,0.624668708593525
"16","L2_3 IT","MSC-AS1",0.126905107952128,0.155848141159104,0.415480582388418,-0.17855163577723,0.432361851681485,7,0.0848425001003178,55.1674865878813,0.757909403261041
"17","L2_3 IT","ZNF483",0.0448955634104219,0.062007141175446,0.469042040558843,-0.0766362000777428,0.166427326898587,7,0.0164997766381304,70.6578157950366,0.790472065263647
"18","L2_3 IT","ZFPM1",0.0761431979969421,0.107849777828814,0.480180901814641,-0.135238482288179,0.287524878282063,7,0.0580795395879917,78.9879568830338,0.797741057508814
"19","L2_3 IT","TESC",-0.0886674409986855,0.0555220820205109,0.110271022825102,-0.197488722105566,0.0201538401081947,7,0.0048333907340945,23.2682257429882,0.451092605636784
"20","L2_3 IT","DDX25",0.0159768936243115,0.0491786225262824,0.745275853543096,-0.0804114353364923,0.112365222585115,7,0.00782332764398345,55.3791776182933,0.913433863730601
"21","L2_3 IT","BRD1",-0.0714832622395462,0.0746366935225294,0.338189046750284,-0.217768493468858,0.0748019689897653,7,0.0267254870913948,77.89237764211,0.704604895827757
"22","L2_3 IT","LINC01950",0.0514674076870704,0.187611669843497,0.783831448386132,-0.316244708285602,0.419179523659743,5,0.139153931673726,85.9056523330949,0.930609338511683
"23","L2_3 IT","NUDT3",0.0405643557267966,0.0881567634757984,0.645416527598561,-0.132219725679384,0.213348437132978,7,0.0354810635204848,75.558038714814,0.871141861791522
"24","L2_3 IT","IGIP",0.119486583338626,0.0441355703508195,0.00678405513641541,0.0329824550138863,0.205990711663366,7,0.000839144389115855,5.4252674540268,0.124946240540291
"25","L2_3 IT","TENM4",-0.0720941115066421,0.037683247348119,0.0557274706109387,-0.14595191912947,0.00176369611618572,7,3.9593783873322e-06,0.0360835998352782,0.339757804692498
"26","L2_3 IT","SLITRK4",0.167058691511601,0.12263026536884,0.173104562752375,-0.0732922120259139,0.407409595049116,7,0.0733092300312588,79.5469080333039,0.54248086029544
"27","L2_3 IT","MIR193BHG",-0.085842765660172,0.147867178189106,0.561550730060784,-0.375657109406386,0.203971578086042,7,0.115906618752801,82.8341031232221,0.836486435312381
"28","L2_3 IT","PSRC1",0.039238309909739,0.116543058824541,0.736354306476299,-0.189181888034495,0.267658507853973,7,0.0647637507111796,77.4113239168517,0.90893441805723
"29","L2_3 IT","IL1RL2",-0.0739029791118888,0.10443615966726,0.479170183893169,-0.278594090743392,0.130788132519615,7,0.0511279469345071,73.8663777992259,0.797077309250623
"30","L2_3 IT","TMEM50B",-0.0134028931865664,0.0603591586438309,0.824273128874449,-0.131704670265614,0.104898883892482,7,0.0171189969986878,78.1448921924288,0.945873523238942
"31","L2_3 IT","ABLIM2",-0.130953619438167,0.0400812122074606,0.00108614208931812,-0.209511351821497,-0.0523958870548367,7,4.7370241520463e-06,0.0366863302193719,0.0498369705491749
"32","L2_3 IT","ARL4C",0.0532705178797165,0.0419802940831874,0.204462094832387,-0.0290093465837307,0.135550382343164,7,3.33526686272336e-06,0.0227256269151704,0.579656788756938
"33","L2_3 IT","MAGI3",0.0833055514028574,0.0800630178019602,0.298107772047097,-0.0736150799825738,0.240226182788289,7,0.0346066249024603,82.3192319612024,0.672733826183691
