"","cell_type","genes","estimate","se","pval","ci.lb","ci.ub","k","tau2","I2","padj"
"1","L4 IT","LRMDA",-0.149625318165809,0.142050596361866,0.292192471976152,-0.428039371017502,0.128788734685884,5,0.0753238874761716,78.5905058877963,0.679058612071575
"2","L4 IT","KCNK10",0.0790414050268446,0.072403883753267,0.274976613735478,-0.0628675994703834,0.220950409524073,7,0.0247443030591986,74.3268383231006,0.664599167493079
"3","L4 IT","ZDHHC14",0.0382602338975513,0.0665710850122855,0.565475599419427,-0.0922166951382825,0.168737162933385,7,0.0187282141524385,64.9824840852447,0.842132700475643
"4","L4 IT","RBFOX3",-0.0243709057232766,0.0980303408429946,0.803665765668212,-0.216506843167732,0.167765031721179,7,0.0466114250959482,79.2496792252813,0.940415289723341
"5","L4 IT","NCKIPSD",0.0447531160723951,0.114689955053284,0.696381598315418,-0.18003506522056,0.26954129736535,7,0.0727416416687253,88.6684680071886,0.901628925142553
"6","L4 IT","SUSD1",-0.0618615242634173,0.101997744820516,0.544183485062729,-0.261773430615936,0.138050382089101,7,0.054142506498631,80.5606709919029,0.832123541165901
"7","L4 IT","SYNDIG1",0.00596755914371765,0.0611583040524185,0.922269288322542,-0.113900514154573,0.125835632442008,7,0.0152592426053967,66.4615852169446,0.980101994376191
"8","L4 IT","LRRN2",-0.0654510492365938,0.0836455365647438,0.433931904088105,-0.22939328837102,0.0984911898978321,7,0.0320184187753795,71.9560589808835,0.776817773597963
"9","L4 IT","ANKRD33B",0.0271679647133716,0.0966429176767031,0.778620681459444,-0.162248673293836,0.216584602720579,7,0.048554833189436,84.5956207031953,0.930862074152596
"10","L4 IT","STAT4",0.0619376994489521,0.107475472606185,0.564415034990773,-0.148710356080591,0.272585754978495,7,0.0577637374859237,77.2245974974615,0.841383638023628
"11","L4 IT","LUC7L",-0.07780242585895,0.0555145337762258,0.161071030616569,-0.186608912678885,0.0310040609609849,7,0.01124694750146,60.5470169779306,0.544734873257385
"12","L4 IT","SEMA3A",0.0503011804942559,0.176461486538579,0.775602215910838,-0.295556977779759,0.39615933876827,7,0.168458945812907,84.8689421082748,0.929799596177673
"13","L4 IT","MIR3976HG",0.0731086212250582,0.194650802229936,0.707222771270836,-0.308399940707446,0.454617183157562,7,0.211158551646392,86.2316188645818,0.90649090482297
"14","L4 IT","PRKAG2",0.0954453530223555,0.05880544808305,0.10457446218318,-0.0198112073151624,0.210701913359873,7,0.0111358147361559,50.8906900000169,0.460546596940007
"15","L4 IT","CASC3",-0.0258025294590334,0.0587178831845544,0.66034838828897,-0.14088746574919,0.0892824068311232,7,0.0156073232755193,77.165883114014,0.886027688639343
"16","L4 IT","E2F4",-0.055370141137292,0.100970821791729,0.583432625291559,-0.253269315338493,0.142529033063909,7,0.0496962450463018,81.6543966363861,0.851020221461373
"17","L4 IT","CABLES1",0.0308498073057953,0.0733780900223051,0.6741767619311,-0.11296860639226,0.174668221003851,7,0.023279863195274,72.7966752217219,0.892048312845072
"18","L4 IT","CDK5R1",0.0439010776649333,0.115566705213189,0.704037078358893,-0.182605502364874,0.27040765769474,7,0.0625586431425709,78.9061287391348,0.904838830915123
"19","L4 IT","KLHL29",-0.0109619046160243,0.0687674849446424,0.873349528586836,-0.145743698414924,0.123819889182875,7,0.0181856009506807,63.9831043566671,0.962968626366439
"20","L4 IT","NOXA1",-0.0343355580368869,0.107123565051306,0.748571957276905,-0.24429388743298,0.175622771359206,7,0.0589082316372418,81.1282933769234,0.920879546476498
"21","L4 IT","NMNAT3",0.0477152980854741,0.0350225950967964,0.173067049920443,-0.020927726949376,0.116358323120324,6,9.50710009748302e-07,0.0115138727158316,0.562399250410254
"22","L4 IT","MIR9-3HG",-0.106474306506356,0.0975580170711673,0.275099226698588,-0.297684506368987,0.0847358933562759,7,0.0440562308440148,74.8024108506481,0.664745838755488
"23","L4 IT","NORAD",0.0506390643301836,0.0944057660260627,0.591683511562179,-0.134392837013814,0.235670965674182,7,0.0315913132094049,60.4350666979121,0.854296345557944
"24","L4 IT","ALDH1A2",0.0631692410837966,0.114503959856564,0.581169431208106,-0.161254396322288,0.287592878489881,7,0.059580000762888,70.5159612701371,0.849529127772486
"25","L4 IT","VSTM2L",-0.00630257841295824,0.098074771077676,0.948760819132496,-0.198525597517214,0.185920440691297,7,0.0454144127112128,77.1041273090544,0.986257584742174
"26","L4 IT","PSD3",0.0317987428607409,0.0346066935886328,0.358168254302509,-0.0360291301969925,0.0996266159184743,7,0.00283347656760635,38.8253696919907,0.724116185778867
"27","L4 IT","PDP1",0.0342383987533811,0.0848263153423624,0.686485228257583,-0.132018124258887,0.200494921765649,6,0.0278216255037565,71.9763949121903,0.896427007547071
"28","L4 IT","TMEM179",-0.158398474041252,0.0856788545561371,0.0644944400630821,-0.326325943207926,0.00952899512542257,7,0.0126725448601626,26.0590720274158,0.377949020386026
"29","L4 IT","MIRLET7BHG",0.0925239089403238,0.113524689430609,0.415065820601219,-0.129980393699765,0.315028211580413,5,0.0394903979283404,64.5463411428574,0.766446241486232
"30","L4 IT","PARVA",0.0640184944751858,0.0690778906076658,0.354052145459294,-0.0713716832438367,0.199408672194208,7,0.0107090789515566,34.6773060018587,0.722275414526231
"31","L4 IT","LINC01591",0.202186381906868,0.134543091491817,0.132900166263394,-0.0615132317857696,0.465885995599506,7,0.0927160370541031,82.9659203522578,0.505005833478214
"32","L4 IT","IRF2BP2",0.0538230738120919,0.124522751324805,0.665570726491921,-0.190237034040363,0.297883181664547,7,0.0693665520007973,75.6281259437318,0.887753912512021
"33","L4 IT","ARL4C",0.0608600965985885,0.0725497426146755,0.401539989822503,-0.0813347860138262,0.203054979211003,7,0.0166039126624472,53.5072949563571,0.755405830782087
"34","L4 IT","ZNF770",0.114188832070654,0.0977326962664258,0.242653913024861,-0.0773637327235328,0.305741396864841,7,0.0447128229142646,78.1475181160145,0.637266615847996
"35","L4 IT","FEM1C",-0.0318823179052137,0.118526965263379,0.787939004248652,-0.264190901018266,0.200426265207839,7,0.0739453907285145,84.2920532057126,0.934109477040789
"36","L4 IT","ANKRD42",0.00706933942273635,0.0426199570359891,0.868259863541186,-0.0764642413904468,0.0906029202359194,7,0.00590522032101406,53.4464615784993,0.959960870997043
"37","L4 IT","TMEM35A",-0.0279943237690882,0.0640018711018499,0.661822356459426,-0.153435686071889,0.0974470385337125,7,0.0111129956870218,44.299375643331,0.887009037633419
"38","L4 IT","ZNF439",0.067140413141804,0.0911955766502031,0.461594115791332,-0.111599632641956,0.245880458925564,7,0.0376164125433351,73.0840234093407,0.792576632539627
"39","L4 IT","PEG10",0.0976602530185927,0.155859169534105,0.530926106781576,-0.207818105928575,0.403138611965761,7,0.119680123815996,78.8171655692106,0.825208243288008
"40","L4 IT","SORCS2",-0.0205744889571223,0.0821892285809099,0.802331599662712,-0.181662416892836,0.140513438978591,7,0.0266184341310625,62.968659420831,0.939670001598604
