"","cell_type","genes","estimate","se","pval","ci.lb","ci.ub","k","tau2","I2","padj"
"1","L5 ET","GABRA1",-0.180734332437959,0.0955963383759648,0.0586779068447482,-0.368099712708755,0.00663104783283611,7,0.0239060224127565,39.9977286050775,0.811449607373118
"2","L5 ET","ZKSCAN7-AS1",0.140294507889015,0.241247991582576,0.560878939110673,-0.332542866955456,0.613131882733486,5,0.223030925339524,79.2151918363616,0.97331004415511
"3","L5 ET","ADGRV1",0.00366129534583924,0.163235771103464,0.982105355424315,-0.316274937005575,0.323597527697253,7,0.114829427914431,71.8228305092874,0.998247803681944
"4","L5 ET","MAGI3",0.081145754890855,0.126967807232812,0.522754655875532,-0.167706574481481,0.329998084263191,7,0.0660934942792277,65.2033606373658,0.97331004415511
"5","L5 ET","CHORDC1",-0.00745703063128368,0.169064194103434,0.964818565056821,-0.338816762149304,0.323902700886737,6,0.110548844192898,67.6873835258884,0.998247803681944
"6","L5 ET","CNTN5",-0.297774295954557,0.232060038476994,0.199429782245986,-0.752603613620445,0.157055021711331,6,0.202631951619487,65.3544596571694,0.899989196863772
"7","L5 ET","SNTG1",-0.11895495260402,0.140263382825461,0.396391898888381,-0.393866131291678,0.155956226083637,7,0.0615864154194737,51.1729483164416,0.954892716669664
"8","L5 ET","NF1",-0.160177173010342,0.116193765037335,0.168038166432599,-0.387912767711629,0.0675584216909441,7,0.0597103070155181,69.2735157378678,0.898439499485844
"9","L5 ET","ATP1B3",-0.0685801122448506,0.124842020582779,0.582775457600802,-0.313265976344305,0.176105751854604,7,0.0558310797396705,54.7878227448573,0.97331004415511
"10","L5 ET","UHMK1",-0.105986870977289,0.1158713335513,0.360352034931284,-0.333090511578465,0.121116769623887,6,0.0376023523688373,48.7553825440402,0.947730710327011
"11","L5 ET","AP5M1",-0.0918266108860463,0.172246234522041,0.59395574612185,-0.429423027021887,0.245769805249794,7,0.140481667792271,73.0656531467503,0.97331004415511
"12","L5 ET","LRRFIP2",-0.038334232737745,0.100534168248713,0.702976562308477,-0.235377581720913,0.158709116245423,7,0.0354041590967791,56.2517513458147,0.986693200955518
"13","L5 ET","ZNF804A",-0.130487203230927,0.179498976903598,0.467255145762402,-0.482298733223766,0.221324326761911,7,0.126756611856653,61.2742634783131,0.973065530656025
"14","L5 ET","ZNF331",-0.000512512109915815,0.237627616880197,0.998279134437065,-0.466254082927185,0.465229058707353,5,0.213160714092156,80.8865539077261,0.999154329453371
"15","L5 ET","STAT4",-0.0793228373288791,0.147232215069543,0.590052424392285,-0.367892676229239,0.209247001571481,7,0.0781103001544165,57.5566741896533,0.97331004415511
"16","L5 ET","RHBDL3",0.16717667294998,0.131828106862617,0.204747478413427,-0.0912016686508475,0.425555014550807,7,0.0617580168508646,54.109722320653,0.899989196863772
"17","L5 ET","ST3GAL1",0.144770322965753,0.0969343257925913,0.135309302569253,-0.0452174644533975,0.334758110384904,7,0.013345091827027,20.705199320025,0.886795161713824
"18","L5 ET","PGP",0.0951479870580619,0.235612229946593,0.686335548510651,-0.36664349795443,0.556939472070554,7,0.297017963552074,80.8800123478049,0.986693200955518
"19","L5 ET","MPPED1",-0.161783263135773,0.169556044901427,0.34000365164438,-0.494107004503626,0.17054047823208,7,0.149259611529416,79.3259441689224,0.943261535002335
"20","L5 ET","TTN",0.40670236547857,0.170929508394375,0.0173428586982414,0.0716866851304586,0.741718045826681,6,0.0748896257624885,44.5875706241636,0.633886976012301
"21","L5 ET","GRK3",-0.0580178210969639,0.152236209697186,0.703126115317784,-0.356395309246335,0.240359667052407,7,0.0938454914293606,65.1515079683629,0.986693200955518
"22","L5 ET","TAFA5",0.118719253021061,0.123538814763219,0.336558468129427,-0.123412374607614,0.360850880649735,5,0.0298741294231093,40.2023634785004,0.939495462960588
"23","L5 ET","SESN3",0.0839088268050894,0.195786605912315,0.668234095585863,-0.299825869438385,0.467643523048564,7,0.17263670189235,71.8172872412368,0.982110502828888
"24","L5 ET","RIPOR2",0.329264554422201,0.0935098921525253,0.000429641399497435,0.145988533605027,0.512540575239375,5,1.71946016367892e-07,0.00035535075964861,0.178730822190933
"25","L5 ET","PTPRN2",0.0423007062987908,0.0893885994904279,0.63605436893959,-0.132897729330923,0.217499141928505,7,0.0204865674681251,39.0745246829801,0.979863691954294
"26","L5 ET","ZDHHC2",-0.11721016899285,0.143256029492289,0.413250624357707,-0.397986827365945,0.163566489380245,7,0.0633367768885803,47.9683756917165,0.969398759909198
"27","L5 ET","MIAT",0.0105940857104306,0.0806486106066377,0.895489703719114,-0.147474286481774,0.168662457902636,7,0.0132648308412077,30.4728493177686,0.996948808920416
"28","L5 ET","ARFGEF3",-0.0216491280652586,0.0916722337615311,0.813310097010021,-0.201323404620196,0.158025148489679,7,0.0229468136329023,43.8917311659267,0.988502785559323
"29","L5 ET","CDK19",-0.175724484418911,0.101019751756984,0.0819457627616788,-0.373719559589776,0.0222705907519533,7,0.0242512716301338,35.8781539570823,0.837351816228101
"30","L5 ET","OGT",-0.101414919192574,0.124708949775083,0.416096039101905,-0.345839969301551,0.143010130916403,7,0.0627422378875476,64.3551293262464,0.96972522278091
"31","L5 ET","ZBTB11",-0.162291942422571,0.130082973796937,0.212176383360877,-0.417249886066435,0.0926660012212936,5,0.0349407743531532,43.2176028763139,0.899989196863772
"32","L5 ET","TRPM3",-0.250628315576961,0.15232519681651,0.0998975825815741,-0.549180215275296,0.047923584121375,6,0.0305907756700245,22.1130380560126,0.848433102519324
"33","L5 ET","PRIM2",0.0951733467990813,0.316936768363395,0.763954986577945,-0.526011304569687,0.71635799816785,5,0.413237790457797,86.4802281626939,0.987595272413486
"34","L5 ET","HSPA4",-0.0449514218811874,0.153016771154421,0.768935233677574,-0.344858782374461,0.254955938612086,6,0.079242156679739,59.8643268023124,0.987595272413486
"35","L5 ET","MAP6",0.0119769455429791,0.109168283200502,0.912638692402211,-0.201988957784073,0.225942848870031,6,0.0388595819001657,57.3822164504182,0.996948808920416
"36","L5 ET","NR2F1-AS1",-0.36022898314543,0.110867457506129,0.001157358028291,-0.577525206914967,-0.142932759375892,7,0.018284228042495,21.7729791075127,0.260507524285007
"37","L5 ET","GMCL1",-0.00293841479346864,0.08909460524635,0.973689867930744,-0.177560632293128,0.171683802706191,6,0.0127042123159462,27.0656114004594,0.998247803681944
"38","L5 ET","ERICH1",0.0371036311812559,0.156629992771647,0.812744346104741,-0.269885513549941,0.344092775912452,6,0.0798864365208044,58.0173642185352,0.988502785559323
"39","L5 ET","LRRN2",0.0652851031048745,0.0873123757356323,0.454629800745748,-0.105844008741594,0.236414214951343,7,0.0100818779771329,19.0127184128864,0.973065530656025
