"","cell_type","genes","estimate","se","pval","ci.lb","ci.ub","k","tau2","I2","padj"
"1","L5_6 NP","FOXP1",0.0126943299007466,0.144720697844971,0.930102352126013,-0.2709530256929,0.296341685494393,7,0.127968430832565,92.0227630963379,0.99272886872989
"2","L5_6 NP","RASGRF2",-0.19832616437332,0.139858712198326,0.156177174573818,-0.472444203206191,0.0757918744595512,7,0.0829435810465777,68.8927524975335,0.795199752818724
"3","L5_6 NP","MEF2C",0.0354831985799446,0.0858738658791282,0.679459088297833,-0.13282648575637,0.203792882916259,7,0.0361280318678151,77.7165232575227,0.957998423198117
"4","L5_6 NP","FSTL5",-0.00510212234154805,0.108008987972759,0.962323587680325,-0.216795848774775,0.206591604091679,7,0.0610738005414369,80.0148153370593,0.996395917812679
"5","L5_6 NP","EDIL3",-0.0631496626983102,0.137165915536602,0.645237112499297,-0.331989917056513,0.205690591659893,6,0.0769342580200757,70.5943297810916,0.957833824139319
"6","L5_6 NP","LUC7L",-0.0898666173990352,0.0686823061470656,0.190724405341653,-0.224481463822438,0.0447482290243674,7,0.0146287351286131,49.4130204459485,0.816994379810294
"7","L5_6 NP","PRKG1",-0.478730824294129,0.328343002161778,0.144834895822893,-1.12227128310697,0.164809634518713,6,0.589234494562791,92.5026356045912,0.781592436939197
"8","L5_6 NP","CCDC102B",-0.0192859736911957,0.109807573229971,0.860581272071538,-0.234504862451683,0.195932915069292,7,0.0576831863239133,75.0826376473587,0.983821294076459
"9","L5_6 NP","STAT4",0.0372213448581163,0.121039935316395,0.758452984674568,-0.200012569053076,0.274455258769308,7,0.074752295069483,82.7076951596084,0.970498883760536
"10","L5_6 NP","NCDN",-0.0234380498248843,0.181787743822147,0.89741235911765,-0.379735480547086,0.332859380897317,6,0.144440612707729,83.4154843998579,0.98796786208598
"11","L5_6 NP","CNKSR2",0.037137411253374,0.0608970345454065,0.541968196273044,-0.0822185832209142,0.156493405727662,7,0.0117803239874972,50.1957975602465,0.948672816065137
"12","L5_6 NP","FAIM2",0.0116715843025098,0.1143288947365,0.918686991812045,-0.212408931773302,0.235752100378321,7,0.0583635118162448,76.0429875606753,0.990150104799477
"13","L5_6 NP","DPP10",-0.0422791679538785,0.0759154416691788,0.577579027506634,-0.19107069949592,0.106512363588163,7,0.0231086106588763,64.577788579312,0.953380030735793
"14","L5_6 NP","SLITRK5",0.0249034413231096,0.080412362961787,0.756791632603753,-0.132701893993755,0.182508776639975,7,0.0235777164847548,59.8200616239002,0.970423499612685
"15","L5_6 NP","RIT2",-0.0404445938810006,0.104987142690824,0.700064217831972,-0.246215612394784,0.165326424632783,7,0.0407574190053702,57.3427665515208,0.961768946198384
"16","L5_6 NP","ZNF248",-0.0410119341364068,0.0742478614008101,0.580698174421195,-0.186535068411116,0.104511200138303,7,0.0210833570225983,63.1578936311227,0.953380030735793
"17","L5_6 NP","ZBTB20",0.0531847553167146,0.104378187477733,0.610374481973492,-0.151392732911212,0.257762243544642,7,0.0505542852621461,72.5835930249112,0.957086105740902
"18","L5_6 NP","ELAVL3",-0.0581415376880236,0.0779116999492579,0.455516939454842,-0.21084566356286,0.094562588186813,7,0.0236409696226003,62.8811805266149,0.92656178954585
"19","L5_6 NP","ARHGAP32",0.0504037941885732,0.062345067902109,0.418823049351265,-0.0717902935132645,0.172597881890411,7,0.0162662806289768,66.468930052594,0.911481075797131
"20","L5_6 NP","KCNQ5",-0.161813268190313,0.0969450870209921,0.0950930188485199,-0.351822147229559,0.0281956108489332,7,0.0349680407869604,58.5622802823293,0.716933961827131
"21","L5_6 NP","CSNK1E",-0.075248937353493,0.147984479862689,0.611108285433516,-0.365293188155257,0.214795313448271,6,0.09604510103886,84.6206206230557,0.957086105740902
"22","L5_6 NP","MEIS2",0.0628073187887251,0.052586733269701,0.232338455187591,-0.0402607844845031,0.165875422061953,7,0.00341022866800402,17.741815549866,0.838221937837406
"23","L5_6 NP","GRK3",-0.0813575466954371,0.116289762449723,0.484170541286484,-0.309281292867613,0.146566199476739,7,0.0724541750332098,84.0589448943528,0.927957950387754
"24","L5_6 NP","UNC5D",-0.0225357893013529,0.0904479921238835,0.803239006798255,-0.199810596338127,0.154739017735421,7,0.0231309257977838,45.2466274667097,0.976708088724194
"25","L5_6 NP","MGAT4A",-0.0863175566741313,0.090573414470554,0.340583958240098,-0.263838186993236,0.0912030736449734,7,0.0344349655703736,68.9062993344669,0.880281521931776
"26","L5_6 NP","KCNC2",0.0311609811022942,0.130230969308035,0.810892552446327,-0.224087028413195,0.286408990617784,7,0.0742975019613062,70.9118093831385,0.978014645176326
"27","L5_6 NP","CLVS2",0.013865012203537,0.0430541554650694,0.747424996277112,-0.0705195818927874,0.0982496062998615,7,1.64833801752611e-06,0.0114439341973425,0.969365074932484
"28","L5_6 NP","XPO7",-0.0783758081012821,0.0745152843077247,0.292887426553656,-0.224423081642185,0.0676714654396209,7,0.0209420114572368,62.4239413020755,0.86046122973704
"29","L5_6 NP","SPARCL1",0.079537868075887,0.127488802692268,0.532705603254739,-0.170335593633092,0.329411329784866,7,0.0684284875754905,67.4902064072596,0.946623757663133
"30","L5_6 NP","GMCL1",-0.117071905585895,0.0982548943544637,0.233452569123142,-0.309647959825432,0.075504148653642,7,0.0451369896318036,77.6402572162499,0.838221937837406
"31","L5_6 NP","HCN1",0.0457510206277396,0.0476067486649035,0.336542291095208,-0.0475564921765217,0.139058533432001,7,0.00452444471858968,30.1306741235433,0.879813438569279
"32","L5_6 NP","GDI1",0.055541528282536,0.0547671832477816,0.310516501960169,-0.0518001784178213,0.162883234982893,7,8.33851347858505e-08,0.000347124875863946,0.87119108032747
"33","L5_6 NP","RAP2A",0.044380775360492,0.101585423618169,0.662197409779149,-0.154722996285363,0.243484547006347,7,0.0439475589353258,72.374434096001,0.957833824139319
"34","L5_6 NP","SLC22A10",-0.216608908706251,0.0937288695099973,0.020831976090573,-0.4003141172575,-0.0329037001550019,7,0.0275389943955143,46.8621211066831,0.503362266721846
"35","L5_6 NP","TENM2",0.110890041643523,0.0449932834360807,0.0137169725281524,0.022704826562602,0.199075256724444,7,8.14541521261582e-06,0.052100301669078,0.451790298828517
"36","L5_6 NP","ZMYM3",-0.137267323371555,0.138829815889417,0.322787789231008,-0.409368762495139,0.134834115752028,6,0.0762112902454851,76.0119443965164,0.876957608388297
"37","L5_6 NP","ATP8A1",0.0179951763057906,0.0377282820064965,0.633385038932662,-0.0559508976255131,0.0919412502370943,7,1.66078610947439e-06,0.0152003925829058,0.95756310690484
"38","L5_6 NP","CDH8",0.0470087138207847,0.0400681255683332,0.240707718381089,-0.0315233692211768,0.125540796862746,7,2.66010120162303e-06,0.0197685183561955,0.839694046855516
"39","L5_6 NP","OCRL",-0.0408351898038492,0.139305599493636,0.769419827060712,-0.313869147656136,0.232198768048438,6,0.0895087118728567,86.1748152001085,0.971707848982132
