"","cell_type","genes","estimate","se","pval","ci.lb","ci.ub","k","tau2","I2","padj"
"1","L6 IT Car3","SLC22A10",0.0576431761020746,0.418156072546194,0.890358283988985,-0.761927666005184,0.877214018209334,5,0.765052288793146,91.2122761351137,0.992689348059606
"2","L6 IT Car3","CPED1",0.194633743199105,0.41420595937078,0.638429288241847,-0.617195019349485,1.0064625057477,6,0.83835932300394,89.0467355582494,0.962182820010716
"3","L6 IT Car3","NUDT3",-0.0398189860311326,0.130310998434788,0.759932916850776,-0.295223849752772,0.215585877690507,7,0.0760795877659955,76.6055614073226,0.979420816902737
"4","L6 IT Car3","SCN2B",-0.0486646668996365,0.179833419096434,0.786691237549555,-0.401131691545345,0.303802357746072,6,0.132718145486293,77.8962709893352,0.983382010013941
"5","L6 IT Car3","FAM217B",-0.104797687958277,0.125922746531196,0.405274649029921,-0.351601735993787,0.142006360077234,7,0.0676461205339391,73.0178625765113,0.901411091852889
"6","L6 IT Car3","CNTNAP3B",-0.042016749618909,0.245511979904667,0.864114230799626,-0.523211388005177,0.439177888767359,7,0.306883794632597,79.597893903673,0.989832313402548
"7","L6 IT Car3","THOC2",-0.0418676158843762,0.0933828599464317,0.653905175021285,-0.22489465815273,0.141159426383978,7,0.0346728621888524,68.1425891998031,0.963500359804842
"8","L6 IT Car3","KAT2B",0.298744962912061,0.0800140987649884,0.000188721683344193,0.141920211077253,0.455569714746869,7,0,0,0.0506475077614857
"9","L6 IT Car3","TMTC2",-0.29544121207302,0.268584510574986,0.271334960081035,-0.82185717960531,0.230974755459269,7,0.439641187264187,91.4135440585816,0.853818854285146
"10","L6 IT Car3","LINC00710",-0.0438462820047128,0.418959672360484,0.916649461699327,-0.864992150805963,0.777299586796537,5,0.714740352079229,89.5331702395683,0.99300370686563
"11","L6 IT Car3","HNRNPA3",0.0836768342174079,0.0856611165115196,0.328650513327505,-0.0842158690206598,0.251569537455476,7,0.0257727330827062,60.7187629588073,0.876494682477357
"12","L6 IT Car3","EEF2",0.0504514241253196,0.12497879530858,0.686448142530773,-0.1945025135107,0.295405361761339,7,0.0552362116864428,59.8570182465105,0.966832718967094
"13","L6 IT Car3","NCDN",0.0812326898127474,0.163379642385611,0.619046590243377,-0.238985525070083,0.401450904695578,7,0.106703610436452,68.8792915112066,0.957948322832046
"14","L6 IT Car3","DCDC1",0.2177443218971,0.220541812667466,0.323488056927519,-0.214509688016314,0.649998331810514,7,0.263838577089307,87.6018868128929,0.875112576101105
"15","L6 IT Car3","LRCH1",0.234295003251878,0.210708911585897,0.266165303593576,-0.178686874678114,0.64727688118187,7,0.250348176892102,90.7461771309447,0.852109985226469
"16","L6 IT Car3","RNF217-AS1",0.111031336980905,0.138757715544246,0.423605730181669,-0.16092878806287,0.38299146202468,6,0.0423914454969151,39.8724926607274,0.906981678503855
"17","L6 IT Car3","POT1-AS1",0.0743324703661326,0.148588974763634,0.616895095900685,-0.216896568670321,0.365561509402586,7,0.0931751573647063,70.5428939664148,0.956976983616042
"18","L6 IT Car3","ALG6",-0.0571928116836237,0.0944031790695851,0.544623891688285,-0.242219642686096,0.127834019318849,7,0.023809302281496,44.0781807094949,0.93515026940466
"19","L6 IT Car3","TDO2",0.0615694882600306,0.0726968740874661,0.397031650057841,-0.0809137667400461,0.204052743260107,7,6.09305707864906e-06,0.0142852347100686,0.898873034856554
"20","L6 IT Car3","MANBA",0.0262357906352359,0.0523761765920331,0.616433926643483,-0.0764196291330588,0.128891210403531,7,5.6892566858397e-06,0.0270205482874711,0.956735603595875
"21","L6 IT Car3","GAS2L3",-0.238464972202292,0.198377044006981,0.22933273912227,-0.627276833815492,0.150346889410909,6,0.176069187282392,76.9640290270434,0.829146427473241
"22","L6 IT Car3","ARHGAP18",0.0774217733497955,0.0989063610574225,0.433757192763598,-0.116431132164667,0.271274678864258,7,0.0322451695450092,53.6295395874812,0.9091879982748
"23","L6 IT Car3","P3H2",-0.153594400947758,0.055887342860629,0.0059907731002612,-0.263131580146233,-0.0440572217492838,7,0,0,0.235838817252825
"24","L6 IT Car3","DCSTAMP",0.0538719117373469,0.213664432414787,0.800938055785322,-0.364902680572829,0.472646504047523,6,0.177040836293425,69.6760172770308,0.985293141267264
"25","L6 IT Car3","FBXO44",-0.112382284424907,0.0546227585487206,0.0396452649047662,-0.219440923916627,-0.00532364493318754,7,6.88802184651279e-06,0.0295992049929997,0.496517297667292
"26","L6 IT Car3","NUDT4",0.0885013163622762,0.06132872855055,0.149002277863437,-0.0317007828144351,0.208703415538988,7,6.33583574139999e-07,0.00215576654606916,0.756044991747251
"27","L6 IT Car3","TC2N",0.0662573816515581,0.140230942215115,0.636578788898007,-0.208590214608185,0.341104977911302,7,0.0847346421473857,70.5426693216541,0.962182820010716
"28","L6 IT Car3","PHYHIP",-2.93756270663883e-05,0.17030633833777,0.999862375297286,-0.333823665107988,0.333764913853855,7,0.134202342881412,81.5743781646704,0.999999963134345
"29","L6 IT Car3","SLC9A6",-0.0285434698832231,0.0833055038611984,0.731872268079822,-0.191819257165134,0.134732317398688,7,0.0187894271195457,43.9359247665445,0.976597950696045
"30","L6 IT Car3","SH3KBP1",0.0364572306218134,0.08352287494727,0.662478378925361,-0.127244596160078,0.200159057403705,7,0.0194910585922527,44.4950233984364,0.964355574145928
