"","cell_type","genes","estimate","se","pval","ci.lb","ci.ub","k","tau2","I2","padj"
"1","OPC","JMJD1C",-0.00939830875827621,0.0261839305640192,0.719644297372036,-0.0607178696374514,0.041921252120899,7,0.000163679760545712,3.09533249355709,0.921328746386427
"2","OPC","FGF12",-0.120433496935206,0.044346028794239,0.00661223660275774,-0.207350116229291,-0.0335168776411215,7,2.28757984331749e-06,0.0150580813069687,0.150711814364034
"3","OPC","EPN2",-0.0575565946708056,0.0473850103365725,0.224496454688053,-0.150429508337546,0.0353163189959346,7,0.00247111172826647,15.645812157629,0.64599209848132
"4","OPC","ATP1A1",-0.0537641514881734,0.0311445067769247,0.0842969804773761,-0.114806263087209,0.00727796011086265,7,4.88986117034975e-07,0.00571218074233572,0.460122873058316
"5","OPC","KCNMA1",-0.0700407109360352,0.0353226442617666,0.0473803731086085,-0.139271821527818,-0.000809600344252329,7,2.02014484052462e-06,0.0197883111057233,0.364342005264267
"6","OPC","GRIA4",0.0486214587639355,0.0477575612748912,0.308635553311339,-0.0449816413243161,0.142224558852187,7,2.21234549660164e-06,0.0120780628411919,0.718832817672767
"7","OPC","NRG3",0.0361009333904661,0.0383219148477686,0.34617006738818,-0.0390086395297711,0.111210506310703,7,0.0019904066144527,19.9348758070147,0.751023202779298
"8","OPC","WWOX",-0.0216707852737251,0.0371119908535376,0.559267762774277,-0.0944089507412385,0.0510673801937884,7,0.00129676151214478,13.2689240397226,0.862585880280701
"9","OPC","HNRNPDL",-0.0351242740066575,0.031517207998931,0.265087250576567,-0.0968968665778199,0.026648318564505,7,7.7120844227359e-05,0.914239721542511,0.682642871439176
"10","OPC","LINGO1",-0.0240372162487357,0.0381204953561717,0.528329002892341,-0.0987520142196585,0.0506775817221871,7,2.88642836198405e-06,0.023665523749776,0.850684199608295
"11","OPC","UNC5C",-0.0625644712375827,0.0393653516752756,0.111986271067766,-0.139719142759876,0.0145902002847108,7,6.61884992959925e-08,0.000537159464069881,0.515291310733887
"12","OPC","RTN4",-0.00672025776607038,0.0256797898002314,0.793557040794711,-0.057051720905083,0.0436112053729423,7,4.25357293465628e-06,0.0772232037039807,0.943796510138532
"13","OPC","MBD5",0.0375335671947323,0.0433843532004826,0.3869615999163,-0.0474982025707786,0.122565336960243,7,0.00520884754252634,45.7805638548826,0.778591011653062
"14","OPC","DAB1",-0.0414181114134386,0.050477847091444,0.411919412890561,-0.140352873729789,0.0575166509029115,7,0.00547188251781197,34.1579137001442,0.792257747707115
"15","OPC","MIR3681HG",-0.0897359561712218,0.0681914323974691,0.188193578205078,-0.223388707724459,0.0439167953820155,7,9.08914998730178e-07,0.00225596988282596,0.61294159190716
"16","OPC","SYT1",-0.128609644119972,0.116261033730519,0.268633677765233,-0.356477083037185,0.0992577947972416,7,0.0319184500735923,40.7230091372177,0.686538776065999
"17","OPC","BEX3",-0.00645643613941252,0.0498104731335446,0.89686703754196,-0.10408316953406,0.0911702972552349,7,4.98833907024415e-07,0.00218490031495459,0.974947345670697
"18","OPC","SPRED1",0.0236126317461044,0.0466732454487983,0.612917272701823,-0.0678652483751383,0.115090511867347,7,0.00162065542655871,10.2055118968454,0.885973099085681
"19","OPC","TBC1D5",0.00250650624187309,0.0272941579017723,0.926830671083581,-0.05098906023395,0.0560020727176962,7,2.63720013700339e-07,0.00437368148281491,0.982854525706521
"20","OPC","PPP2R2B",-0.0997362952382309,0.0332160580021294,0.00267637429152072,-0.164838572630798,-0.0346340178456638,7,9.0192116024278e-06,0.102925473151542,0.10107060159874
"21","OPC","LHFPL3",-0.151901417957581,0.0394958899669363,0.000120058970539879,-0.229311939830133,-0.0744908960850288,7,0.00111486459675767,10.0021546284146,0.0216260355225616
"22","OPC","TJP1",-0.0209058226271116,0.0317635062533825,0.510428177232818,-0.083161150906454,0.0413495056522309,7,0.00191292270179862,30.3192402547058,0.841583783682216
"23","OPC","GRIA2",-0.0256547047373128,0.0270582737526605,0.343064337599051,-0.0786879467763528,0.0273785373017272,7,2.05852006297013e-06,0.0350401993976504,0.747689000586085
"24","OPC","SLC24A2",0.106803364193785,0.05583406552812,0.0557645702533112,-0.00262939335177935,0.21623612173935,7,5.00870761854487e-07,0.00190873752962213,0.392811580032601
"25","OPC","KCNIP4",-0.0985205583163973,0.0436001608934349,0.0238437585540219,-0.183975303387682,-0.0130658132451131,7,0.00136714236373207,9.91876130592025,0.274487371706117
"26","OPC","MBP",-0.0474342047891216,0.0315519662020926,0.132744267941471,-0.109274922186648,0.014406512608405,7,3.77619586708508e-07,0.00457221994063661,0.549871317663697
"27","OPC","SAMD4A",-0.00964447957770476,0.0456262546436736,0.832590729848624,-0.0990702954287584,0.0797813362733488,7,2.51845232543502e-06,0.0154288576230236,0.955800786889208
"28","OPC","DDX17",0.0206810733096629,0.0280380176501923,0.460752536789824,-0.0342724314826124,0.0756345781019381,7,0.00122732970342088,24.2591165761303,0.813679505310673
"29","OPC","TCF4",0.083864168648244,0.0635847476104179,0.187190741025807,-0.0407596466342444,0.208487983930732,7,0.0139366911300711,60.0530726233792,0.612423973908556
"30","OPC","GPC6",-0.180517385930193,0.0510854667210817,0.000409886922430473,-0.280643060836932,-0.080391711023453,7,3.51230200765219e-08,0.000169150794202464,0.0390404402032121
"31","OPC","SGK3",0.102324654628793,0.0537268165306632,0.056840416679571,-0.00297797077529813,0.207627280032884,7,0.00678430684838331,37.5611866943069,0.39449298899386
"32","OPC","SNAP25",0.0335478720397926,0.0489203202554737,0.492860941509532,-0.0623341937731011,0.129429937852686,7,0.00477391721512682,32.7446563012584,0.833836457629147
