"","cell_type","genes","estimate","se","pval","ci.lb","ci.ub","k","tau2","I2","padj"
"1","Oligo","SH3TC2",0.135970458958448,0.0989568431924217,0.169429897978326,-0.0579813897224759,0.329922307639373,7,0.0545811389673141,88.9054122669126,0.56602391250203
"2","Oligo","DIS3L2",-0.040931408840801,0.0335259652751001,0.222128878698691,-0.106641093326938,0.0247782756453356,7,0.00166168326714271,22.1989941154686,0.626805160370508
"3","Oligo","KLF13",-0.0318305531848468,0.0637847067940841,0.617757466088203,-0.156846281265699,0.0931851748960053,7,0.0118987115713704,51.334964446817,0.879352482272521
"4","Oligo","PHACTR1",0.143286781007548,0.148438731020025,0.334398370304011,-0.147647785702529,0.434221347717625,7,0.106550201198537,87.8680861633455,0.727372918239136
"5","Oligo","GLCE",-0.0480432385876196,0.0396883668661285,0.226082544638464,-0.125831008250444,0.0297445310752052,7,3.01361513259805e-06,0.0245409602997839,0.631911432722365
"6","Oligo","EPC2",-0.00671571646978496,0.0285554799518805,0.814067976690719,-0.0626834287367263,0.0492519957971564,7,0.000148826391750331,2.35462274248281,0.957567764156157
"7","Oligo","BAIAP2L2",0.151499822605308,0.0619564970760895,0.01447472418134,0.0300673197279118,0.272932325482705,7,7.07036966312204e-07,0.002306935359164,0.196008641434294
"8","Oligo","MT-CO1",-0.00258183814381387,0.195310237340965,0.989452939965821,-0.385382869144076,0.380219192856448,6,0.168699876493428,84.9484245353825,0.997947518126751
"9","Oligo","ABCC5",0.0944180662118053,0.0572225849572635,0.0989400729822447,-0.0177361394067145,0.206572271830325,7,0.0105137889957018,56.1118103959261,0.462039689410923
"10","Oligo","PLEKHH1",-0.0310818616087844,0.0567466359494163,0.583876986556596,-0.142303224313446,0.0801395010958774,7,0.010847578789725,58.2742651618085,0.871079380652662
"11","Oligo","MSRA",-0.105880409405078,0.0661963416911721,0.109711692235461,-0.235622855028083,0.0238620362179262,6,0.00376794848189993,14.0465273497753,0.482604085662619
"12","Oligo","RFC1",0.0152926653247492,0.0232037827057205,0.509857785674303,-0.0301859130835564,0.0607712437330548,7,5.43699932549782e-07,0.0117650046116501,0.835587134075433
"13","Oligo","KCNK1",-0.181394368766451,0.0487622553991956,0.000199242535592626,-0.276966633153819,-0.0858221043790842,7,6.58458159777608e-07,0.00352115136995497,0.0179149432426929
"14","Oligo","FAM222A",-0.114725497628856,0.0358808233553486,0.00138670433027854,-0.185050619140983,-0.0444003761167294,7,0.00022323080255177,2.13662896354573,0.055520501676435
"15","Oligo","PIK3IP1",-0.00652102696997763,0.0371009533581117,0.860479035392782,-0.079237559343977,0.0661955054040218,7,0.000596888123352891,5.45537161812385,0.971291757821203
"16","Oligo","ENTPD1-AS1",0.0266606162781772,0.047811803554576,0.577106776594276,-0.0670487967246958,0.12037002928105,7,0.00544160689323,38.0037133441598,0.868032733153567
"17","Oligo","ANKUB1",-0.00597238350452115,0.118937949667272,0.959951632133551,-0.239086481247411,0.227141714238369,7,0.020473493185452,21.5484708987517,0.992988867791457
"18","Oligo","LCORL",0.0430677235232058,0.0661013901275438,0.514697732509099,-0.0864886204548116,0.172624067501223,7,0.01885554580224,74.1943978674689,0.837054405567373
"19","Oligo","EPB41L3",-0.0049192203918317,0.0340107573413523,0.884997332123178,-0.0715790798678135,0.0617406390841501,7,0.000208163504100748,2.23484064412493,0.973129411531077
"20","Oligo","CEP164",0.0253087836542614,0.0294292204711189,0.389795522516431,-0.0323714285622205,0.0829889958707433,7,1.53364524005929e-06,0.0207491320702565,0.766301740577974
"21","Oligo","CDK12",0.0153658613886808,0.0374941080980963,0.681937484938623,-0.0581212401160395,0.088852962893401,7,6.1994772771156e-06,0.0530142296633624,0.907254760526495
"22","Oligo","RYR2",-0.0257862357456112,0.04902521446839,0.598902762950586,-0.121873890438007,0.0703014189467852,7,0,0,0.874537038860868
"23","Oligo","DYM",0.0337771628893436,0.0447434428783412,0.450304454726525,-0.0539183736965303,0.121472699475218,7,0.00740906952947521,63.7555932220254,0.801711556437661
"24","Oligo","DCC",-0.264377493013812,0.0682255559854443,0.000106602472918373,-0.398097125570504,-0.13065786045712,7,5.14071246617429e-06,0.0137953253765391,0.0116603323470509
"25","Oligo","GTF2I",0.0302535491893682,0.0407467001519065,0.457797467831692,-0.0496085155972214,0.110115613975958,7,0.00599771877785459,65.9478770189444,0.805194818351894
"26","Oligo","ZNF248",0.0257171998652944,0.0383773695446116,0.502785332663928,-0.0495010622635286,0.100935461994117,7,0.00276911231184337,29.2653613801052,0.831834146197454
"27","Oligo","NUTM2A-AS1",-0.0295358395706809,0.0617187881673413,0.632255181613962,-0.150502441548127,0.0914307624067649,7,0.00521488569329216,19.977891611308,0.888154041695238
"28","Oligo","SLC38A2",-0.114442775415397,0.0475878820362315,0.0161781215563604,-0.207713310306951,-0.0211722405238427,7,9.23322272995647e-08,0.000471056642600182,0.209329109406077
"29","Oligo","TSPYL4",-0.105911265985055,0.0702851458394313,0.131841471948622,-0.243667620478485,0.031845088508376,6,0.0111251798986778,44.9214078255305,0.517358012457762
"30","Oligo","MAP2K4",0.0827020300490889,0.0538877205382601,0.124855048913725,-0.0229159614148603,0.188320021513038,7,0.00904376617865264,50.9961919338664,0.509427982751361
"31","Oligo","FKBP3",0.00337933665774052,0.02287841288309,0.882572802208367,-0.041461528616553,0.0482202019320341,7,2.35995071639795e-08,0.000469493933298769,0.972658747992111
"32","Oligo","GNAS",-0.0140324943902134,0.0329070335222644,0.669795694414938,-0.0785290949319039,0.0504641061514771,7,0,0,0.903333505648262
"33","Oligo","ENO1",-0.0666913616818368,0.0357943415545086,0.0624367084891534,-0.136846981978999,0.00346425861532557,7,5.44433997868952e-07,0.00461458469940608,0.383142554696309
"34","Oligo","SSBP3",0.00207746210258342,0.0353719385385609,0.953165629367415,-0.0672502634963603,0.0714051877015271,7,1.00709526552974e-06,0.0099766130023812,0.992646969727942
"35","Oligo","FBXO25",-0.00979719931650262,0.0288595441836238,0.734249172333412,-0.0663608665266477,0.0467664678936424,7,0.00121871768916256,22.4274832779163,0.929180571379501
"36","Oligo","TASOR2",0.0211199756474642,0.025435331896431,0.406346530520553,-0.0287323588043634,0.0709723100992919,5,4.4998406681965e-06,0.116440175454162,0.774028130847947
"37","Oligo","PPP2R3C",0.0934735384424661,0.0305394440610398,0.00220784925564626,0.0336173279749524,0.15332974890998,7,3.34596720192243e-07,0.00433253760394604,0.0720777864689441
"38","Oligo","GPR137C",0.0483917284175402,0.0464612933408791,0.297620676434209,-0.0426707332057334,0.139454190040814,7,0.00410602109964254,29.4110922822143,0.695911414674391
"39","Oligo","YAF2",0.0076671677184389,0.0378060760112188,0.839289383394938,-0.0664313796603337,0.0817657150972114,7,0.00345352791535112,40.3057971186576,0.964289118809992
"40","Oligo","NMT1",0.0475626845974616,0.0360910060923607,0.187552454122822,-0.023174387509381,0.118299756704304,7,0.000579872907698139,5.45498621714622,0.583900099249747
"41","Oligo","RTL8C",0.0114476249959402,0.0414012051654239,0.782160502507352,-0.0696972460448444,0.0925924960367248,5,2.9176030139363e-07,0.002518328370013,0.944773496361389
"42","Oligo","HPN-AS1",0.0598908176334304,0.096723311843389,0.535786362463632,-0.129683390045049,0.249465025311909,7,0.0322435021955505,63.4356571174647,0.847070973884538
"43","Oligo","LRRTM4",-0.198038217687437,0.0625307246115738,0.00153991414099666,-0.320596185853314,-0.0754802495215604,7,0,0,0.0589837149313161
"44","Oligo","MYO18A",-0.0680704423553085,0.0346126217914788,0.0492251424334209,-0.135909934477113,-0.000230950233503793,7,8.17533170406202e-06,0.0789235710149844,0.343378541235106
