"","cell_type","genes","estimate","se","pval","ci.lb","ci.ub","k","tau2","I2","padj"
"1","Vip","EYA4",-0.181007705722624,0.111194683938853,0.103557764704276,-0.39894528151509,0.0369298700698418,7,0.0501808917487632,62.9438500357559,0.454242759347855
"2","Vip","LUC7L",-0.10946706220586,0.0575350507839042,0.0570907741887294,-0.222233689590996,0.00329956517927492,7,0.0128483932233215,63.8810324734255,0.347537446830015
"3","Vip","RBFOX3",-0.0209389927437066,0.110897494978469,0.850238647372705,-0.238294088877218,0.196416103389804,7,0.066757978697162,86.6194288367205,0.960043687991333
"4","Vip","TTN-AS1",0.0940854863269476,0.102463308276647,0.358495386586322,-0.106738907632105,0.294909880286001,7,0.0564223362866282,81.3697597441193,0.736241008416761
"5","Vip","NPAS1",0.0563580282201977,0.139925699229091,0.687116621151428,-0.217891302780404,0.330607359220799,7,0.106301057958372,88.9780812102821,0.907001804665644
"6","Vip","EEF2",0.00507913701312925,0.099903345643396,0.959452610527607,-0.190727822382983,0.200886096409242,7,0.0435110809087371,75.4308588163048,0.989889708368124
"7","Vip","PGP",0.0392550255170847,0.145915268512238,0.787909545729838,-0.246733645561393,0.325243696595562,7,0.113203259072055,83.5558075303122,0.940948801022995
"8","Vip","SLC5A4-AS1",0.0878217098971041,0.188625833885643,0.641511249531953,-0.281878131072591,0.457521550866799,5,0.137380052094483,83.1182546493377,0.887521161878707
"9","Vip","SUSD1",-0.0595578636920256,0.0707324855104258,0.399779162404547,-0.198190987829461,0.0790752604454101,7,0.0226408965751439,72.1803686089104,0.761010155229233
"10","Vip","SLITRK4",0.00114364200634458,0.0658677030998837,0.986147255608636,-0.127954683813805,0.130241967826494,7,0.015712393497518,61.6513236056681,0.996007288743826
"11","Vip","COMT",0.0042670733846221,0.0680370096434033,0.949991903881963,-0.129083015132253,0.137617161901497,6,0.0189529182385131,77.6375083046334,0.98666403557874
"12","Vip","TMEM50B",-0.0128545732162036,0.0598649122727536,0.829980688986533,-0.13018764520845,0.104478498776043,7,0.0169955854784242,78.596958189624,0.952156673639762
"13","Vip","PLXNA2",-0.0283022623301279,0.0881087823383247,0.748044027116831,-0.200992302434923,0.144387777774667,7,0.0394599544599768,80.0874267723,0.928363491280587
"14","Vip","CFAP46",-0.0318950614299509,0.13188360421456,0.808902200794103,-0.290382175841824,0.226592052981922,7,0.0877966918989175,85.0916994451684,0.946214662142704
"15","Vip","PBX1",0.0411383065300001,0.062962035523862,0.51350957095472,-0.0822650154901009,0.164541628550101,7,0.0185643720695448,75.309659896592,0.828451731457492
"16","Vip","DNMT3A",-0.0394389196536828,0.0654863533182072,0.547010142699564,-0.167789813636234,0.0889119743288682,7,0.0168200337481852,67.0684534851087,0.846196441406133
"17","Vip","SEMA6D",-0.00743653614861632,0.037269808906105,0.841846265029407,-0.0804840193152722,0.0656109470180395,7,0,0,0.956982952336287
"18","Vip","MACC1",-0.172381052957201,0.1089667723583,0.11365874884306,-0.385952002291043,0.0411898963766414,7,0.0586236766812152,77.3182486781691,0.469249231873243
"19","Vip","SLC25A48",-0.00151524908309634,0.0607247666985896,0.980092662920199,-0.120533604781929,0.117503106615737,6,0.00888776900563421,42.6106325024302,0.994736727130534
"20","Vip","KCNG2",0.0263148144351929,0.111248098640666,0.81301235281969,-0.191727452249072,0.244357081119458,7,0.0570247557165112,77.8850580631808,0.947316489910895
"21","Vip","EPHB1",-0.00456079302980014,0.0596833000787871,0.939087687843818,-0.121537911662719,0.112416325603119,7,0.0164013596042405,71.4205041120512,0.983774563388798
"22","Vip","SSU72",-0.070994704998527,0.062654550028407,0.25716666972917,-0.193795366521768,0.0518059565247138,7,0.0145702267345357,65.462604304326,0.646607838368821
"23","Vip","CCDC57",-0.0527218102585713,0.0650919790906972,0.417963952600135,-0.180299744958772,0.0748561244416295,7,0.017266153793373,69.2727426046824,0.773096534526921
"24","Vip","PODXL2",0.020217157091401,0.0248194275586593,0.415318581133461,-0.028428027040472,0.068862341223274,7,1.73637303471694e-07,0.0031990569699413,0.77078145484143
"25","Vip","CALY",0.0171755903907927,0.0974858901330179,0.860148291743325,-0.173893243270751,0.208244424052336,7,0.0351862611556252,67.2942017792569,0.96346355398105
"26","Vip","CDK5R1",0.0016578818939569,0.0343325745086085,0.961486009183396,-0.0656327276394538,0.0689484914273676,7,4.62730482444254e-06,0.0481356163589952,0.990103793518046
"27","Vip","TENM4",0.0408925879396031,0.0502691617890129,0.415947124526266,-0.0576331586998792,0.139418334579085,7,0.0068656614749982,41.8418167676904,0.771207429839093
"28","Vip","SSBP4",-0.0207768697238203,0.0734648942315564,0.777319743998339,-0.164765416545715,0.123211677098075,7,0.0235673722751314,76.9858223276097,0.937565050523906
"29","Vip","PDCD7",-0.0180175586091149,0.0698150003071412,0.796348446008414,-0.154852444791764,0.118817327573535,7,0.0164376259808926,59.2643637447736,0.942973067609423
"30","Vip","ZNF566",-0.0561193717494602,0.0468612192330563,0.231086277770275,-0.147965673717886,0.035726930218966,7,0.00763104507087273,60.205682053283,0.619415558106559
"31","Vip","IQSEC3",-0.0113695949606241,0.055363276673602,0.837288153734886,-0.11987962330701,0.0971404333857623,7,0.0108431562159213,60.3207021411885,0.955187572595417
"32","Vip","DNAH7",-0.0565891831606464,0.0419571942418056,0.177421740972751,-0.138823772766937,0.0256454064456439,7,1.4212060765245e-06,0.0103596073890159,0.566729486223993
"33","Vip","NBDY",0.12032912783437,0.0579994098881379,0.0380179417305774,0.00665237332904375,0.234005882339697,5,0.00722013152697464,46.4828318442127,0.293763425800927
"34","Vip","MIRLET7BHG",0.0544936731028532,0.10176379054313,0.592309841741112,-0.14495969129196,0.253947037497666,5,0.032530386002862,65.0638845522092,0.867496655715446
"35","Vip","CREG1",0.0087502977460705,0.0747585830024722,0.906822492064902,-0.137773832474023,0.155274427966164,7,0.0265014170382945,77.4737953374234,0.975477377977938
"36","Vip","SLC25A6",-0.0445203663664514,0.077459055620177,0.565453626430834,-0.196337325658483,0.10729659292558,6,0.0157285416534539,51.849579060887,0.853105768533619
"37","Vip","NCDN",0.0519864106368426,0.110690994680515,0.638602610578064,-0.164963952349881,0.268936773623566,7,0.0561230774956426,78.2861573188448,0.886223490774761
"38","Vip","HIP1",-0.00600101880766481,0.0651838131690866,0.926647968032127,-0.133758944994062,0.121756907378733,7,0.0146858399324022,60.4284509370092,0.979987182890377
"39","Vip","RALYL",0.0693078801626736,0.0516451571141785,0.179595497699065,-0.0319147677570288,0.170530528082376,7,0,0,0.567558385130178
"40","Vip","EFNA3",-0.185487413706549,0.126030751047514,0.141084850929276,-0.432503146704211,0.0615283192911131,7,0.0703419180975985,77.3890959108968,0.51578205745601
"41","Vip","FAM153CP",-0.00558701659114656,0.0383278227001817,0.884103579895125,-0.0807081686893393,0.0695341355070462,5,2.50368281042387e-06,0.0305470090321686,0.971229853153123
"42","Vip","KIRREL3",-0.0693930604678023,0.0573965344687373,0.226658492646098,-0.181888200863939,0.0431020799283346,7,0.00988145038935601,46.4456191333237,0.617222920056935
"43","Vip","SUPT5H",-0.0107432949078769,0.0254622060434869,0.673075357646986,-0.0606483017200492,0.0391617119042955,7,0,0,0.900677820812095
"44","Vip","USP11",-0.0232013476083427,0.0411902380669766,0.573249023088405,-0.103932730734248,0.0575300355175622,7,0.00403748673876874,38.6628542976595,0.85725474981888
"45","Vip","SAP30",0.011905496656136,0.131657251104347,0.927947138721817,-0.246137973811931,0.269948967124203,7,0.0879683011100698,81.4591535885447,0.980362010662713
"46","Vip","CTSF",-0.147071180206159,0.0979701447191132,0.133308065609601,-0.339089135415797,0.0449467750034802,7,0.0408763122131955,75.6269031374062,0.501226551512974
"47","Vip","MAPK8IP2",-0.0460923665569444,0.031453583558144,0.142809344976285,-0.107740257515628,0.0155555244017391,7,4.56859063089546e-08,0.000543270548290549,0.517308242428944
"48","Vip","SF3B3",0.0140832422797331,0.0244896248393771,0.565244129583142,-0.0339155404003436,0.0620820249598098,7,0.000283407154250495,6.20832212762035,0.853105768533619
"49","Vip","NDUFS5",-0.0654826303212567,0.0903884774749442,0.468784774895526,-0.242640790789557,0.111675530147044,6,0.0232772074435404,51.3386156645679,0.806603568292824
"50","Vip","TSHZ3",0.116573064516569,0.0401965421907619,0.00373071089266518,0.0377892895196305,0.195356839513507,7,6.56542203608745e-06,0.0522927903744637,0.0904191034038414
