"cell_type","genes","estimate","se","pval","ci.lb","ci.ub","k","tau2","I2","padj"
"Endo-2","R3HDM2",0.256187990608293,0.38250649144804,0.503010058080813,-0.493510956482644,1.00588693769923,7,0.837826754919372,96.8896708980976,0.84302091478747
"Endo-2","IQCJ-SCHIP1",0.21414731592904,0.442222860466395,0.628207018640962,-0.652593563725376,1.08088819558346,7,1.04749556417506,92.7107959721428,0.900523771432641
"Endo-2","CACNA2D3",0.11315499806667,0.38179579649091,0.7669431775013,-0.635151012504299,0.861461008637638,7,0.761215353777243,91.3059956031265,0.947242265730046
"Endo-2","PDZD2",0.38690265737223,0.331617934465081,0.243326653890299,-0.263056550806893,1.03686186555135,7,0.602908693607645,93.3182841988391,0.700744965249259
"Endo-2","GMDS",0.348907032252644,0.305953668743951,0.254123138575812,-0.250751139423397,0.948565203928686,7,0.526790663140009,95.5261511206691,0.70838835345876
"Endo-2","SYN3",0.0544723047156536,0.462876896981558,0.906319585544618,-0.852749742643857,0.961694352075164,7,1.16371903594795,92.1126673488626,0.986730683919281
"Endo-2","GTF2IRD1",0.371788111864172,0.409250367661191,0.363634563257884,-0.430327869411537,1.17390409313988,7,0.88097305980501,91.7693933020002,0.775746964224185
"Endo-2","MTHFD1L",0.735886107410685,0.36921528427149,0.0462495715918717,0.0122374476968469,1.45953476712452,6,0.603171437128005,86.3309767129607,0.375484713142764
"Endo-2","FRMD4A",0.0511866161634397,0.395638549006044,0.897059170845863,-0.724250690784092,0.826623923110971,7,0.847071551033573,94.7065703370265,0.984362500303768
"Endo-2","KCNIP4",0.27186033354517,0.330897127565781,0.411312755867493,-0.376686119071516,0.920406786161856,7,0.50919011001183,87.4799818452071,0.798153076309103
"Endo-2","TBC1D19",0.145882852352704,0.384039759121448,0.704046423238147,-0.606821244156772,0.898586948862181,7,0.799140759075539,94.8870417563807,0.925412258117486
"Endo-2","PRKAG2",0.244349669404661,0.303638644739222,0.420970670074216,-0.350771138598766,0.839470477408088,7,0.489676864463176,92.1005495139177,0.803172008622828
"Endo-2","ASIC2",0.243355582064565,0.356545364289502,0.494899138152497,-0.455460490797572,0.942171654926701,6,0.566457039173297,87.4297779718371,0.840360532622379
"Endo-2","TRERF1",-0.0386119447062424,0.4390340400234,0.929918406066554,-0.899102851139223,0.821878961726738,6,0.965729370986192,91.6211147860385,0.987719987319261
"Endo-2","RBM6",0.26716386799542,0.275231633538688,0.331703987661222,-0.272280221146534,0.806607957137374,7,0.415169669067625,96.2470210471231,0.75868808862338
"Endo-2","RASGEF1B",0.271423964430542,0.256933293880486,0.290786158708583,-0.232156038004456,0.775003966865539,7,0.302385283527439,78.7811668542223,0.728881698413777
"Endo-2","RBMS1",0.402658399442952,0.214237014279519,0.0601762973922922,-0.0172384327002991,0.822555231586202,7,0.220962263623277,86.9984347545281,0.421952604699983
"Endo-2","ZNF609",0.345476195040151,0.248802049348177,0.164967050832407,-0.142166860962033,0.833119251042336,7,0.320084876248776,93.5419825226498,0.61411664406549
"Endo-2","SRRM3",0.366958764073634,0.365736307299794,0.315695659134858,-0.349871226072636,1.0837887542199,6,0.560326769120297,85.8133976298861,0.746295642376165
"Endo-2","CACNA1D",0.291486901225431,0.355860401711798,0.412726722861233,-0.405986669653648,0.98896047210451,5,0.508050878097298,89.7544793888231,0.799858076635899
"Endo-2","LPP",0.258102533699228,0.235850167770585,0.273801685086413,-0.204155300878848,0.720360368277305,7,0.284310429239017,91.0310820184467,0.718620010692518
"Endo-2","VTI1A",0.241759691233752,0.230109051646691,0.293428121169689,-0.20924576251043,0.692765144977933,7,0.277899028453689,93.492429710393,0.731952620573736
"Endo-2","GTF2I",0.10785594489904,0.283855930851213,0.703969758682656,-0.44849145636743,0.664203346165509,7,0.442164974132655,94.9509711861133,0.925412258117486
"Endo-2","MT-ND4L",0.348551684056554,0.53853284347083,0.517486616535277,-0.706953293638219,1.40405666175133,6,1.36043674096204,95.1354657083406,0.848076322493977
"Endo-2","STAG1",0.183710831860372,0.230315889468935,0.425075233264651,-0.267700016566049,0.635121680286793,7,0.283016696713087,95.1267136365129,0.806348024468595
"Endo-2","DNMT3A",0.0464801734417028,0.358163384124709,0.896745502477492,-0.655507160023711,0.748467506907117,6,0.647113402672462,94.2280795392169,0.984362500303768
"Endo-2","SETBP1",0.251125104727195,0.240028771823077,0.295455234418725,-0.219322643299418,0.721572852753807,7,0.261646659750855,81.7333157595221,0.732093191613486
"Endo-2","CERS4",0.373204661511272,0.336808155212373,0.267834600349621,-0.286927192404355,1.0333365154269,6,0.511070772656243,88.7277357028359,0.716183043272395
"Endo-2","CREBBP",0.222277871350691,0.237097935565609,0.34850455344617,-0.242425543166702,0.686981285868083,7,0.293168201446588,94.1162701164446,0.768105931327782
"Endo-2","TMEM132D",0.4060270413598,0.354916891194368,0.252621162340668,-0.289597282886081,1.10165136560568,6,0.551980593727659,86.6217433922985,0.708189198351161
"Endo-2","LINC00486",0.204012135420973,0.234617979755808,0.384546206599368,-0.255830655025958,0.663854925867904,7,0.256961327136342,88.9422746100577,0.783995251649771
"Endo-2","SNX29",0.0237994199627302,0.298088101327956,0.93636433447956,-0.56044252285999,0.60804136278545,7,0.480810673644671,93.8594269317727,0.988415412024402
"Endo-2","INO80D",0.217084395831953,0.209140686316841,0.299278150383762,-0.192823817051044,0.62699260871495,7,0.207228104234467,88.2466974860406,0.73510391277601
"Endo-2","MFSD11",0.355580586786144,0.252908639435553,0.159734645440478,-0.140111237886566,0.851272411458854,7,0.308799108886545,88.4791305348118,0.606478187185874
"Endo-2","MICAL3",0.132406623076736,0.276137006450347,0.631585728079785,-0.408811964364649,0.673625210518121,7,0.381089691180052,92.2852519848573,0.900931082334198
"Endo-2","EEF1A1",-0.370560321005137,0.258368154097199,0.151505574937408,-0.876952597787743,0.135831955777469,7,0.343692195471864,87.0257677455687,0.597996348505481
"Endo-2","RBFOX1",0.270320194629286,0.257435252037529,0.293694574694543,-0.234243627715262,0.774884016973833,7,0.283921063495841,83.837189275945,0.731952620573736
"Endo-2","ARPP21",0.168124388259452,0.293222612934931,0.566395725178851,-0.406581372545742,0.742830149064646,7,0.388399749647199,83.8449343561165,0.871313525905315
"Endo-2","CUX1",0.234902919449735,0.246326801253125,0.340274475728634,-0.247888739433345,0.717694578332815,7,0.316647590864185,93.7458300369754,0.763981729071317
"Endo-2","SBF2",0.194523375073946,0.25214556038002,0.440426894720374,-0.299672842132562,0.688719592280455,7,0.33593318408576,95.0658088997888,0.814402604852919
"Endo-2","CDK5RAP2",0.0638053221686664,0.0633213997853679,0.31362620475094,-0.060302340861317,0.18791298519865,7,0,0,0.745737389395384
"Endo-2","GATAD2B",0.221489774325725,0.238225520743004,0.352501417170535,-0.245423666528862,0.688403215180312,7,0.291172843918481,92.6474032969217,0.768239135641477
"Endo-2","PATJ",0.0972930528439666,0.0588277022213307,0.0981550314295379,-0.0180071248030886,0.212593230491022,7,9.05868353314133e-06,0.0279723938026823,0.51427398251595
"Endo-2","CEMIP2",0.279944615646011,0.31173764730391,0.369178352433245,-0.331049945694903,0.890939176986924,5,0.43052987646101,94.4000367131783,0.777277862951897
"Endo-2","CALN1",0.162178724152683,0.381282511532445,0.670581152034927,-0.585121266385888,0.909478714691253,6,0.681755059515922,89.9586530278908,0.911044028993664
"Endo-2","PDZRN3",0.278142464304963,0.294729727038598,0.345312531905453,-0.29951718586401,0.855802114473935,7,0.447366678185839,88.5951516445248,0.764744629898721
"Endo-2","PRKAR1A",-0.285727203558901,0.203236497079891,0.15975818723469,-0.684063418179567,0.112609011061764,7,0.192988243590584,84.4563553157188,0.606478187185874
"Endo-2","FRAS1",0.161350712802397,0.308493411875985,0.600954721903777,-0.443285263942414,0.765986689547208,7,0.4610009029803,84.4161684144429,0.887453462962263
"Endo-2","MIR99AHG",0.206977195635726,0.285172344158686,0.467963304224476,-0.35195032830216,0.765904719573612,6,0.375625618433408,87.143565445822,0.827141845936902
"Endo-2","CACNA1C",0.278873098603301,0.237243413761106,0.239805749934155,-0.186115447937801,0.743861645144402,7,0.239972265587696,77.5363856352324,0.695722980562367
"Endo-2","RGS6",0.079563664596898,0.317990520351968,0.802426760348614,-0.54368630271811,0.702813631911906,7,0.470612008700544,83.7732713530311,0.959743587038962
"Endo-2","KSR2",0.347876341700535,0.289222097167303,0.229053720491193,-0.218988552280522,0.914741235681592,5,0.312658824618744,83.2013153788114,0.681921680810223
"Endo-2","USP11",-0.176950398274424,0.21161479141192,0.403047422905883,-0.591707768037743,0.237806971488894,7,0.187583566805524,80.6182043646248,0.79520271159622
"Endo-2","HCFC1R1",-0.430024982888456,0.386604857519479,0.266004292265481,-1.18775657987487,0.327706614097963,6,0.558058400410582,81.0902100119543,0.716026252437132
"Endo-2","NSMCE2",0.197240279717836,0.199168325960911,0.322017971572166,-0.193122466026683,0.587603025462355,7,0.194957592284222,90.4806811317575,0.751659703765834
"Endo-2","RSRP1",0.242356001086895,0.214584864038623,0.258721556638092,-0.178222604056231,0.662934606230021,7,0.222019791785012,89.0909675278211,0.711913631248978
"Endo-2","UNC79",0.121064687751932,0.33199230589457,0.71536438091044,-0.52962827494583,0.771757650449694,6,0.501926286357317,87.7829103654114,0.929825738795595
"Endo-2","PKD1",0.14406289239324,0.237878926923809,0.54477086915288,-0.322171237058462,0.610297021844941,7,0.253329897859057,83.1913736458316,0.864055889021009
"Endo-2","MT-ND5",0.596868506019347,0.433555073193875,0.168609843737939,-0.252883822755275,1.44662083479397,6,0.872669830324034,95.1422559168524,0.617867895224553
"Endo-2","DSCAML1",-0.0499999748797844,0.398366045332156,0.900117717220104,-0.83078307639446,0.730783126634891,6,0.763311991648254,90.5525399421418,0.985952705298189
"Endo-2","GRIN1",0.382270967206299,0.376157154058002,0.3095087579747,-0.354983507274469,1.11952544168707,5,0.59946987492956,92.502416909882,0.743589981953262
"Endo-2","LINGO2",0.271763001249442,0.30779491298457,0.377271216724652,-0.331503942824954,0.875029945323839,6,0.386277993969783,82.6392157635961,0.779885674467182
"Endo-2","MRTFA",0.18293657555327,0.0587661267288844,0.00185221400418135,0.0677570836537403,0.2981160674528,5,0,0,0.0769071717411395
"Endo-2","RAB11FIP3",0.318350739605288,0.220412325139141,0.148642846608031,-0.113649479416161,0.750350958626737,7,0.20775197554097,82.5082584638759,0.595800617529838
"Endo-2","DPYD",0.0502720651238811,0.219127870601852,0.818543382932269,-0.379210669264702,0.479754799512464,7,0.24511601903923,92.1132419297317,0.963148938190562
"Endo-2","ACTB",-0.245234967129522,0.220322405333198,0.265676988034419,-0.677058946569825,0.186589012310781,7,0.226556222922316,82.8323189401889,0.715956303892371
"Endo-2","ITGA9",0.412627305793073,0.291121847463804,0.156374846403218,-0.157961030348746,0.983215641934893,5,0.291152226981184,78.539772236412,0.603260889135359
"Endo-2","PHACTR1",0.23453365742289,0.19503554382647,0.229163084400122,-0.147728984182174,0.616796299027954,7,0.182266268348224,86.4081703479862,0.681921680810223
"Endo-2","TNRC6A",-0.0286339651209133,0.0437093660876598,0.512403970138523,-0.114302748439803,0.0570348181979763,7,0,0,0.848076322493977
"Endo-2","ATG7",0.18183780529932,0.202873432834957,0.370086380905081,-0.215786816477201,0.579462427075841,7,0.194031821792958,88.5554397653447,0.777277862951897
"Endo-2","ZDHHC14",0.401161063963325,0.242040377540847,0.0974358415455074,-0.0732293588212119,0.875551486747862,7,0.28123326187881,89.1123560171622,0.511266102286813
"Endo-2","TYW1",0.139531878146371,0.206784506245085,0.499822220109656,-0.265758306654894,0.544822062947636,7,0.188533536099688,86.1453919913922,0.842747215843063
"Endo-2","PITPNM2",0.34537487144308,0.276189849042408,0.211117662204972,-0.195947285575595,0.886697028461754,7,0.336945006603391,78.5639919530232,0.665739354346246
"Endo-2","ABHD18",0.0534000194994809,0.0636003441174397,0.401122376278266,-0.0712543643750548,0.178054403374017,7,0,0,0.795136254749069
