"cell_type","genes","estimate","se","pval","ci.lb","ci.ub","k","tau2","I2","padj"
"L5_6 NP-1","MT-ND1",-0.0881870053026082,0.405287115345811,0.827747457933765,-0.882535154778528,0.706161144173312,6,0.857050895475302,91.2404408267819,0.998162526244021
"L5_6 NP-1","MT-ND3",-0.125781020370229,0.454245172503036,0.781855993103426,-1.01608519862736,0.764523157886906,6,1.05834656804235,90.652440129625,0.995616758129011
"L5_6 NP-1","MT-ND2",-0.0688151368290097,0.407258664812785,0.8658190020547,-0.867027452253938,0.729397178595919,6,0.871816252802168,91.6026742927221,0.998162526244021
"L5_6 NP-1","LINC02552",0.200108938155866,0.255326240123382,0.433193719223244,-0.30032129679399,0.700539173105721,5,0.275703541762008,87.9911613226438,0.964621872973681
"L5_6 NP-1","MT-CO2",-0.146124815218581,0.3330834820824,0.660876552049665,-0.798956443945278,0.506706813508115,6,0.524129165863361,86.0782676330006,0.98222991925455
"L5_6 NP-1","MT-ND4",-0.0415535288431282,0.300175085221153,0.889899820465254,-0.62988588493283,0.546778827246573,6,0.428135540877894,84.5937364342576,0.998162526244021
"L5_6 NP-1","MT-ATP6",-0.157924186112937,0.328955226678914,0.631171890361359,-0.802664582929818,0.486816210703944,6,0.522118483066192,85.4993675775684,0.977143351951958
"L5_6 NP-1","MT-CO3",-0.144567726216081,0.313903001552976,0.645122179578882,-0.759806303898935,0.470670851466773,6,0.45817006245137,84.7260031203052,0.978708167992489
"L5_6 NP-1","MT-CO1",0.016914364209715,0.267968546960526,0.949670385161478,-0.508294336822446,0.542123065241876,6,0.332996665571136,83.7854587756647,0.998394989341889
"L5_6 NP-1","PRKG1",-0.440211092020373,0.333088788504902,0.186300434037852,-1.09305312114406,0.212630937103314,7,0.690093076692958,91.1905921278809,0.890623600337868
"L5_6 NP-1","FAIM2",-0.0245910796122406,0.124672781669404,0.843635837488665,-0.268945241536699,0.219763082312217,7,0.0710684508500841,77.780900739043,0.998162526244021
"L5_6 NP-1","SHOC2",0.0308982605854516,0.122820260245392,0.801371135085564,-0.209825026067354,0.271621547238257,7,0.0797759872379877,82.9854744123187,0.995616758129011
"L5_6 NP-1","NCDN",-0.0209946701109663,0.16722030564846,0.900087382945475,-0.348740446665728,0.306751106443795,7,0.125880322801498,76.750440058096,0.998162526244021
"L5_6 NP-1","CRIM1",0.0735381276006846,0.145336201488641,0.612866263580533,-0.211315592966908,0.358391848168277,7,0.109122551718456,80.6420490050173,0.976507350581379
"L5_6 NP-1","NTM",0.166462395995586,0.135280025948914,0.218509030506223,-0.0986815826919286,0.431606374683101,7,0.0926586918402986,77.7825371603477,0.90728098718572
"L5_6 NP-1","MT-CYB",-0.0677839026808298,0.248837026215939,0.785312320003614,-0.555495512084119,0.419927706722459,6,0.256777332985113,77.4289320877085,0.995616758129011
"L5_6 NP-1","MGAT4A",-0.0669240919352368,0.0846316987215397,0.429079022467403,-0.232799173379899,0.0989509895094256,7,0.0278562551931772,65.2851213479415,0.962252663690729
"L5_6 NP-1","MEG3",-0.0902857566697904,0.0385712173908908,0.0192448090454047,-0.165883953595801,-0.0146875597437795,7,2.23106066519075e-07,0.001486901907129,0.566961402118457
"L5_6 NP-1","TSPYL1",-0.00667888205059715,0.143043142605456,0.962759198819284,-0.287038289792719,0.273680525691524,7,0.0848025768522,68.210513638428,0.999518068562475
"L5_6 NP-1","RASGRF2",-0.227578455425433,0.145783104473375,0.118505901222552,-0.513308089747687,0.0581511788968209,7,0.0951877982115615,69.1258049072435,0.822542302311163
"L5_6 NP-1","LUC7L",-0.0395771691487531,0.0754805940254461,0.600045079373334,-0.187516414970317,0.10836207667281,7,0.0184039342978433,51.7597253447215,0.975082464206165
"L5_6 NP-1","ZNF248",-0.0317851616211579,0.0613341230268585,0.60429804419733,-0.151997833777149,0.0884275105348336,7,0.0115234959053924,50.2078185405128,0.975784851358047
"L5_6 NP-1","OCRL",-0.114836015190453,0.154880276157671,0.458420502818563,-0.418395778375106,0.1887237479942,7,0.122324523429752,85.2261079042499,0.967995340351015
"L5_6 NP-1","PPP2R1A",-0.101283276811228,0.140140919058966,0.469849155280979,-0.375954430927143,0.173387877304687,7,0.0903163340427589,76.8505444840642,0.967995340351015
"L5_6 NP-1","MT-ND5",0.0626429986761031,0.27834086246411,0.821933704383298,-0.482895067179368,0.608181064531574,6,0.356592397199197,80.8835376036745,0.998162526244021
"L5_6 NP-1","NDRG3",-0.0676873070314863,0.0498800448805521,0.17478066186722,-0.16545039854461,0.0300757844816374,7,0.00405187055596112,24.2937514461388,0.884768284400779
"L5_6 NP-1","ELAVL3",-0.0459738042236252,0.084024743141442,0.584278414333798,-0.21065927459108,0.11871166614383,7,0.0299448498058923,68.641539656564,0.974971088574139
"L5_6 NP-1","GRK3",-0.0581387276479223,0.137032624644332,0.67136946886417,-0.326717736657809,0.210440281361964,7,0.107234151396595,88.7912443732446,0.982631886797423
"L5_6 NP-1","CTDSPL2",-0.0112004371850689,0.0805551460421003,0.889418053255475,-0.16908562219695,0.146684747826812,7,0.0260380349198284,67.0616806906828,0.998162526244021
"L5_6 NP-1","SAMD5",-0.0825404902641564,0.0429097576829126,0.0544068448184039,-0.166642069908006,0.00156108937969311,7,2.09045658094726e-06,0.0147162240482071,0.715753007050006
"L5_6 NP-1","GDI1",-0.0198565905435549,0.115412001674441,0.863398522777383,-0.246059957209137,0.206346776122027,7,0.0497255715870792,64.1054893083879,0.998162526244021
"L5_6 NP-1","TSPYL4",0.203220224032335,0.246306719653361,0.40933199147097,-0.279532075638457,0.685972523703126,7,0.331795533791974,88.1732352185421,0.960780986622246
"L5_6 NP-1","SORBS2",-0.0223241899424556,0.0429182241806937,0.602954555508702,-0.106442363617031,0.0617939837321202,7,2.61539564190657e-07,0.00188831724661709,0.975248885941506
"L5_6 NP-1","CSNK1E",-0.0491053011967455,0.0551357084070301,0.373129789934491,-0.157169303936627,0.0589587015431358,7,3.63433858238872e-07,0.00146731185229124,0.943368701445621
"L5_6 NP-1","EDIL3",-0.0344846397315317,0.140365578813487,0.805932027410129,-0.309596118875085,0.240626839412022,7,0.090465650740586,71.1170364869089,0.996988782384356
"L5_6 NP-1","RAP2A",0.0317092063528143,0.101744670370178,0.755302946317193,-0.167706683191635,0.231125095897264,7,0.0426314544813699,70.289645641975,0.995035170484152
"L5_6 NP-1","HRH2",-0.0604270172543968,0.100233357956573,0.546599603732242,-0.25688078889879,0.136026754389997,7,0.0465354107540095,75.2266321745697,0.971277044903729
"L5_6 NP-1","SPARCL1",0.0305730998921099,0.135173575288468,0.82106406827797,-0.234362239334801,0.295508439119021,7,0.0786752749743638,67.8763533256604,0.998162526244021
"L5_6 NP-1","HOOK2",0.0128649658591516,0.106486965895574,0.903839479945472,-0.195845652119118,0.221575583837421,7,0.0415495864693806,59.3769636023975,0.998162526244021
"L5_6 NP-1","MT-ND4L",-0.245627559947222,0.366961490134969,0.503268960045672,-0.964858864324911,0.473603744430468,6,0.651774316789709,86.5198856750896,0.968167449680717
"L5_6 NP-1","SLC36A1",-0.0859710519377905,0.10872927230847,0.429125430367063,-0.29907650972764,0.127134405852059,7,0.0551042336138213,74.4264561662799,0.962252663690729
"L5_6 NP-1","LRRC1",-0.0991545986023014,0.0741587887179761,0.181203719060843,-0.24450315362665,0.0461939564220471,7,0.0166030368020009,48.6396902095192,0.888015726312905
"L5_6 NP-1","SESN3",0.0999445711197307,0.163864163705612,0.541912618539211,-0.221223288100045,0.421112430339506,7,0.136212389935778,81.2913712482221,0.971219488178825
"L5_6 NP-1","MAP2K4",-0.0175039566417897,0.0712634076113549,0.80597381509827,-0.157177668975643,0.122169755692063,7,0.0199525301736985,65.8362989684792,0.996988782384356
"L5_6 NP-1","KLHL9",-0.102099889425322,0.200139318014379,0.609950521318211,-0.494365744623912,0.290165965773269,6,0.182236731729262,83.2190727302713,0.976507350581379
"L5_6 NP-1","CNKSR2",0.0610760324063784,0.0389835323727626,0.117181638077244,-0.0153302870343877,0.137482351847144,7,8.58073612903915e-08,0.000724414909075121,0.820882714074464
"L5_6 NP-1","ARHGAP32",0.0585703096077509,0.0625732413582297,0.349258741523663,-0.0640709898503114,0.181211609065813,7,0.0168225770899951,69.7076215912567,0.939598926527724
"L5_6 NP-1","ARGLU1",-0.0340244934511557,0.070755363180909,0.63060525964001,-0.172702456998789,0.104653470096477,7,0.0190305173164794,63.3035120832642,0.977143351951958
"L5_6 NP-1","ZBTB20",0.053547026360901,0.0497099275895124,0.281395486552401,-0.0438826413886374,0.150976694110439,7,4.3614400088711e-06,0.0223017984139521,0.917462837933458
"L5_6 NP-1","NAP1L3",-0.168856392177663,0.18083401980262,0.350425373692917,-0.523284558170402,0.185571773815075,7,0.141629843644982,70.4978448654233,0.939598926527724
"L5_6 NP-1","FER",0.0742773518566809,0.0703858702291208,0.291293707956052,-0.0636764188129059,0.212231122526268,7,0.0182539055515141,61.6413858589926,0.922425882334637
"L5_6 NP-1","RIC3",-0.00547480283677661,0.0877959674964211,0.950277542378485,-0.177551737117611,0.166602131444058,7,0.0326165242787201,73.7737355314627,0.998394989341889
"L5_6 NP-1","PCDH11X",0.0853788893270752,0.128642806182691,0.506889013222191,-0.166756377661165,0.337514156315316,7,0.0838997975898484,82.1697059449297,0.968167449680717
"L5_6 NP-1","EPS8L2",-0.0107142838741951,0.108866284758802,0.9216012437966,-0.224088281132129,0.202659713383739,7,0.0439321876049511,64.0788695430761,0.998162526244021
"L5_6 NP-1","FOXP1",0.102216686828828,0.0387566726029905,0.00835452801292432,0.0262550043663568,0.1781783692913,7,5.6513840291926e-09,4.61730947407563e-05,0.443701104021761
"L5_6 NP-1","TMEM132D",0.0125455803757414,0.126568398301919,0.921042235192413,-0.23552392187694,0.260615082628423,7,0.0719734783147512,70.1063617444727,0.998162526244021
"L5_6 NP-1","GRID2",0.0579654708937845,0.079931875643838,0.468337978578949,-0.0986981265848723,0.214629068372441,7,1.46825045561661e-06,0.0028480033769136,0.967995340351015
"L5_6 NP-1","ZMYM3",-0.196997012140092,0.12079977903259,0.102938236919998,-0.433760228384366,0.0397662041041814,7,0.0511343366577426,59.2259175976223,0.802488965300234
"L5_6 NP-1","LMO7",0.00448238193109101,0.0322803862089563,0.889562554803516,-0.0587860124455068,0.0677507763076888,7,8.7718831539303e-07,0.0105603809645626,0.998162526244021
"L5_6 NP-1","RIT2",-0.00632435142671564,0.0823860665682145,0.938810639087647,-0.167798074728335,0.155149371874904,7,0.0147205385671292,32.4666322192934,0.998162526244021
"L5_6 NP-1","BCL11B",0.0505265382722364,0.0732048941221373,0.490063953956835,-0.0929524176992206,0.194005494243693,7,0.0233165553936614,71.3978438913148,0.968167449680717
"L5_6 NP-1","GMCL1",-0.0311565031171648,0.0733065704353764,0.670824635376289,-0.174834741000651,0.112521734766322,7,0.0173938838187447,54.8292373188265,0.982631886797423
"L5_6 NP-1","MAK",0.133184267140713,0.144436970653695,0.356480257292212,-0.149906993376597,0.416275527658024,7,0.0656349534136405,49.5562268950029,0.942160352136668
