"cell_type","genes","estimate","se","pval","ci.lb","ci.ub","k","tau2","I2","padj"
"L6 CT-1","CDH12",0.396388170926316,0.390657030895042,0.310262913379125,-0.369285539935317,1.16206188178795,6,0.784907314711281,88.8960974530186,0.818244477901716
"L6 CT-1","CNTN4",0.189437895358283,0.275487342214013,0.491675444020738,-0.350507373577844,0.729383164294409,6,0.367602808494738,83.8115072167107,0.888954550745932
"L6 CT-1","DCC",0.0282310424635364,0.244268259895594,0.907990226263108,-0.450525949498098,0.506988034425171,6,0.257155430216684,75.4421258431136,0.990345117994928
"L6 CT-1","TSHZ2",0.551124438164004,0.273131851198403,0.043612480627573,0.0157958467843806,1.08645302954363,6,0.340673670306,79.9535545403288,0.491729608487771
"L6 CT-1","TTN-AS1",-0.165993605574405,0.18385340995215,0.366601022601461,-0.526339667515496,0.194352456366687,6,0.149569355930994,80.7170842967416,0.850380889618317
"L6 CT-1","PLXDC2",0.190358702010275,0.100595917132368,0.0584496336688144,-0.00680567256094136,0.387523076581491,6,0.0306433410229233,53.1774826137273,0.536908371845994
"L6 CT-1","TMSB4X",0.398881844225828,0.173429784946475,0.0214503961287596,0.0589657118842112,0.738797976567446,6,0.0820394445996899,49.9469698478138,0.371072250358806
"L6 CT-1","SLC5A4-AS1",0.185724852495601,0.214393403307311,0.386336285896998,-0.2344784965097,0.605928201500902,5,0.144026954817329,65.5995386632813,0.855379321284043
"L6 CT-1","ADAMTSL1",-0.371287738501207,0.10840443078426,0.000614745919568944,-0.583756518602921,-0.158818958399493,6,0.0260808907336773,38.3784173374837,0.0913819809439235
"L6 CT-1","STMN2",0.165597960396966,0.108011123395984,0.125237289114408,-0.0460999513888739,0.377295872182807,6,0.0382804220454189,59.2518983903981,0.649413593960121
"L6 CT-1","WWOX",-0.0172065755391147,0.120768450102442,0.886704232423635,-0.253908388208623,0.219495237130393,6,0.0618431792349569,75.9198115018626,0.987721090139657
"L6 CT-1","CDH13",0.381129837179285,0.342096530589422,0.265236172732674,-0.289367042012086,1.05162671637066,6,0.528916122850083,81.0763558565266,0.787148198003547
"L6 CT-1","SERINC1",0.0999000768404617,0.134836609207624,0.458755725589575,-0.164374821003982,0.364174974684906,6,0.069357367452255,70.7264008390748,0.881018982580678
"L6 CT-1","HINT1",0.181850353503609,0.22374553659155,0.416358412606981,-0.256682839917418,0.620383546924636,5,0.187317072938578,79.1236827608452,0.86316436153138
"L6 CT-1","PTPRK",0.386888436160463,0.358588159180709,0.280622771263599,-0.315931441116242,1.08970831343717,6,0.591750958596992,82.6796755388285,0.795156996292947
"L6 CT-1","STMN1",0.0497889192454171,0.176019079922375,0.777283451381317,-0.295202137994316,0.39477997648515,6,0.122939426452123,71.803450046236,0.966249893159612
"L6 CT-1","SLC2A13",0.127564588692877,0.0882063450965504,0.148119294086197,-0.0453166709042729,0.300445848290027,6,0.0204358798465433,47.3637292911556,0.688060408309786
