"cell_type","genes","estimate","se","pval","ci.lb","ci.ub","k","tau2","I2","padj"
"OPC-2","HIF3A",0.743519919717618,0.188118043222448,7.73675425047059e-05,0.374815330159471,1.11222450927577,6,0.131252579637185,67.8972768778213,0.0170861919424837
"OPC-2","CRISPLD2",0.236499912987228,0.175718617758729,0.178334355204434,-0.107902249233042,0.580902075207497,6,0.130812908437626,75.2608860963823,0.605456727703648
"OPC-2","FKBP5",0.672652769239328,0.213087239408655,0.00159564698628417,0.255009454433301,1.09029608404536,6,0.169240792792249,68.5339246547412,0.0788932325855329
"OPC-2","FMNL3",0.361077242043119,0.123657752618492,0.00350062229599343,0.118712500501712,0.603441983584526,6,0.0528840037850174,64.9669457748484,0.115130829813934
"OPC-2","STEAP1B",-0.336369432662024,0.150733992460077,0.0256451619164837,-0.631802629129707,-0.0409362361943414,6,0.0805886364922672,66.3215041610112,0.277861834773002
"OPC-2","FAT1",-0.265012408285641,0.113741310401876,0.0198084025672274,-0.487941280227708,-0.042083536343574,5,0.0358253941776259,62.5879054205545,0.243935445741148
"OPC-2","PTCH1",0.207285041743582,0.0989701618183682,0.0362226227672919,0.0133070890354792,0.401262994451685,6,0.0365654616952336,71.7828580129856,0.321315942702096
"OPC-2","LEPR",0.413318373113402,0.139255905160159,0.00299696388805718,0.140381814364965,0.686254931861839,6,0.0713980467818237,71.0802097671526,0.107048922124995
"OPC-2","NPL",0.256572399891948,0.117755749913981,0.0293426338264891,0.0257753710880394,0.487369428695856,6,0.0448669418549313,61.8432938769067,0.297070560960824
"OPC-2","ZBTB16",0.378555733484436,0.105177996616664,0.00031920827614456,0.172410648149699,0.584700818819173,6,0.0327902338058592,54.4867048499873,0.0374348471180023
"OPC-2","CRIM1",0.231005891039623,0.0700486766262876,0.000974486607130884,0.0937130076874063,0.368298774391839,6,0.0154724631540664,59.4971716508096,0.0621647462975921
"OPC-2","PDK4",0.590072436539574,0.175096196480036,0.000751709032197982,0.246890197608755,0.933254675470393,5,0.0853368306413387,60.6133339351109,0.0527453068512218
"OPC-2","VAPA",0.125911387425362,0.0613707757784507,0.0402036332913949,0.00562687719631559,0.246195897654408,6,0.0131341342732235,68.6286626056811,0.341745309798974
"OPC-2","CSGALNACT1",0.127779582268197,0.0685916245407705,0.0624758343832547,-0.0066575314728072,0.262216696009201,6,0.01574188029685,63.4495696414015,0.409705736082784
"OPC-2","KCNQ3",0.226252231473296,0.0792357025589376,0.00429782042128637,0.0709531081680503,0.381551354778542,6,0.019868116318983,61.3437319389538,0.123088586013671
"OPC-2","MKLN1",0.164758936138524,0.071374431155387,0.0209783009952515,0.0248676216569315,0.304650250620116,6,0.019130995781322,68.9226080176468,0.251909587879368
"OPC-2","TMEM132C",0.216812645241279,0.0675655527353505,0.00133233242724163,0.0843865952844502,0.349238695198108,6,0.014219728393572,59.6697652134292,0.0718941910541426
"OPC-2","PDZD2",0.208041433410384,0.0797038803404979,0.009049472853062,0.0518246985149184,0.36425816830585,6,0.0212287272985401,61.8837750962842,0.170652108564953
"OPC-2","DGKG",0.201759633754729,0.0781477212857749,0.00982943716464047,0.048592914560736,0.354926352948722,6,0.0200471327258123,61.1086851016901,0.177286654341555
"OPC-2","MSANTD3",0.00669564592637703,0.13344259180976,0.959981954906005,-0.254847028024431,0.268238319877185,5,0.0583798269221587,77.7088931460754,0.989006214817723
