"cell_type","genes","estimate","se","pval","ci.lb","ci.ub","k","tau2","I2","padj"
"Oligo-4","ACTB",-0.346142087905261,0.328037749459274,0.291338527271243,-0.989084262415011,0.296800086604489,7,0.610549917257644,96.6176524983209,0.714598119525194
"Oligo-4","SCD",-0.174158116939824,0.0560855742600267,0.00190136742667757,-0.284083822541723,-0.0642324113379254,7,2.79013731644356e-06,0.0107628727398027,0.0761128315292201
"Oligo-4","MT-ND3",0.118857099334184,0.0854447011771086,0.164212934789247,-0.0486114376427363,0.286325636311104,6,0,0,0.589964486995996
"Oligo-4","NRXN3",0.0490006095727584,0.0808387002835995,0.544413250783453,-0.109440331540125,0.207441550685641,7,0.018966922708091,48.3623094273023,0.860503760162456
"Oligo-4","PLP1",-0.0490158239592842,0.0676852331441667,0.468959481417187,-0.181676443207048,0.0836447952884793,7,0.00753299229626358,25.5861615633286,0.826911328596337
"Oligo-4","MALAT1",0.149384912345089,0.0731041283910241,0.0410075317668184,0.00610345357748968,0.292666371112688,7,0.0188696715252068,62.9521417121474,0.34486899507077
"Oligo-4","MT-CO2",0.123129313122487,0.111029489483874,0.267439470995033,-0.0944844874877756,0.340743113732749,6,0.0300469238967047,47.5456830704665,0.694583677392471
"Oligo-4","EEF1A1",0.0287911840711165,0.0516378994708107,0.577145447918792,-0.0724172391289723,0.129999607271205,7,1.16188676736041e-06,0.0052504866520337,0.871992487571322
"Oligo-4","MT-CYB",0.105035397807944,0.179623634006491,0.558714039793415,-0.247020455616982,0.457091251232871,6,0.116807108962165,75.5607242097056,0.865785091698661
"Oligo-4","LAMP2",-0.0338301016281306,0.0574927315970622,0.556247749604705,-0.1465137849312,0.0788535816749393,7,0.00830531327961314,43.6942276349572,0.864936081389698
"Oligo-4","CRYAB",0.100961798281181,0.0855732531459125,0.238068267381461,-0.0667586959247365,0.268682292487098,7,2.03787418702282e-07,0.000356262269226546,0.673457167913411
"Oligo-4","EDIL3",-0.0575890958033581,0.0437002465723614,0.18756362867473,-0.143240005200706,0.0280618135939903,7,0.00539810011814478,51.724845987131,0.619943286196381
"Oligo-4","MT-ND2",0.0179006105484624,0.330874000958039,0.956854704627024,-0.630600514749965,0.66640173584689,6,0.501954791047978,93.2644071851587,0.992719251572562
"Oligo-4","SELENOP",-0.0924858303094863,0.0606522115160644,0.12729525849922,-0.211361980463678,0.0263903198447055,5,8.45186209794385e-07,0.00366924462422939,0.540232093558275
"Oligo-4","MT-CO3",0.0310730342132228,0.0596819354462525,0.602614878135496,-0.0859014097890765,0.148047478215522,6,3.77597615483649e-06,0.0152147058706511,0.882576371254913
"Oligo-4","YWHAE",-0.0368090089383955,0.026631460271826,0.166921774279195,-0.0890057119268837,0.0153876940500928,7,1.00307535947882e-06,0.0162817535685313,0.592571764561428
"Oligo-4","DLG1",-0.035701946279799,0.0289644259088643,0.217719947718278,-0.0924711778940519,0.0210672853344539,7,4.75324466550099e-06,0.068071472080271,0.65087354563468
"Oligo-4","B2M",-0.156508149043988,0.0791943415474611,0.0481259955408816,-0.311726206256375,-0.00129009183159992,6,0.00892378748264878,24.7260662083902,0.365942074719803
"Oligo-4","CNP",0.00995933969903831,0.0621100175243276,0.872605394520231,-0.111774057727795,0.131692737125872,7,0.003410958646384,12.2938358366987,0.969793134189951
