"cell_type","genes","estimate","se","pval","ci.lb","ci.ub","k","tau2","I2","padj"
"Sst-4","PTPRK",-0.350631718708789,0.671666830072312,0.601647905279485,-1.66707451526071,0.965811077843127,5,2.08309050622463,94.502819514095,0.996140432821003
"Sst-4","CNTN5",-0.33462883069853,0.552639419765526,0.544840019240247,-1.41778218987607,0.748524528479015,5,1.42953247249035,94.3650117741376,0.99300841806867
"Sst-4","NCAM2",-0.243889944163519,0.447871698639004,0.586060884306797,-1.12170234319074,0.633922454863706,5,0.943179969208111,95.1304945760861,0.996140432821003
"Sst-4","SYN3",-0.843708964315788,0.729263299864288,0.247299630166687,-2.27303876729663,0.585620838665049,5,2.45995056738848,94.412683812764,0.99300841806867
"Sst-4","LINGO2",-0.946737174498183,0.80902934281999,0.241915003885713,-2.53240554886147,0.638931199865107,5,2.98584641331438,93.1221855118381,0.99300841806867
"Sst-4","RELN",-1.06729924876477,0.54641875881332,0.0507885033735084,-2.13826033651595,0.00366183898641825,5,1.14604833049094,79.1346164203406,0.924360372879587
"Sst-4","MT-CO3",-0.267081110160354,0.411112558636718,0.515915441886823,-1.07284691868043,0.538684698359725,5,0.728000026837453,87.1383205788685,0.99300841806867
"Sst-4","MT-CO2",-0.198414897703256,0.45017549548893,0.659393917360214,-1.08074265558403,0.68391286017752,5,0.874845004346546,87.364937851303,0.996140432821003
"Sst-4","MT-CO1",-0.168611708089943,0.492299302151662,0.731975871144649,-1.1335006099214,0.796277193741517,5,1.08029109862127,91.6370659005122,0.996140432821003
"Sst-4","FRAS1",-0.729677132257156,0.561497229296057,0.193765379921353,-1.83019147909646,0.370837214582144,5,1.41409457731078,91.8164975783875,0.99300841806867
"Sst-4","LRP1B",0.0893044376057186,0.315248055873748,0.776959852878057,-0.528570398103098,0.707179273314536,5,0.455264737732013,93.1966239016688,0.996140432821003
"Sst-4","TRPM3",-0.680734558821316,0.884479297153323,0.441510845763857,-2.41428212631313,1.0528130086705,5,3.37079699002008,87.9582012758461,0.99300841806867
"Sst-4","MT-ND3",-0.302098513306734,0.576276985607541,0.600122403896337,-1.43158065021682,0.827383623603354,5,1.45894809497988,89.436985945004,0.996140432821003
"Sst-4","FTH1",0.684437919481106,0.520056494669718,0.188145922995405,-0.334854079997689,1.7037299189599,5,1.15175315967742,89.4737974711263,0.99300841806867
"Sst-4","PDZRN3",-0.346292474398227,0.387650247900891,0.371690312177233,-1.106072998882,0.413488050085543,5,0.643666561848779,90.1625790901198,0.99300841806867
"Sst-4","LRRC4C",-0.0872760819484941,0.320959228716853,0.785681499989949,-0.716344610739279,0.541792446842291,5,0.43530746257735,86.1936810714361,0.996140432821003
"Sst-4","MT-ND5",-0.116929563127752,0.484856295466946,0.809428523680891,-1.06723043992048,0.833371313664972,5,0.999032363647245,86.8692357850452,0.996140432821003
"Sst-4","SNAP25-AS1",0.317340168631979,0.433294433841826,0.463931041942727,-0.531901316399673,1.16658165366363,5,0.827446984703486,91.2110089535252,0.99300841806867
"Sst-4","PTPRE",-0.869325148159948,0.587839520132163,0.139181012215249,-2.0214694363083,0.2828191399884,5,1.32133231446013,82.4300270895466,0.984907269386091
"Sst-4","STK3",-0.656759173279123,0.437184120952693,0.133032953339123,-1.5136243049592,0.200105958400957,5,0.718298541987467,81.8061978243568,0.984907269386091
"Sst-4","MT-ND4",-0.125245417898544,0.373000827414718,0.737038390434869,-0.856313605835032,0.605822770037944,5,0.558984412217536,81.9413724538646,0.996140432821003
"Sst-4","EFNA5",-0.254340548051329,0.358529791733377,0.478077129069777,-0.957046027233394,0.448364931130735,5,0.545622665055885,88.6172940805641,0.99300841806867
"Sst-4","CDC14B",-0.630075146886301,0.488246314136008,0.19688188862994,-1.58702033817731,0.326870044404704,5,0.974864540818816,85.389447788314,0.99300841806867
"Sst-4","MT-ND2",-0.180447071488757,0.415530611330315,0.664101834519101,-0.994872104170086,0.633977961192571,5,0.717929118596714,85.2557437956298,0.996140432821003
"Sst-4","MT-ATP6",-0.184513319044923,0.363669674913724,0.611898633811216,-0.897292784145211,0.528266146055366,5,0.494538514994266,76.2886362399883,0.996140432821003
"Sst-4","GNG12-AS1",0.220659931726656,0.611884376153646,0.718380862695533,-0.978611408237249,1.41993127169056,5,1.63661038101477,92.5739271925102,0.996140432821003
"Sst-4","NXPH2",0.082036398962106,0.380616405770306,0.82934973163757,-0.663958048272776,0.828030846196989,5,0.575904043156308,83.1904262278447,0.996140432821003
"Sst-4","MRPL41",0.467386041042338,0.281449634104318,0.0967861126124648,-0.0842451052641009,1.01901718734878,5,0.205013665998104,55.5780339976253,0.948082389543876
"Sst-4","MIR4500HG",0.437226221969633,0.234479355298637,0.0622279120877987,-0.0223448695338668,0.896797313473132,5,0.161287493826589,61.2253304954377,0.924360372879587
"Sst-4","SNPH",0.0215008031434122,0.159555629781255,0.892806159599089,-0.291222484758455,0.334224091045279,5,1.56062861975844e-06,0.000955800089994151,0.996140432821003
"Sst-4","SEMA6A",-0.313140703305119,0.249088946446024,0.208701455030213,-0.801346067286351,0.175064660676114,5,0.203365051975805,70.423690489724,0.99300841806867
"Sst-4","MYO1B",0.553983745956758,0.451545385699546,0.219874570514028,-0.331028947399599,1.43899643931312,5,0.695908083242203,73.1642612880751,0.99300841806867
"Sst-4","GRM8",0.226374705975442,0.399514391251702,0.570969217357943,-0.556659112183338,1.00940852413422,5,0.561562744062349,74.077075153164,0.996140432821003
"Sst-4","CPNE4",-0.639289616404476,0.330718185223194,0.0532319648372183,-1.28748534847438,0.00890611566543043,5,0.30003413703662,57.2516616137329,0.924360372879587
"Sst-4","DUBR",-0.195250419929905,0.302501507526904,0.518633850116549,-0.788142479951709,0.3976416400919,5,0.326136152542055,78.2944168259114,0.99300841806867
"Sst-4","NEGR1",-0.174663965433101,0.28055272279453,0.533566528872059,-0.724537197875029,0.375209267008827,5,0.302150414126629,78.7763296010804,0.99300841806867
"Sst-4","TMEM179",-0.515435740553962,0.292924075130645,0.078471864598016,-1.08955637801473,0.0586848969068073,5,0.177681199588728,42.836315768183,0.924360372879587
"Sst-4","ADAMTS19",0.215886392087044,0.443409760910984,0.626344895009963,-0.653180769692,1.08495355386609,5,0.859330751692319,90.6852798878063,0.996140432821003
"Sst-4","RBM48",-0.0157494441358121,0.172379425903449,0.927202581086206,-0.353606910582264,0.32210802231064,5,1.62975146398112e-06,0.00076150233100483,0.996140432821003
"Sst-4","HS6ST2",0.0522007033259057,0.499021358472515,0.916688334094169,-0.925863186796476,1.03026459344829,5,1.02399118665505,87.2178357933314,0.996140432821003
"Sst-4","GABRB2",-0.147907253246942,0.337210852408367,0.660937269935759,-0.808828379163392,0.513013872669508,5,0.426142939870602,78.2126462385201,0.996140432821003
"Sst-4","DAAM2",-0.261458071129843,0.380241656468424,0.491698234060468,-1.00671802322981,0.48380188097012,5,0.436918520334004,66.4756394180273,0.99300841806867
"Sst-4","UBB",0.892525688900857,0.357707090216932,0.0125910994490927,0.191432675061052,1.59361870274066,5,0.403094767909049,66.2191511322595,0.700645773451621
"Sst-4","PARM1",-0.0174724789347237,0.350131662884291,0.960200008540021,-0.703717928035055,0.668772970165607,5,0.441321003241941,75.1050224402368,0.996140432821003
"Sst-4","DOCK11",-0.66530277699969,0.321661202236278,0.0386086337584171,-1.29574714860665,-0.0348584053927306,5,0.318251359174783,66.2150338008825,0.916894979632039
"Sst-4","MALAT1",0.0832857049221565,0.172944565628695,0.630108194389795,-0.255679415032008,0.422250824876321,5,0.127374306615511,88.037884431479,0.996140432821003
"Sst-4","NECAB1",0.0511260846926484,0.676357939348481,0.939745071331976,-1.2745111170881,1.3767632864734,5,1.96999345821301,89.9542140206631,0.996140432821003
"Sst-4","GABRA1",-0.361812393070051,0.393192045696507,0.357472144260661,-1.13245464164283,0.408829855502729,5,0.536112210554328,74.9019654695134,0.99300841806867
"Sst-4","TRIM16",-0.151060061839467,0.158901591342592,0.341781234055745,-0.46250145795705,0.160381334278115,5,1.22643850574939e-07,6.83927022345057e-05,0.99300841806867
"Sst-4","BICC1",0.0152152145713734,0.427714530594155,0.971622603463392,-0.823089861057626,0.853520290200372,5,0.716376446648667,82.0111820728872,0.997467977776129
"Sst-4","TUBB2A",0.457284447839734,0.299392659512901,0.126668134248094,-0.129514382041214,1.04408327772068,5,0.2727338593202,64.785221925156,0.984907269386091
"Sst-4","CDH9",0.153892022662423,0.15706647112476,0.327190213919628,-0.153952603920906,0.461736649245753,5,0.0786335784407259,67.9530543664438,0.99300841806867
"Sst-4","EEF2",0.180852552190078,0.153172268521138,0.237716590620901,-0.119359577541651,0.481064681921808,5,3.5465719824233e-06,0.0021086743047644,0.99300841806867
"Sst-4","OSTF1",0.417918198338932,0.211958750071124,0.048644332055118,0.00248668199140251,0.833349714686461,5,0.0562631875114776,24.2227320606004,0.924360372879587
"Sst-4","TRIM26",0.347067871547875,0.418364067527368,0.406774384385077,-0.472910633231449,1.1670463763272,5,0.574832280574011,72.72634337477,0.99300841806867
"Sst-4","CNTNAP5",-0.415856961480999,0.350926922096211,0.236007804039141,-1.10366108999507,0.271947167033068,5,0.513582165800565,86.4003104374697,0.99300841806867
"Sst-4","DENR",-0.153985521043094,0.278960572843076,0.580950109733033,-0.700738196922184,0.392767154835997,5,0.247950350342801,70.4862601704385,0.996140432821003
"Sst-4","KLHDC4",-0.233850167819406,0.182805312197991,0.20081582735175,-0.592141995910069,0.124441660271256,5,5.59491357511072e-06,0.00274417140262141,0.99300841806867
"Sst-4","DLG3",-0.163271179325986,0.138358800046798,0.237977807368125,-0.434449444361889,0.107907085709917,5,1.76382953342039e-07,0.000141125011079181,0.99300841806867
"Sst-4","LTBP3",0.244053213545617,0.132512313097294,0.0655132056738254,-0.015666147633174,0.503772574724409,5,1.16810176940662e-06,0.000767461796531652,0.924360372879587
"Sst-4","CAMK4",-0.239137012597243,0.254213121251889,0.346861181019815,-0.73738557464846,0.259111549453974,5,0.174760129990672,59.6220387915673,0.99300841806867
"Sst-4","LINC00907",0.721177612873296,0.494083112749769,0.144392302216232,-0.247207493485694,1.68956271923229,5,0.858878604228008,77.1510689984113,0.989827944430349
"Sst-4","SORL1",0.0100606851802836,0.195217617000394,0.958898619900138,-0.372558813288223,0.39268018364879,5,0.0489910001739962,24.559880846028,0.996140432821003
"Sst-4","ZSCAN16-AS1",0.0919200262746328,0.292840352305554,0.753603630974812,-0.482036517464274,0.665876570013539,5,0.217434015209303,54.8869128627215,0.996140432821003
"Sst-4","MT-ND4L",-0.0366027780721031,0.458142890058268,0.936321718100155,-0.934546342359401,0.861340786215195,5,0.762205660001288,75.0534767400072,0.996140432821003
"Sst-4","PTPRT",-0.00507179811873008,0.19748588865482,0.979511120276363,-0.392137027337065,0.381993431099604,5,0.150873172910626,82.0176345640465,0.997877763946487
"Sst-4","CDH7",-0.525386397744224,0.402654091407066,0.191958134501252,-1.31457391512977,0.263801119641325,5,0.502600933647703,66.8491373689851,0.99300841806867
"Sst-4","MT3",0.612409583218586,0.336427729015909,0.0687087223266494,-0.0469766490531964,1.27179581549037,5,0.283916706365024,55.4809208412169,0.924360372879587
"Sst-4","MCF2",-0.170146593500346,0.369958095200182,0.645582440380117,-0.895251135881742,0.554957948881051,5,0.369019644212951,57.6963230597177,0.996140432821003
"Sst-4","FSCN1",-0.173613458126512,0.212440399790896,0.413794876033475,-0.589988990577959,0.242762074324934,5,4.39002834673327e-06,0.00163060012478999,0.99300841806867
"Sst-4","OLFM3",0.0866427798864107,0.405734708461997,0.830901582973453,-0.708582635976962,0.881868195749784,5,0.634794810673907,80.7451767783303,0.996140432821003
"Sst-4","MT-ND1",-0.125222352973182,0.31186280161205,0.688029761237299,-0.736462212250561,0.486017506304196,5,0.336216893345609,70.3618948412234,0.996140432821003
"Sst-4","SDK2",-0.760134426131852,0.528563874782685,0.150402077053073,-1.79610058423485,0.27583173197115,5,1.07655847129339,82.6193697115254,0.990075681947091
