"cell_type","genes","estimate","se","pval","ci.lb","ci.ub","k","tau2","I2","padj"
"Vip-1","KCNIP4",-0.0662848224168208,0.0974999237358745,0.496602695843108,-0.257381161434537,0.124811516600895,7,0.0458149461810286,74.1872893608774,0.888221667418183
"Vip-1","SHANK2",0.0097575204415179,0.104379808516048,0.925521507617286,-0.194823144963124,0.21433818584616,7,0.0515250342528738,79.4993003307207,0.984135397647976
"Vip-1","LRRC4C",0.0618960699003765,0.0716679166935359,0.387779623622487,-0.0785704656659707,0.202362605466724,7,0.0243178105958706,74.2229668449352,0.841423239826174
"Vip-1","DLGAP4",-0.0479930563353052,0.108430248744309,0.658042886921495,-0.26051243870887,0.164526326038259,7,0.0569471984782609,80.723293017615,0.938351917817668
"Vip-1","CCSER1",0.040710990798433,0.0739971436244888,0.582202942253001,-0.104320745664403,0.185742727261269,7,0.0279869309261442,80.3693379873476,0.915595707649826
"Vip-1","KLF12",0.0368375769426132,0.0415571428168781,0.375384837340681,-0.0446129262788552,0.118288080164082,7,2.2918340421398e-06,0.0157194196651902,0.83631834341979
"Vip-1","LSAMP",0.0200725286531457,0.0269599849611537,0.45655565089623,-0.032768070894457,0.0729131282007484,7,3.19800114274274e-06,0.0571225507391535,0.872683878335848
"Vip-1","PGP",0.113619685466558,0.256179067555855,0.657392068572529,-0.388482060535972,0.615721431469088,7,0.386954745835933,90.3828545899401,0.938102449488371
"Vip-1","CNTN3",0.150694401452037,0.125551919590048,0.230040066500475,-0.0953828391343262,0.396771642038401,7,0.0814601337095015,81.7583879214472,0.753790869690821
"Vip-1","EPHB1",-0.0594498938320963,0.0694121147877812,0.391733878067936,-0.195495138906907,0.0765953512427148,7,0.0171296749459921,55.6858011434593,0.843767403305719
"Vip-1","RFX7",0.0812920893851841,0.0792706674035824,0.305127206647854,-0.0740755637562906,0.236659742526659,7,0.0278356947652493,74.2813669565165,0.802485777462869
"Vip-1","CDC42SE2",-0.00339377311660805,0.0777562027419376,0.965186318483222,-0.1557931300654,0.149005583832184,7,0.0230996043864298,65.3032205011601,0.993254530481402
"Vip-1","ACSL4",0.0436846201640737,0.0932073760899707,0.639296949416903,-0.138998480065749,0.226367720393896,7,0.0356745023787461,69.0242323529806,0.934871575878546
"Vip-1","GDA",0.0163739838409632,0.0670787768536702,0.807152744339436,-0.115098002919229,0.147845970601156,7,0.0147267397605182,55.1139260413421,0.9675853363992
