cell_type,prec_panel,recall_panel,F1_panel,prec_hvg,recall_hvg,F1_hvg,prec_all,recall_all,F1_all,n,gap_all
Sst_25,0.9122,0.7214,0.8057,0.9605,0.8611,0.9081,0.9521,0.9197,0.9356,1382,0.1299
Sst_1,0.7231,0.8441,0.7789,0.8716,0.981,0.9231,0.8784,0.9886,0.9302,263,0.1513
Sst_19,0.7401,0.7635,0.7516,0.8833,0.9432,0.9123,0.8852,0.934,0.9089,1742,0.1573
Sst_9,0.7101,0.7446,0.727,0.8954,0.8316,0.8623,0.9193,0.8497,0.8831,885,0.1562
Sst_23,0.6147,0.7856,0.6897,0.7331,0.8534,0.7887,0.8233,0.8665,0.8443,457,0.1546
Sst_13,0.6637,0.6681,0.6659,0.8133,0.8546,0.8334,0.836,0.9013,0.8674,1651,0.2015
Sst_3,0.7847,0.5582,0.6523,0.9373,0.7583,0.8383,0.958,0.7663,0.8515,1874,0.1991
Sst_10,0.622,0.6211,0.6215,0.7801,0.9402,0.8527,0.8457,0.9444,0.8923,702,0.2708
Sst_7,0.49,0.8041,0.609,0.7774,0.9265,0.8454,0.8415,0.9102,0.8745,245,0.2655
Sst_12,0.5792,0.638,0.6072,0.9059,0.8646,0.8847,0.9159,0.8789,0.897,768,0.2898
Sst_4,0.5733,0.6394,0.6046,0.9356,0.8826,0.9083,0.9511,0.8973,0.9234,477,0.3188
Sst_2,0.5746,0.6294,0.6008,0.6723,0.7602,0.7136,0.7333,0.8093,0.7694,367,0.1686
Sst_5,0.6517,0.5286,0.5837,0.9314,0.8943,0.9125,0.928,0.9376,0.9328,577,0.349
Sst_11,0.5583,0.5332,0.5455,0.7802,0.7533,0.7665,0.8449,0.809,0.8266,377,0.2811
Sst_22,0.3377,0.6538,0.4454,0.5206,0.8632,0.6495,0.5858,0.9188,0.7155,234,0.2701
Sst_20,0.4447,0.4311,0.4378,0.6851,0.6939,0.6895,0.7275,0.7628,0.7447,392,0.3069
