gene,logFC,logCPM,PValue,F,FDR,n_scz,n_ctrl,n_samples,n_genes_tested,celltype,cell_class
MBP,0.45657826138875757,12.230354155128051,0.001027346864555825,14.143928486650184,0.1515716728132131,12,12,24,300,Astro_2,Non-neuronal
GADD45G,1.1538552791486913,6.646198687509801,0.0012045661275544336,13.664952594665785,0.1515716728132131,12,12,24,300,Astro_2,Non-neuronal
AQP1,1.1117020069519685,9.837291728992515,0.0018062772505709438,12.462924569234746,0.1515716728132131,12,12,24,300,Astro_2,Non-neuronal
TMSB10,0.3143922424469266,11.401291285272066,0.002020955637509508,12.138927051097053,0.1515716728132131,12,12,24,300,Astro_2,Non-neuronal
NPTX1,0.2780417164947448,9.959182641840972,0.0025662337984767945,11.461394994935338,0.15397402790860767,12,12,24,300,Astro_2,Non-neuronal
CHI3L1,0.7827435980086467,10.085666673857645,0.007203107296399003,8.708958232744003,0.309367188976968,12,12,24,300,Astro_2,Non-neuronal
CXCL14,-0.4639597755477208,11.930206118622724,0.007794486715791849,8.509964222540896,0.309367188976968,12,12,24,300,Astro_2,Non-neuronal
IGFBP5,0.3585138110969357,6.9275019405497185,0.0088701571609949709,8.189359627568162,0.309367188976968,12,12,24,300,Astro_2,Non-neuronal
SCG3,-0.4372664056409026,12.960796705051399,0.010031026711790405,7.884523640670335,0.309367188976968,12,12,24,300,Astro_2,Non-neuronal
LPAR6,-0.5245221807941607,6.249138924056454,0.010676774374731902,7.730891121146767,0.309367188976968,12,12,24,300,Astro_2,Non-neuronal
BCAS1,0.3119569694834914,9.04441365160207,0.012970553524926097,7.264119489313197,0.309367188976968,12,12,24,300,Astro_2,Non-neuronal
SPRY2,-0.4491180699516544,11.456881684527893,0.013107066931999938,7.2391554194699665,0.309367188976968,12,12,24,300,Astro_2,Non-neuronal
FKBP5,0.7034511464185151,9.75670052273735,0.01340591152233528,7.185603809271727,0.309367188976968,12,12,24,300,Astro_2,Non-neuronal
