theme,display,pathway,padj_fisher,stouffer_Z,padj_stouffer,n_sig_per_ct
Synaptic / vesicle (DOWN),trans-synaptic signaling (reg),GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING,1.6615245512863567e-53,-15.237927092799236,1.5125445393844197e-48,8
Synaptic / vesicle (DOWN),presynapse,GOCC_PRESYNAPSE,2.2830732030147953e-38,-11.713231851212456,1.040946236615071e-28,6
Synaptic / vesicle (DOWN),postsynaptic membrane,GOCC_POSTSYNAPTIC_MEMBRANE,9.33666754026434e-37,-12.30051167953399,2.2911554593231354e-31,7
Synaptic / vesicle (DOWN),synaptic vesicle cycle,GOBP_SYNAPTIC_VESICLE_CYCLE,NA,NA,NA,NA
Synaptic / vesicle (DOWN),neurotransmitter secretion,GOBP_NEUROTRANSMITTER_SECRETION,1.98890043033425e-8,-7.0925320089041435,3.9592183482961345e-11,2
Synaptic / vesicle (DOWN),transmission across chemical synapses,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,2.154622443847353e-16,-5.170162926036196,2.1520697010210172e-6,3
Ion channels / excitability,regulation of membrane potential,GOBP_REGULATION_OF_MEMBRANE_POTENTIAL,6.607052590861146e-26,-10.876869491636484,7.091826317608711e-25,7
Ion channels / excitability,gated channel activity,GOMF_GATED_CHANNEL_ACTIVITY,6.503851726246063e-21,-10.250168251911091,3.007392438592093e-22,7
Ion channels / excitability,monoatomic cation channel activity,GOMF_MONOATOMIC_CATION_CHANNEL_ACTIVITY,1.9825082266347188e-17,-9.250214128199081,2.9000327727998395e-18,5
Mitochondrial / OxPhos,HALLMARK oxidative phosphorylation,HALLMARK_OXIDATIVE_PHOSPHORYLATION,9.223504281756143e-13,-5.740202040403412,1.1648108038048377e-7,3
Mitochondrial / OxPhos,respiratory electron transport,REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,3.3857459200703015e-8,-6.344502773469253,4.028742589307558e-9,4
Mitochondrial / OxPhos,aerobic respiration,GOBP_AEROBIC_RESPIRATION,3.7594212265575105e-12,-6.88353898909538,1.4912228077002742e-10,3
Cholesterol / lipid,HALLMARK cholesterol homeostasis,HALLMARK_CHOLESTEROL_HOMEOSTASIS,6.922746357409233e-10,-3.326405899660327,0.0031676345441427546,2
Cholesterol / lipid,cholesterol biosynthesis (Reactome),REACTOME_CHOLESTEROL_BIOSYNTHESIS,6.3684930487725435e-25,-8.22399414639044,1.2221416946184765e-14,5
Cholesterol / lipid,sterol biosynthetic process,GOBP_STEROL_BIOSYNTHETIC_PROCESS,5.605029925777997e-15,-7.640797692736412,9.475148685200725e-13,4
Axon guidance,signaling by ROBO receptors,REACTOME_SIGNALING_BY_ROBO_RECEPTORS,9.22656365557935e-15,-1.8612980073063368,0.11751066784885378,5
Axon guidance,SLIT/ROBO regulation,REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,3.4007846314846378e-28,-0.2571305430057539,0.8578473346730184,6
Translation / ribosome,REACTOME translation,REACTOME_TRANSLATION,7.324112357849796e-35,0.7111147980194692,0.5900468172512353,8
Translation / ribosome,cytoplasmic translation,GOBP_CYTOPLASMIC_TRANSLATION,4.1714211078439764e-29,3.474967623961994,0.001974624461097744,7
Translation / ribosome,ribosomal subunit,GOCC_RIBOSOMAL_SUBUNIT,2.1401802283560598e-31,-1.6509360215357007,0.17051012230524407,7
Growth / stress (UP),HALLMARK MYC targets V1,HALLMARK_MYC_TARGETS_V1,1.4445290077780761e-31,9.409174980372558,7.343950111561848e-19,8
Growth / stress (UP),HALLMARK mTORC1 signaling,HALLMARK_MTORC1_SIGNALING,6.168699773369028e-28,10.469323538271558,3.9677150928042347e-23,5
Growth / stress (UP),HSF1 activation (chaperones),REACTOME_HSF1_ACTIVATION,1.584727862862341e-21,9.929833283047946,6.737391126928259e-21,5
Growth / stress (UP),chaperone-mediated protein folding,GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING,1.3993688820290462e-22,11.027109090465485,1.4398810037822927e-25,5
BMP / TGFb signaling (UP),signaling by BMP,REACTOME_SIGNALING_BY_BMP,4.481220930449946e-19,9.901647087341424,8.686554606373076e-21,3
BMP / TGFb signaling (UP),I-SMAD binding,GOMF_I_SMAD_BINDING,6.428829883821318e-6,5.893298764952881,5.1626263058466154e-8,0
BMP / TGFb signaling (UP),HALLMARK TGF-beta signaling,HALLMARK_TGF_BETA_SIGNALING,0.010011333607450804,1.7586109981423461,0.14135762509673225,0
