cell_type,pathway,NES,padj,gene
Astro,REACTOME_CHOLESTEROL_BIOSYNTHESIS,-2.194056225668195,0.002330973993548559,MVD
Astro,REACTOME_CHOLESTEROL_BIOSYNTHESIS,-2.194056225668195,0.002330973993548559,MVK
Astro,REACTOME_CHOLESTEROL_BIOSYNTHESIS,-2.194056225668195,0.002330973993548559,HMGCR
Astro,REACTOME_CHOLESTEROL_BIOSYNTHESIS,-2.194056225668195,0.002330973993548559,LSS
Astro,REACTOME_CHOLESTEROL_BIOSYNTHESIS,-2.194056225668195,0.002330973993548559,HMGCS1
Astro,REACTOME_CHOLESTEROL_BIOSYNTHESIS,-2.194056225668195,0.002330973993548559,FDPS
Astro,REACTOME_CHOLESTEROL_BIOSYNTHESIS,-2.194056225668195,0.002330973993548559,SREBF2
Astro,REACTOME_CHOLESTEROL_BIOSYNTHESIS,-2.194056225668195,0.002330973993548559,NSDHL
Astro,REACTOME_CHOLESTEROL_BIOSYNTHESIS,-2.194056225668195,0.002330973993548559,MSMO1
Astro,REACTOME_CHOLESTEROL_BIOSYNTHESIS,-2.194056225668195,0.002330973993548559,IDI1
Astro,REACTOME_CHOLESTEROL_BIOSYNTHESIS,-2.194056225668195,0.002330973993548559,SC5D
Astro,REACTOME_CHOLESTEROL_BIOSYNTHESIS,-2.194056225668195,0.002330973993548559,SQLE
Astro,REACTOME_CHOLESTEROL_BIOSYNTHESIS,-2.194056225668195,0.002330973993548559,SREBF1
Astro,REACTOME_CHOLESTEROL_BIOSYNTHESIS,-2.194056225668195,0.002330973993548559,ACAT2
Astro,REACTOME_CHOLESTEROL_BIOSYNTHESIS,-2.194056225668195,0.002330973993548559,FDFT1
Astro,REACTOME_CHOLESTEROL_BIOSYNTHESIS,-2.194056225668195,0.002330973993548559,DHCR24
Astro,REACTOME_CHOLESTEROL_BIOSYNTHESIS,-2.194056225668195,0.002330973993548559,TM7SF2
Astro,REACTOME_SIGNALING_BY_BMP,1.95783135225476,0.04157723843743156,SMAD1
Astro,REACTOME_SIGNALING_BY_BMP,1.95783135225476,0.04157723843743156,TGFBR3
Astro,REACTOME_SIGNALING_BY_BMP,1.95783135225476,0.04157723843743156,SMAD7
